ClassID	Group	ItemClassName	ItemCount	Notice
5	1	HonorCard_S	1	0
10	1	HonorCard_M	1	0
15	1	HonorCard_L	1	0
25	2	Ancient_Relic_Piece	1	0
30	3	Ancient_Relic	1	0
35	4	Ancient_Relic	1	0
40	5	Ancient_Gold_Relic_Piece	1	0
45	6	Ancient_Gold_Relic	1	0
50	11	LumpOfSliver	1	0
51	12	LumpOfSliver	2	0
52	13	LumpOfSliver	3	0
53	14	LumpOfSliver	4	0
54	15	LumpOfSliver	5	0
60	31	LumpOfPlatinum	1	0
65	32	LumpOfPlatinum	2	0
70	33	LumpOfPlatinum	5	0
75	34	LumpOfPlatinum	3	0
76	35	LumpOfPlatinum	4	0
77	36	LumpOfPlatinum	6	0
78	37	LumpOfPlatinum	7	0
80	41	EleCrystal	1	0
85	42	EleCrystal	2	0
90	43	EleCrystal	3	0
95	47	EleCrystal	3	0
100	48	EleCrystal	2	0
105	49	EleCrystal	5	0
110	51	GrowthStone	1	0
115	52	GrowthStone	2	0
120	53	GrowthStone	3	0
125	61	BulletBox_Ancient10000EA	1	0
130	71	BulletBox_Ancient	1	0
135	81	BulletBox_Ancient	2	0
140	91	Token_Costume	1	0
141	92	Token_Costume	2	0
142	93	Token_Costume	3	0
145	101	Token_Normal	15	0
150	111	Token_Normal	10	0
155	121	Token_Normal	12	0
156	122	Token_Normal	20	0
157	123	Token_Normal	40	0
160	131	ShinyCrystal	5	0
165	141	ShinyCrystal	10	0
170	151	ShinyCrystal	15	0
175	161	ShinyCrystal	20	0
180	171	ShinyCrystal	40	0
185	181	ShinyCrystal	60	0
190	185	ShinyCrystal	70	0
195	191	ShinyCrystal	80	0
200	195	ShinyCrystal	100	0
205	201	ShinyCrystal	150	0
210	211	ShinyCrystal	200	0
215	221	ShinyCrystal	300	0
220	231	ShinyCrystal	350	0
225	235	ShinyCrystal	400	0
230	241	ShinyCrystal	500	0
235	251	ShinyCrystal	600	0
240	261	ShinyCrystal	700	0
245	271	Shiny_Crystal_Box	1	0
250	281	Shiny_Crystal_Box	2	0
255	291	Shiny_Crystal_Box	5	0
260	295	Shiny_Crystal_Box	8	0
265	330	BellemBox_Cash	1	0
270	331	New_RingBox_A	1	0
275	331	New_RingBox_B	1	0
280	331	New_RingBox_C	1	0
285	331	New_RingBox_D	1	0
290	331	New_RingBox_E	1	0
295	341	Pet_Food	20	0
300	351	SkelViscountRing	1	0
305	361	Black_Oxide	1	0
310	371	Devil_Dream	1	0
315	373	Devil_Dream	3	0
320	375	Devil_Dream	5	0
325	381	DragonHeart	1	0
326	382	DragonHeart	5	0
330	391	SymbolOfNaraka	1	0
335	401	SymbolOfNaraka	2	0
340	402	SymbolOfNaraka	3	0
345	411	Constellation_Box	1	0
350	421	GreenJewel2	5	0
355	421	BlueJewel2	5	0
360	421	RedJewel2	5	0
365	422	GreenJewel2	10	0
370	422	BlueJewel2	10	0
375	422	RedJewel2	10	0
380	431	RedJewel4	1	0
385	431	BlueJewel4	1	0
390	431	GreenJewel4	1	0
395	441	RedJewel4	2	0
400	441	BlueJewel4	2	0
405	441	GreenJewel4	2	0
410	442	RedJewel4	3	0
415	442	BlueJewel4	3	0
420	442	GreenJewel4	3	0
425	451	BlueJewel5	1	0
430	451	GreenJewel5	1	0
435	451	RedJewel5	1	0
440	461	LuminOre_Green	1	0
445	461	LuminOre_Blue	1	0
450	461	LuminOre_Yellow	1	0
455	461	LuminOre_Red	1	0
460	471	LuminOre_Yellow	2	0
465	471	LuminOre_Red	2	0
470	471	LuminOre_Blue	2	0
475	471	LuminOre_Green	2	0
480	481	LuminOre_Yellow	3	0
485	481	LuminOre_Red	3	0
490	481	LuminOre_Blue	3	0
495	481	LuminOre_Green	3	0
500	485	LuminOre_Yellow	5	0
505	485	LuminOre_Red	5	0
510	485	LuminOre_Blue	5	0
515	485	LuminOre_Green	5	0
520	491	LuminOre_Yellow	5	0
525	491	LuminOre_Red	5	0
530	491	LuminOre_Blue	5	0
535	491	LuminOre_Green	5	0
540	501	LuminOre_Yellow	7	0
545	501	LuminOre_Red	7	0
550	501	LuminOre_Blue	7	0
555	501	LuminOre_Green	7	0
560	511	LuminOre_Yellow	10	0
565	511	LuminOre_Red	10	0
570	511	LuminOre_Blue	10	0
575	511	LuminOre_Green	10	0
580	521	Symbol_Pisces	1	0
585	521	Symbol_Aries	1	0
590	521	Symbol_Taurus	1	0
595	521	Symbol_Gemini	1	0
600	521	Symbol_Cancer	1	0
605	521	Symbol_Leo	1	0
610	521	Symbol_Virgo	1	0
615	521	Symbol_Libra	1	0
620	521	Symbol_Scorpio	1	0
625	521	Symbol_Sagittarius	1	0
630	521	Symbol_Capricornus	1	0
635	521	Symbol_Aquarius	1	0
640	531	Coupon_Arsene_Red	1	0
645	531	Coupon_Arsene_Blue	1	0
650	531	Coupon_Arsene_Green	1	0
655	541	JormongandSkin	1	0
660	551	Recipe_RedJewel4	1	0
665	551	Recipe_BlueJewel4	1	0
670	551	Recipe_GreenJewel4	1	0
675	561	Recipe_Coupon_Arsene_Red	1	0
680	561	Recipe_Coupon_Arsene_Blue	1	0
685	561	Recipe_Coupon_Arsene_Green	1	0
690	571	Recipe_DragonHeart	1	0
695	581	Recipe_Expert_Gloves_Metal	1	0
700	581	Recipe_Expert_Gloves_Leather	1	0
705	581	Recipe_Expert_Gloves_Soft	1	0
710	591	Recipe_Expert_Boots_Metal	1	0
715	591	Recipe_Expert_Boots_Leather	1	0
720	591	Recipe_Expert_Boots_Soft	1	0
725	601	Recipe_Master_Gloves_Metal	1	0
730	601	Recipe_Master_Gloves_Leather	1	0
735	601	Recipe_Master_Gloves_Soft	1	0
740	611	Recipe_Master_Boots_Metal	1	0
