ClassID	ClassName	ConsumeItem	EventConsumeItem	Name
1	Sword	157117	157122	<$>34664</>
2	Sabre	157117	157122	<$>29639</>
3	THSword	157117	157122	<$>29640</>
4	Rapier	157117	157122	<$>29638</>
5	Polearm	157117	157122	<$>29641</>
6	Javelin	157117	157122	<$>29660</>
7	Dagger	157117	157122	<$>29642</>
8	MainG	157117	157122	<$>29658</>
9	Blunt	157117	157122	<$>29659</>
10	Knuckle	157117	157122	<$>29648</>
11	Leguard	157117	157122	<$>29649</>
12	Tonfa	157117	157122	<$>29679</>
13	Crescent	157117	157122	<$>29678</>
14	Rifle	157117	157122	<$>29644</>
15	Pistol	157117	157122	<$>29643</>
16	Shotgun	157117	157122	<$>29645</>
17	CrossBow	157117	157122	<$>29651</>
18	Cannon	157117	157122	<$>29646</>
19	Rod	157117	157122	<$>29652</>
20	Staff	157117	157122	<$>29653</>
21	Lute	157117	157122	<$>29650</>
22	FireBrc	157117	157122	<$>29655</>
23	IceBrc	157117	157122	<$>29656</>
24	LghtBrc	157117	157122	<$>29657</>
25	ElemBrc	157117	157122	<$>44014</>
26	Tool	157117	157122	<$>29662</>
27	Pendant	157117	157122	<$>45397</>
28	Rosario	157117	157122	<$>29665</>
29	Shield	157117	157122	<$>29647</>
30	Controller	157117	157122	<$>29663</>
31	Book	157117	157122	<$>29680</>
32	Cube	157117	157122	<$>86446</>
