ClassID	ClassName	Type	Value
1	BLUE_Win	CliqueWar	0
2	YELLOW_Win	CliqueWar	0
3	LastWinner	CliqueWarResult	0
4	BLUE_KillCnt_No1	CliqueWar	0
5	YELLOW_KillCnt_No1	CliqueWar	0
6	GAME_END	CliqueWar	0
7	ResultTime	CliqueWarResult	0
8	NS_Start_CliqueWar	CliqueWar	0
9	NS_BLUEPT	CliqueWar	0
10	NS_YELLOWPT	CliqueWar	0
11	NS_BLUE_KillCnt	CliqueWar	0
12	NS_YELLOW_KillCnt	CliqueWar	0
13	NS_REBBLUETRP	CliqueWar	0
14	NS_REBYELLOWTRP	CliqueWar	0
15	NS_COIMBLUETRP	CliqueWar	0
16	NS_COIMYELLOWTRP	CliqueWar	0
17	NS_AUCHBLUETRP	CliqueWar	0
18	NS_AUCHYELLOWTRP	CliqueWar	0
19	NS_REB1	CliqueWar	0
20	NS_REB2	CliqueWar	0
21	NS_REB3	CliqueWar	0
22	NS_REB4	CliqueWar	0
23	NS_REB5	CliqueWar	0
24	NS_REB6	CliqueWar	0
25	NS_AUCH1	CliqueWar	0
26	NS_AUCH2	CliqueWar	0
27	NS_AUCH3	CliqueWar	0
28	NS_AUCH4	CliqueWar	0
29	NS_AUCH5	CliqueWar	0
30	NS_AUCH6	CliqueWar	0
31	NS_REB_MINERAL	CliqueWar	0
32	NS_AUCH_MINERAL	CliqueWar	0
33	NS_REB_POISON	CliqueWar	0
34	NS_AUCH_POISON	CliqueWar	0
35	NS_AUCH_ALLJOIN	CliqueWar	0
36	NS_REB_ALLJOIN	CliqueWar	0
37	NS_SIMON_STATE	CliqueWar	0
38	NS_SIMON_STATEMAX	CliqueWar	0
39	NS_GABRIELA_STATE	CliqueWar	0
40	NS_GABRIELA_STATEMAX	CliqueWar	0
41	END_KEY	CliqueWar	0
42	CASRELIC	CasRelic	0
43	SPHINX	CasRelic	0
44	MINOTAUROS	CasRelic	0
45	MEDUSA	CasRelic	0
46	FACTIOUS	FACTIOUS	0
47	ResultCheck	CliqueWar	0
