ClassID	ClassName
1	%.
2	%c
3	%C
4	%d
5	%F
6	%h
7	%H
8	%m
9	%M
10	%s
11	%S
12	%t
13	%T
14	%x
15	%X
16	@SSPELUNING
17	@sspelunker
18	@ssspelunker
19	\'
20	\*
21	\\
22	\a
23	\b
24	\f
25	\n
26	\N
27	\t
28	\v
29	Asspelunker
30	ASSPELUNKER
31	asspelunking
32	Assspelunker
33	assspelunking
34	ASSSPELUNKING
35	B@st@rd
36	b@st@rd
37	B@stard
38	b@stard
39	B1tch
40	b1tch
41	bastard
42	Bastard
43	BASTARD
44	bayot
45	Bayot
46	BAYOT
47	Bicha
48	bicha
49	BICHA
50	Bichoca
51	bichoca
52	BICHOCA
53	Bichola
54	bichola
55	BICHOLA
56	Bichona
57	bichona
58	BICHONA
59	bitch
60	BITCH
61	Bitch
62	bitcheater
63	Bitcheater
64	BITCHEATER
65	biyatch
66	Biyatch
67	BIYATCH
68	Braguilha
69	braguilha
70	BRAGUILHA
71	Brasa
72	brasa
73	BRASA
74	Buceta
75	buceta
76	BUCETA
77	bulbol
78	Bulbol
79	BULBOL
80	burnik
81	Burnik
82	BURNIK
83	bwiset
84	Bwiset
85	BWISET
86	c0ck
87	C0ck
88	C0CK
89	Catrana
90	catrana
91	CATRANA
92	Ceceta
93	ceceta
94	CECETA
95	Chinin
96	chinin
97	CHININ
98	Chochota
99	chochota
100	CHOCHOTA
101	Chulo
102	chulo
103	CHULO
104	cocksucker
105	Cocksucker
106	COCKSUCKER
107	coinsinha
108	Coisinha
109	COISINHA
110	conyo
111	Conyo
112	CONYO
113	Cum
114	cunt
115	Cvm
116	d@mn
117	D@mn
118	D.A.M.N
119	D_I_C_K
120	DAMN
121	dick
122	Dick
123	DICK
124	Doidinha
125	doidinha
126	DOIDINHA
127	fetish
128	Florzinha
129	FLORZINHA
130	foda
131	FODA
132	Foda
133	fodame
134	FODAME
135	Fodame
136	Fuck
137	fuck
138	FUCK
139	Fufa
140	fufa
141	FUFA
142	fvck
143	Fvck
144	Gamela
145	gamela
146	GAMELA
147	gamumugam
148	Gamumugam
149	GAMUMUGAM
150	Grogrota
151	grogrota
152	GROGROTA
153	havematerial
154	Hindot
155	HINDOT
156	hindot
157	Idiot
158	IDIOT
159	idiot
160	Ingrata
161	ingrata
162	INGRATA
163	Itkak
164	ITkAK
165	itkak
166	ITPUSI
167	itpusi
168	jakol
169	Jakol
170	JAKOL
171	Jumento
172	jumento
173	JUMENTO
174	kantot
175	Kantot
176	KANTOT
177	kukurikapoo
178	Kukurikapoo
179	KUKURIKAPOO
180	Lesba
181	lesba
182	LESBA
183	letche
184	Letche
185	LETCHE
186	lintik
187	Lintik
188	LINTIK
189	Maricas
190	maricas
191	MARICAS
192	Metedeira
193	metedeira
194	METEDEIRA
195	Meubibelo
196	meubibelo
197	MEUBIBELO
198	moron
199	MORON
200	Moron
201	motherfucker
202	Motherfucker
203	MOTHERFUCKER
204	muffdiver
205	Muffdiver
206	MUFFDIVER
207	Nigger
208	nigger
209	NIGGER
210	oral
211	Pedal
212	pedal
213	PEDAL
214	penis
215	petish
216	pondo
217	ponsec
218	porn
219	porner
220	puke
221	Puke
222	PUKE
223	punyeta
224	Punyeta
225	PUNYETA
226	pussy
227	Pussy
228	PUSSY
229	ramrod
230	Ramrod
231	RAMROD
232	Retardado
233	retardado
234	RETARDADO
235	sex
236	sh!t
237	SH!T
238	shit
239	SHIT
240	Shit
241	slut
242	Slut
243	SLUT
244	Spieprzaj
245	Spierdalaj
246	suck
247	vulva
248	whore
249	WHORE
250	Whore
251	anus
252	Dildo
253	Fucking
254	nazi
255	Nazis
256	Holocaust
257	holocaust
258	Vagina
259	Hitler
260	mmook
261	MMOOK
