BackPoint	ClassID	ClassName	ConsumeItem	ConsumeItemCount	ItemGroupClass	Point
0	1	SBELLEM	189024	2	GLimit_Bellem_Cash	0
0	2	ABELLEM	0	0	GLimit_Andre_Cos	0
0	3	SECRETEROOM	0	0	GLimit_Secrete_Room	0
9	4	XmasPresent2012_01	0	0	GLimit_XMAS2012	0
5	5	XmasPresent2012_02	0	0	GLimit_XMAS2012	2
0	6	XmasPresent2012_03	0	0	GLimit_XMAS2012	12
0	7	SLINDEN	0	0	GLimit_Special_LindenBox	0
0	8	Panfilo_Cookbox	0	0	GLimit_Panfilo_Box	0
0	9	Estevan_Plantbox	0	0	GLimit_Estevan_Box	0
0	10	Event_Snake2013	0	0	GLimit_Event_Snake	0
0	11	Char_CardBox	0	0	GLimit_Char_CardBox	0
0	12	Char_CardBox_Ev	0	0	GLimit_Char_CardBox_Ev	0
0	13	Mer_TreasureBox	0	0	GLimit_Merchant_TreasureBox	0
0	14	Char_CardBox_Rare	0	0	GLimit_Char_CardBox_Rare	0
0	15	Char_CardBox_Rare_13	0	0	GLimit_Char_CardBox_Rare_13	0
0	16	Char_CardBox_Scout	0	0	GLimit_Char_CardBox_Scout	0
0	17	CostumeBox_Weapon	0	0	GLimit_CostumeBox_Weapon	0
0	18	Deu_ScoutCharBox	0	0	GLimit_Deu_ScoutBox	0
0	19	Deu_RareCharBox	0	0	GLimit_Deu_RareBox	0
0	20	Customweaponcostumebox	0	0	GLimit_Customweaponcostumebox	0
0	21	Drangon_W_Box	0	0	GLimit_DragonWeaponBox	0
0	22	Angel_Costum_E	0	0	GLimit_Angel_Costum_E	0
0	23	Deu_Tra_RareCharBox	0	0	GLimit_Deu_Tr_RareBox	0
0	24	Fesogacha_Box	0	0	GLimit_Feso_Gacha	0
0	25	RedDevilBox	0	0	GLimit_Red_Devil	0
0	26	Prosper_Recipe_Box	0	0	GLimit_Prosper_Recipe_Box	0
0	27	Char_CardBox_Linden	0	0	GLimit_Char_CardBox_Linden	0
0	28	Fesogacha_Box_2	0	0	GLimit_Feso_Gacha_2	0
0	29	Fesogacha_Box_3	0	0	GLimit_Feso_Gacha_3	0
0	30	Fesogacha_Box_4	0	0	GLimit_Feso_Gacha_4	0
0	31	DivinoBox	0	0	GLimit_Divino_Box	0
0	32	CharBox_RedBall_E	0	0	GLimit_CharBox_RedBall_E	0
0	33	Fesogacha_Box_5	0	0	GLimit_Feso_Gacha_5	0
0	34	USA_RCHARBOX	0	0	GLimit_RCHARBOX	0
0	35	SMS_ReturnGift	0	0	GLimit_SMS_ReturnGift	0
0	36	Fesogacha_Box_6	0	0	GLimit_Feso_Gacha_6	0
0	37	Weapon_Box_sw	0	0	GLimit_WB_SW	0
0	38	Weapon_GBox_sw	0	0	GLimit_GWB_SW	0
0	39	Weapon_Box_pis	0	0	GLimit_WB_PIS	0
0	40	Weapon_GBox_pis	0	0	GLimit_GWB_PIS	0
0	41	Weapon_Box_ths	0	0	GLimit_WB_THS	0
0	42	Weapon_GBox_ths	0	0	GLimit_GWB_THS	0
0	43	AFBox01	0	0	GLimit_AFBOX01	0
0	44	Char_CardBox_Linden_Ev	0	0	GLimit_Char_CardBox_Linden_Ev	0
0	45	SMS_ReturnGift_Cha	0	0	GLimit_SMS_ReturnGift_Cha	0
0	46	Fesogacha_Box_7	0	0	GLimit_Feso_Gacha_7	0
0	47	Fesogacha_Box_8	0	0	GLimit_Feso_Gacha_8	0
0	48	Roretas_Reward	0	0	GLimit_Roreta'sReward_Box	0
0	49	EvilWeapon_Box	0	0	GLimit_EvilW_Box	0
0	50	AngelWeapon_Box	0	0	GLimit_AngelW_Box	0
0	51	Armonium_Box	0	0	GLimit_Armonium_Box	0
0	52	TyrantBox_C	0	0	GLimit_TyrantBox_C	0
0	53	Leonele_Box	0	0	GLimit_Leonele_Box	0
0	54	Fesogacha_Box_9	0	0	GLimit_Feso_Gacha_9	0
0	55	Fesogacha_Box_10	0	0	GLimit_Feso_Gacha_10	0
0	56	Elizabeth_Reward	0	0	GLimit_Elizabeth_Reward	0
0	57	AbyssWCos	0	0	GLimit_AbyssWCos	0
0	58	Fesogacha_Box_11	0	0	GLimit_Feso_Gacha_11	0
0	59	Fesogacha_Box_12	0	0	GLimit_Feso_Gacha_12	0
0	60	DEU_SantoCosBox	0	0	GLimit_SantoCosBox	0
0	61	Fesogacha_Box_13	0	0	GLimit_Feso_Gacha_13	0
0	62	Random_box	0	0	GLimit_Random_box	0
0	63	Random_box_2	0	0	GLimit_Random_box_2	0
0	64	Random_box_3	0	0	GLimit_Random_box_3	0
0	65	Pigling_CardBox	0	0	GLimit_Pigling_CardBox	0
0	66	IronHummer_Box	0	0	GLimit_IronHummer_Reward	0
0	67	Fesogacha_Box14	0	0	GLimit_Feso_Gacha_14	0
0	68	DEU_ValBlessingBox	0	0	GLimit_ValBlessingBox	0
0	69	OTP_RewardBox	0	0	GLimit_OTP_RewardBox	0
0	70	Char_CardBox3_Ev	0	0	GLimit_Char_CardBox3_Ev	0
0	71	Deu_JewelW_Box	0	0	GLimit_DEU_WEAPONBOX1	0
0	72	Deu_TarrotW_Box	0	0	GLimit_DEU_WEAPONBOX2	0
0	73	Deu_ZodiacW_Box	0	0	GLimit_DEU_WEAPONBOX3	0
0	74	Deu_MachinaW_Box	0	0	GLimit_DEU_WEAPONBOX4	0
0	75	Deu_ConstellationW_Box	0	0	GLimit_DEU_WEAPONBOX5	0
0	76	DEU_ValBlessingBox2	0	0	GLimit_ValBlessingBox2	0
0	77	CombatSupportBox	0	0	GLimit_CombatSupportBox	0
0	78	CrystalWeapon_W_Box	0	0	GLimit_Crystalwbox	0
0	79	Prosper_W_Box	0	0	GLimit_Prosperwbox	0
0	80	Divine_Recipe_Box	0	0	GLimit_Divine_Recipe_Box	0
0	81	Deu_TyrantW_Box	0	0	GLimit_DEU_TYRANTBOX	0
0	82	Event_ConstellationW_Box	0	0	GLimit_Ev_ConstWBOX	0
0	83	Deu_VigilarW_Box	0	0	GLimit_DEU_VIGILAWBOX	0
0	84	Divine_Recipe_Box_Acc	0	0	GLimit_Divine_Recipe_Box_Acc	0
0	85	ST_Rarecharbox	0	0	ST_Rarecharbox	0
0	86	ST_Rarecharbox_ev	0	0	ST_Rarecharbox_ev	0
0	87	GLimit_Alt_ArmBox	189024	3	GLimit_Alt_ArmBox	0
0	88	GLimit_Alt_BsaBox	189024	3	GLimit_Alt_BsaBox	0
0	89	GLimit_Alt_IleBox	189024	3	GLimit_Alt_IleBox	0
0	90	GLimit_Alt_BfnBox	189024	3	GLimit_Alt_BfnBox	0
0	91	Char_CardBox_Linden_Collect	0	0	GLimit_Char_CardBox_Linden_Collect	0
0	92	Joanna_CosBox_Ev	0	0	GLimit_Joanna_CosBox_Ev	0
0	93	Letizia_CharCard_Box	0	0	GLimit_Letizia_CharCard_Box	0
0	98	Igornyi_CharCard_Box	0	0	GLimit_Igornyi_CharCard_Box	0
0	531	Igorni_CharCard_Box	0	0	GLimit_Igornyi_CharCard_Box	0
0	539	RareChar_CardBox_Linden_Collect	0	0	GLimit_RareChar_CardBox_Linden_Collect	0
0	101	Daily_box_test	0	0	Daily_box_reward	0
0	102	Weekly_box_test	0	0	Weekly_box_reward	0
0	201	LotteryBox_CHN01	0	0	LotteryBox_CHN01	0
0	202	LotteryBox_CHN02	0	0	LotteryBox_CHN02	0
0	203	LotteryBox_CHN03	0	0	LotteryBox_CHN03	0
0	204	LotteryBox_CHN04	0	0	LotteryBox_CHN04	0
0	205	LotteryBox_CHN05	0	0	LotteryBox_CHN05	0
0	206	LotteryBox_CHN06	0	0	LotteryBox_CHN06	0
0	207	LotteryBox_CHN07	0	0	LotteryBox_CHN07	0
0	208	LotteryBox_CHN08	0	0	LotteryBox_CHN08	0
0	209	LotteryBox_CHN09	0	0	LotteryBox_CHN09	0
0	210	LotteryBox_CHN10	0	0	LotteryBox_CHN10	0
0	211	LotteryBox_CHN11	0	0	LotteryBox_CHN11	0
0	212	LATEM_CHN_01	200702	4	LATEM_CHN_01	0
0	213	GLimit_CHN_Exchange	213010	50	GLimit_CHN_Exchange	0
0	214	LATEM_CHN_02	200702	4	LATEM_CHN_02	0
0	215	TG_EVENT_BOX	0	0	TG_EVENT_BOX	0
0	216	LATEM_CHN_03	200702	4	LATEM_CHN_03	0
0	217	LATEM_CHN_04	200702	4	LATEM_CHN_04	0
0	218	LATEM_CHN_05	200702	4	LATEM_CHN_05	0
0	219	LATEM_CHN_06	200702	4	LATEM_CHN_06	0
0	300	Random_box_4	0	0	GLimit_Random_box_4	0
0	301	SP_artifact_box	0	0	GLimit_SP_artifact_box	0
0	302	SP_chara_box	0	0	GLimit_SP_chara_box	0
0	303	SP_chara_box_2	0	0	GLimit_SP_chara_box_2	0
0	304	SP_chara_box_3	0	0	GLimit_SP_chara_box_3	0
0	305	SP_chara_box_4	0	0	GLimit_SP_chara_box_4	0
0	306	SP_chara_box_5	0	0	GLimit_SP_chara_box_5	0
0	307	viki_box	0	0	GLimit_viki_box	0
0	308	bane_box	0	0	GLimit_bane_box	0
0	309	Lynn_Box	0	0	GLimit_Lynn_Box	0
0	310	Fesogacha_Box15	0	0	GLimit_Feso_Gacha_15	0
0	311	Fesogacha_Box16	0	0	GLimit_Feso_Gacha_16	0
0	312	Lv40_accessories_box	0	0	GLimit_Lv40_accessories_box	0
0	313	Lv80_accessories_box	0	0	GLimit_Lv80_accessories_box	0
0	314	Andre_box	0	0	GLimit_Andre_box	0
0	315	Takumi_accessories_box	0	0	GLimit_Takumi_accessories_box	0
0	316	Expeditedmagic_box	0	0	GLimit_Expeditedmagic_box	0
0	317	Luxury_accessories_box	0	0	GLimit_Luxury_accessories_box	0
0	318	Expert_jewelry_box	0	0	GLimit_Expert_jewelry_box	0
0	319	General_Rumin_box	0	0	GLimit_General_Rumin_box	0
0	320	Senior_Rumin_box	0	0	GLimit_Senior_Rumin_box	0
0	321	Superlative_Rumin_box	0	0	GLimit_Superlative_Rumin_box	0
0	322	Elitesteel_weapon_box	0	0	GLimit_Elitesteel_weapon_box	0
0	323	FallenAngel_weapon_box	0	0	GLimit_FallenAngel_weapon_box	0
0	324	EliteTrump_weapon_box	0	0	GLimit_EliteTrump_weapon_box	0
0	325	Fesogacha_Box17	0	0	GLimit_Feso_Gacha_17	0
0	327	BeachCostume_box	0	0	GLimit_BeachCos_box	0
0	328	Fesogacha_Box18	0	0	GLimit_Feso_Gacha_18	0
0	329	PalaceNMBox	0	0	GLimit_bst_Backstreet_H	0
0	330	BattleViron02Box	0	0	GLimit_Viron02_LevelHard	0
0	331	BattleViron02NMBox	0	0	GLimit_Viron02_LevelNM	0
0	332	Fesogacha_Box19	0	0	GLimit_Feso_Gacha_19	0
0	333	2015AutummBox01	0	0	GLimit_AutummBox01	0
0	334	2015AutummBox02	0	0	GLimit_AutummBox02	0
0	335	2015AutummBox03	0	0	GLimit_AutummBox03	0
0	336	2015ConvictionBox	0	0	GLimit_Punisher2015	0
0	337	Fesogacha_Box20	0	0	GLimit_Feso_Gacha_20	0
0	338	Fesogacha_Box21	0	0	GLimit_Feso_Gacha_21	0
0	339	Fesogacha_Box22	0	0	GLimit_Feso_Gacha_22	0
0	340	Fesogacha_Box23	0	0	GLimit_Feso_Gacha_23	0
0	341	Special_Box_Latina	0	0	GLimit_Sp_Latina	0
0	342	Special_Box_Encerrar	0	0	GLimit_Sp_Encerrar	0
0	343	Special_Box_BloodyNavy	0	0	GLimit_Sp_BloodyNavy	0
0	344	Special_Box_Abyss	0	0	GLimit_Sp_Abyss	0
0	345	Special_Box_Bedel	0	0	GLimit_Sp_Bedel	0
0	346	Special_Box_Hall	0	0	GLimit_Sp_Hall	0
0	347	auto11ms_Box	0	0	GLimit_auto11ms_Box	0
0	348	auto11ex_Box	0	0	GLimit_auto11ex_Box	0
0	349	auto12_Box	0	0	GLimit_auto12_Box	0
0	350	auto13_Box	0	0	GLimit_auto13_Box	0
0	351	auto08_easy_Box	0	0	GLimit_auto08_easy_Box	0
0	352	auto08_normal_Box	0	0	GLimit_auto08_normal_Box	0
0	353	auto08_hard_Box	0	0	GLimit_auto08_hard_Box	0
0	354	auto09_Box	0	0	GLimit_auto09_Box	0
0	355	auto11_Box	0	0	GLimit_auto11_Box	0
0	356	auto01_easy_Box	0	0	GLimit_auto01_easyBox	0
0	357	auto01_normal_Box	0	0	GLimit_auto01_normal_Box	0
0	358	auto01_hard_Box	0	0	GLimit_auto01_hard_Box	0
0	359	auto02_easy_Box	0	0	GLimit_auto02_easy_Box	0
0	360	auto02_normal_Box	0	0	GLimit_auto02_normal_Box	0
0	361	auto02_hard_Box	0	0	GLimit_auto02_hard_Box	0
0	362	auto03_easy_Box	0	0	GLimit_auto03_easy_Box	0
0	363	auto03_normal_Box	0	0	GLimit_auto03_normal_Box	0
0	364	auto03_hard_Box	0	0	GLimit_auto03_hard_Box	0
0	365	auto05_easy_Box	0	0	GLimit_auto05_easy_Box	0
0	366	auto05_normal_Box	0	0	GLimit_auto05_normal_Box	0
0	367	auto05_hard_Box	0	0	GLimit_auto05_hard_Box	0
