ClassID	FailureRate	InputCount	SocketNum	SuccessRate
1	0	0	1	25
2	60	0	2	12
3	0	1	2	12
4	0	2	2	24
5	0	3	2	36
6	0	4	2	48
7	0	5	2	60
8	0	6	2	72
9	0	7	2	84
10	0	8	2	100
11	78	0	3	6
12	0	1	3	6
13	0	2	3	12
14	0	3	3	18
15	0	4	3	24
16	0	5	3	30
17	0	6	3	36
18	0	7	3	42
19	0	8	3	48
20	0	9	3	54
21	0	10	3	60
22	0	11	3	66
23	0	12	3	72
24	0	13	3	78
25	0	14	3	84
26	0	15	3	90
27	0	16	3	100
31	78	0	4	3
32	0	1	4	3
33	0	2	4	6
34	0	3	4	9
35	0	4	4	12
36	0	5	4	15
37	0	6	4	18
38	0	7	4	21
39	0	8	4	24
40	0	9	4	27
41	0	10	4	31
42	0	11	4	34
43	0	12	4	37
44	0	13	4	40
45	0	14	4	43
46	0	15	4	46
47	0	16	4	49
48	0	17	4	52
49	0	18	4	55
50	0	19	4	58
51	0	20	4	62
52	0	21	4	65
53	0	22	4	68
54	0	23	4	71
55	0	24	4	74
56	0	25	4	77
57	0	26	4	80
58	0	27	4	83
59	0	28	4	86
60	0	29	4	89
61	0	30	4	93
62	0	31	4	96
63	0	32	4	100
