ClassID	CookLevel	MakeID	Recipe	RewardItem	Text
1	0	13271	Recipe_StirfriedCorn	StirfriedCorn	<$>29681</>
2	0	13269	Recipe_StirfriedOcto	StirfriedOcto	<$>29682</>
3	0	13274	Recipe_Salad	Salad	<$>29683</>
4	1	13273	Recipe_EggStew	EggStew	<$>29684</>
5	1	13268	Recipe_MeatStew	MeatStew	<$>29685</>
6	1	13266	Recipe_WolfSteak	WolfSteak	<$>199316</>
7	2	13267	Recipe_ComodoSteak	ComodoSteak	<$>199317</>
8	2	13265	Recipe_BoarSteak	BoarSteak	<$>29688</>
9	2	13272	Recipe_GoldenApplePie	GoldenApplePie	<$>29689</>
10	2	13370	Recipe_Great_StirfriedCorn	Great_StirfriedCorn	<$>29690</>
11	2	13368	Recipe_Great_StirfriedOcto	Great_StirfriedOcto	<$>29691</>
12	2	13373	Recipe_Great_Salad	Great_Salad	<$>29692</>
13	3	13270	Recipe_FishSausage	FishSausage	<$>29693</>
14	3	13264	Recipe_SpiderSteak	SpiderSteak	<$>199318</>
15	3	13275	Recipe_CapyFish	CapyFish	<$>29695</>
16	3	13372	Recipe_Great_EggStew	Great_EggStew	<$>29696</>
17	3	13367	Recipe_Great_MeatStew	Great_MeatStew	<$>29697</>
18	3	13365	Recipe_Great_WolfSteak	Great_WolfSteak	<$>199319</>
19	4	13276	Recipe_Caborum	Caborum	<$>29699</>
20	4	13366	Recipe_Great_ComodoSteak	Great_ComodoSteak	<$>199320</>
21	4	13364	Recipe_Great_BoarSteak	Great_BoarSteak	<$>29701</>
22	4	13371	Recipe_Great_GoldenApplePie	Great_GoldenApplePie	<$>29702</>
23	5	13369	Recipe_Great_FishSausage	Great_FishSausage	<$>29703</>
24	5	13363	Recipe_Great_SpiderSteak	Great_SpiderSteak	<$>199321</>
25	5	13374	Recipe_Great_CapyFish	Great_CapyFish	<$>29705</>
26	6	13375	Recipe_Great_Caborum	Great_Caborum	<$>29706</>
