ClassID	ClassName	EquipHand1	EquipHand2	EquipHand3	EquipHand4	EquipHand5	EquipHand6	EquipHand7	EquipHand8	Model1	Model2	Model3	Model4	Model5	Model6	Model7	Model8	Node1	Node2	Node3	Node4	Node5	Node6	Node7	Node8
1	Monster_Orge_Shoter	None	None	None	None	None	None	None	None	Ogre_Cannon_MON	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
2	Monster_Orge_Predators	R	L	None	None	None	None	None	None	Ogre_Predator_MON	Ogre_Predator_MON	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
3	Monster_Orge_Plunderer	None	None	None	None	None	None	None	None	Ogre_Poleaxe_MON	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
4	Monster_Orge_Defender	None	None	None	None	None	None	None	None	Ogre_Sword_MON	Ogre_Shield_MON	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
5	Monster_Orge_Bandit	None	None	None	None	None	None	None	None	Ogre_Bandit_MON	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
6	Monster_Orge_Avenger	None	None	None	None	None	None	None	None	Ogre_Shotgun_MON	Ogre_Dagger_MON	None	None	None	None	None	None	Bip01 Prop1	Dummy_L_HAND	None	None	None	None	None	None
7	Monster_Orge_Assassin	None	None	None	None	None	None	None	None	Ogre_Dagger_MON	Ogre_Dagger_MON	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
8	Monster_Orge_Mage	None	None	None	None	None	None	None	None	Ogre_Orb_MON	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
9	Monster_Mamons	None	None	None	None	None	None	None	None	GreatMaul1	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
10	Monster_Werewolfassaulter	None	None	None	None	None	None	None	None	Wolverine_Axe_MON	Wolverine_Axe_MON	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
11	Monster_Werewolfdefender	None	None	None	None	None	None	None	None	Wolverine_Sword_MON	Wolverine_Shield_MON	None	None	None	None	None	None	Bip01 Prop1	Bip01 Prop2	None	None	None	None	None	None
12	Monster_Werewolfgunner	None	None	None	None	None	None	None	None	Wolverine_Rifle_MON	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
13	Monster_Werewolfscout	None	None	None	None	None	None	None	None	Wolverine_Dagger_MON	Wolverine_Dagger_MON	None	None	None	None	None	None	Dummy_R	Dummy_L	None	None	None	None	None	None
14	Monster_Werebear_Slayer	None	None	None	None	None	None	None	None	WereBear_Poleaxe_MON	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
15	Monster_Werebear_Slaughter	None	None	None	None	None	None	None	None	WereBear_Mance_MON	WereBear_Mance_MON	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
16	Monster_Werebear_Juggernaut	None	None	None	None	None	None	None	None	WereBear_Cannon_MON	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
17	Monster_Werebear_Destroyer	None	None	None	None	None	None	None	None	WereBear_Star_MON	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
18	Monster_Dullahanlanceman	None	None	None	None	None	None	None	None	Dullahan_Halberd_MON	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
19	Monster_Dullahangunner	None	None	None	None	None	None	None	None	Dullahan_Pistol_MON	Dullahan_Shield_MON	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
20	Monster_Dullahanguardian	None	None	None	None	None	None	None	None	Dullahan_Claymore_MON	Dullahan_Shield_MON	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
21	Monster_Dullahanattacker	None	None	None	None	None	None	None	None	Dullahan_Sword_MON	Dullahan_Shield_MON	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
22	Monster_Kobold_Archer	None	None	None	None	None	None	None	None	Kobold_Dagger_MON	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
23	Monster_Kobold_Scout	None	None	None	None	None	None	None	None	Kobold_Dagger_MON	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
24	Monster_Kobold_defender	None	None	None	None	None	None	None	None	Kobold_Sword_MON	Kobold_Shield_MON	None	None	None	None	None	None	Bip01 Prop1	Dummy_L_FOREARM	None	None	None	None	None	None
25	Monster_Kobold_Assaulter	None	None	None	None	None	None	None	None	Kobold_Axe_MON	Kobold_Axe_MON	None	None	None	None	None	None	Bip01 Prop1	Dummy_L_HAND	None	None	None	None	None	None
26	Monster_Koboldchief_Elder	None	None	None	None	None	None	None	None	Kobold_SkullSword_MON	Kobold_Torchlight_MON	None	None	None	None	None	None	Bip01 Prop1	dummy_l_hand_sword	None	None	None	None	None	None
27	Monster_Heart	R	None	None	None	None	None	None	None	Trump_heart_MON	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
28	Monster_Clover	R	None	None	None	None	None	None	None	Trump_clover_MON	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
29	Monster_Diamond	R	None	None	None	None	None	None	None	Trump_diamond_MON	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
30	Monster_Spade	R	None	None	None	None	None	None	None	Trump_Spade_MON	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
31	Monster_Targa	None	None	None	None	None	None	None	None	Falcata	ParryingDagger	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
32	Monster_Mary	None	None	None	None	None	None	None	None	Shotgun	None	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	None	None	None	None	None	None	None
33	Monster_Catherine_Str	None	None	None	None	None	None	None	None	BecdeCorbin	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
34	Monster_Tora	None	None	None	None	None	None	None	None	Pizarro3	ParryingDagger	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
35	Monster_bristia_infantry1	None	None	None	None	None	None	None	None	SettlerTHSword_Low	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
36	Monster_bristia_infantry2	None	None	None	None	None	None	None	None	Sabrina	Conflamme_100	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_FOREARM	None	None	None	None	None	None
37	Monster_bristia_infantry3	None	None	None	None	None	None	None	None	SharpsRifle36	None	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	None	None	None	None	None	None	None
38	Monster_bristia_infantry4	None	None	None	None	None	None	None	None	Halberd	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
39	Monster_bristia_infantry5	None	None	None	None	None	None	None	None	BayonetFinisher1	None	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	None	None	None	None	None	None	None
40	Monster_bristia_infantry6	None	None	None	None	None	None	None	None	ScreamingBlade	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
41	Monster_bristia_infantry7	None	None	None	None	None	None	None	None	Sabrina	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
42	Monster_bristia_infantry8	None	None	None	None	None	None	None	None	TwinRevolver	None	None	None	None	None	None	None	Dummy_L_HAND_PISTOL	None	None	None	None	None	None	None
43	Monster_bristia_thief1	None	None	None	None	None	None	None	None	SettlerTHSword_Low	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
44	Monster_bristia_thief2	None	None	None	None	None	None	None	None	PepitoClaw3	PepitoClaw3	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
45	Monster_bristia_thief3	None	None	None	None	None	None	None	None	ShaftHammer1	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
46	Monster_bristia_thief4	None	None	None	None	None	None	None	None	ClaudeNiquet3	ClaudeNiquet3	None	None	None	None	None	None	Dummy_R_HAND_PISTOL	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
47	Monster_bristia_thief5	None	None	None	None	None	None	None	None	SharpsRifle36	None	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	None	None	None	None	None	None	None
48	Monster_bristia_thief6	None	None	None	None	None	None	None	None	ImperialCannon4	None	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	None	None	None	None	None	None	None
49	Monster_barrel	None	None	None	None	None	None	None	None	TwinRevolver	TwinRevolver	None	None	None	None	None	None	Dummy_R_HAND_PISTOL	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
50	Monster_jd	None	None	None	None	None	None	None	None	BristiaSword	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
51	monster_bristia_newcapbossf	None	None	None	None	None	None	None	None	BristiaBayonet	BristiaPistol	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
52	monster_bristia_newcapbossm	None	None	None	None	None	None	None	None	BristiaBayonet	BristiaPistol	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
53	Monster_bristia_thiefboss1	None	None	None	None	None	None	None	None	BristiaSabre	BristiaSabre	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
54	Monster_bristia_thiefboss2	None	None	None	None	None	None	None	None	BristiaCannon	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
56	Monster_Blood_BossDM	None	None	None	None	None	None	None	None	BristiaBlunt	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
57	Monster_Marchetti	None	None	None	None	None	None	None	None	Cube	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
58	Monster_Olivia	None	None	None	None	None	None	None	None	BristiaKnuckle	BristiaDagger	None	None	None	None	None	None	Dummy_L_HAND	Dummy_R_HAND	None	None	None	None	None	None
59	Monster_Sierra_Weap	R	None	None	None	None	None	None	None	OldBroomstick	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
60	Monster_nena	None	None	None	None	None	None	None	None	Gungnir_Elite	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
61	Monster_Serious	None	None	None	None	None	None	None	None	Sabrina	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
62	Monster_Arm_Paladin	None	None	None	None	None	None	None	None	LongSword	None	None	None	None	None	None	None	Dummy_L_PELVIS	None	None	None	None	None	None	None
63	Monster_Arm_Paladin_atk	R	None	None	None	None	None	None	None	LongSword	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
64	Monster_Arm_memento_atk	R	None	None	None	None	None	None	None	SettlerTHSword_Low	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
65	Monster_Armonia_Willam	None	None	None	None	None	None	None	None	ArmoniaSword	ArmoniaShield	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_FOREARM	None	None	None	None	None	None
66	JPN_Illusion	None	None	None	None	None	None	None	None	Devil_Rapier	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
67	Monster_Laura	None	None	None	None	None	None	None	None	ArmoniaPistol	None	None	None	None	None	None	None	Dummy_R_HAND_PISTOL	None	None	None	None	None	None	None
68	Monster_Gean	None	None	None	None	None	None	None	None	kanesada	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
69	Monster_Patrick	None	None	None	None	None	None	None	None	MusesGigantespada1	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
70	Monster_Berthe	None	None	None	None	None	None	None	None	ArmoniaBook	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
71	Monster_Dolores	None	None	None	None	None	None	None	None	ArmoniaLghtBrc	ArmoniaBook	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
