ClassID	ClassName	IFFAlliance	IFFEnemyClique	IFFEnemyNeutralParty	IFFEnemyParty	IFFFriendlyClique	IFFFriendlyParty	IFFIconAlliance	IFFIconEnemyClique	IFFIconEnemyParty	IFFIconFriendlyClique	IFFIconFriendlyParty	IFFIconNeutralClique	IFFIconNeutralParty	IFFIconSelf	IFFIconSquad	IFFNeutralClique	IFFNeutralParty	IFFSelf	IFFSquad	NormalChat	ShowUserID	TargetSecretClique
10000	CITY	None	None	None	None	None	None	None	None	None	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Peace
10100	FIELD	None	None	None	None	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Peace
10200	BATTLEFIELD	None	None	None	None	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Peace
10300	MISSION	Friendly	None	None	None	None	Enemy	Option	None	None	None	None	None	None	White	None	None	Enemy	Friendly	None	TRUE	TRUE	None
10400	ASURA	None	None	Enemy	Enemy	None	Enemy	None	Red	Red	Red	Red	Red	Red	White	None	None	Enemy	Friendly	Friendly	TRUE	FALSE	None
10500	RUMBLE	None	None	Enemy	Enemy	None	Enemy	None	Red	Red	Yellow	Yellow	Red	Red	White	Blue	None	Enemy	Friendly	None	TRUE	TRUE	None
10600	PARTYWAR	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
10700	SURA	None	None	Enemy	Enemy	None	Enemy	None	Red	Red	Red	Red	Red	Red	White	None	None	Enemy	Friendly	Friendly	TRUE	TRUE	None
10800	RUMBLE2	None	None	Enemy	Enemy	None	Enemy	None	Red	Red	Yellow	Yellow	Red	Red	White	Blue	None	Enemy	Friendly	None	TRUE	FALSE	None
10900	ROYALRUMBLE	None	None	Enemy	Enemy	None	Enemy	None	Red	Red	Yellow	Yellow	Red	Red	White	Blue	None	Enemy	Friendly	None	TRUE	FALSE	None
11000	TRUCEWORLD	None	None	None	None	None	None	None	None	None	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Peace
11300	WPMISSION	Friendly	None	Enemy	Enemy	None	None	None	Red	Red	Red	Yellow	Red	Red	White	Blue	None	Enemy	Friendly	Friendly	FAKENAME	Friend	None
11400	SVMISSION	Friendly	None	Enemy	Enemy	None	Enemy	None	None	None	None	None	None	None	White	None	None	Enemy	Enemy	Enemy	FALSE	Friend	None
11500	MISSION_HIDE	Friendly	None	None	None	None	Enemy	Option	None	None	None	None	None	None	White	None	None	Enemy	Friendly	None	FALSE	FRIEND	None
11700	COLONYWAR_1	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
11800	COLONYWAR_2	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
11900	COLONYWAR_C	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
12000	COLONYWAR_W	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
12100	TIERRAWAR	None	Enemy	Friendly	Enemy	Friendly	Friendly	None	Red	Red	Yellow	Yellow	Red	Red	White	Blue	Enemy	Enemy	Friendly	Friendly	TRUE	TRUE	None
12200	MISSION_RUMBLE	Enemy	Enemy	Enemy	Enemy	Enemy	Enemy	None	None	None	None	None	None	None	White	None	Enemy	Enemy	Friendly	Enemy	FALSE	FALSE	None
12300	COLONYWAR_3	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
12400	COLONYWAR_4	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
12500	COLONYWAR_5	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
12600	COLONYWAR_6	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
12700	COLONYWAR_7	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
12800	COLONYWAR_8	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
12900	COLONYWAR_9	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
13000	COLONYWAR_10	None	None	None	Enemy	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	TRUE	TRUE	Enemy
13100	Barrack	None	None	None	None	None	None	None	Red	Red	Yellow	Yellow	None	None	White	Blue	None	None	Friendly	Friendly	FALSE	FALSE	Peace
