AR	ATK	ClassID	ClassName	DR	DefIP	DefaultItem	FireIP	IMP	IceIP	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncSTR	LgtIP	MHP	MSATK	MSP	Name	OptionItem	PCDef	Parent	PsyIP	SetItemGroup	ToolTip
0	0	1000	StrataSet	0	0	Armor Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>117652</>	Ear Neck Belt Glove Boots	0	None	0	1	None
0	0	1001	StrataSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	0	0	<$>178126</>	None	0	StrataSet	1	1	<$>178127</>
0	0	1002	StrataSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	0	0	<$>178128</>	None	0	StrataSet	2	1	<$>178127</>
0	0	1003	StrataSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	0	0	<$>178129</>	None	0	StrataSet	3	1	<$>178127</>
0	0	1004	StrataSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	0	0	<$>178130</>	None	0	StrataSet	4	1	<$>178127</>
1	0	1005	StrataSet_5	1	5	None	5	5	5	0	0	0	0	0	0	5	5000	0	0	<$>178131</>	None	0	StrataSet	5	1	<$>178132</>
0	0	2000	BristiaSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>72958</>	Ear Neck Belt Glove Boots	0	None	0	2	None
0	2	2001	BristiaSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	0	0	<$>178126</>	None	0	BristiaSet	1	2	<$>178133</>
0	4	2002	BristiaSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	0	0	<$>178128</>	None	0	BristiaSet	2	2	<$>178133</>
0	6	2003	BristiaSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	0	0	<$>178129</>	None	0	BristiaSet	3	2	<$>178133</>
0	8	2004	BristiaSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	0	0	<$>178130</>	None	0	BristiaSet	4	2	<$>178133</>
0	10	2005	BristiaSet_5	0	5	None	5	5	5	0	0	0	0	0	0	5	5000	0	0	<$>178131</>	None	0	BristiaSet	5	2	<$>178133</>
0	0	3000	ArmoniaSet	0	0	Armor Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>104410</>	Ear Neck Belt Glove Boots	0	None	0	4	None
0	0	3001	ArmoniaSet_1	0	2	None	2	0	2	0	0	0	0	0	0	2	1000	0	0	<$>178126</>	None	0	ArmoniaSet	2	4	<$>178134</>
