ASTD	ATK	AttachEffectIndex	AttachModelIndex	BLK	BlkSound	BlowSound	Bone	ClassID	ClassName	DEAD	DIE1	DN	DeadEffect	DieSound	DyingTime	Gender	HIT	HitDummy	HitSound	Hits	IDL	IdleSound	Job	Mass	Name	NumSet	OriginalDEADAni	PICK	PreDelay	RUN	RootNode	SET	STD	SelfHitEffect	SkillAni	TargetHitEffect	TopDummy	UP1	VarKDType	WLK
monster_nena_astd	monster_nena_atk	None	None	None	None	None	monster_grandies_set	10	GM_GameQueen	None	monster_com	monster_com	mon_dead01	None	0	M	monster_nena_hit	Bip01	None	1	monster_nena_idl	None	1	1	<$>26131</>	3	NO	None	0	monster_nena_run	Bip01	monster_grandies_set	monster_nena_std	HIT_Blood_Sickle	None	None	Bip01	monster_com	1	monster_nena_wlk
gm_gamequeen_astd	gm_gamequeen_astd	None	None	None	None	None	gm_gamequeen_set	11	GameQueen	quest_wep_dead	None	None	mon_dead01	None	1000	F	monster_zealot_hit	Bip01	None	1	gm_gamequeen_idl	None	1	2	<$>26131</>	3	YES	None	0	gm_gamequeen_run	Bip01	gm_gamequeen_set	gm_gamequeen_std	HIT_Blood_Human	None	None	Bip01	None	1	gm_gamequeen_wlk
pc_astd_vaflbean	pc_astd_vaflbean	None	None	None	None	None	npc_vaflbean_set	12	GameQueen2	quest_wep_dead	None	None	mon_dead01	None	1000	F	monster_zealot_hit	Bip01	None	1	npc_vaflbean_std	None	1	2	<$>47104</>	1	YES	None	0	pc_run_vaflbean_f_no	Bip01	npc_vaflbean_set	npc_vaflbean_std	HIT_Blood_Human	None	None	Bip01	None	1	pc_wlk_vaflbean_f_no
pc_astd_vaflbean	pc_astd_vaflbean	None	None	None	None	None	npc_vaflbean_set	13	GameQueen2_Boss	quest_wep_dead	None	None	mon_dead01	None	1000	F	monster_zealot_hit	Bip01	None	1	npc_vaflbean_std	None	1	2	<$>155455</>	1	YES	None	0	pc_wlk_vaflbean_f_no	Bip01	npc_vaflbean_set	npc_vaflbean_std	HIT_Blood_Human	None	None	Bip01	None	1	pc_wlk_vaflbean_f_no
monster_astd_mg	monster_atk_mg	None	None	None	None	None	NPC_UST_ENGINEER_SET	14	Mission_Marcelino	monster_vero_dead	None	None	mon_dead01	None	1000	M	monster_muertos_sct_m_hit	Bip01	None	1	NPC_UST_ENGINEER_IDL	None	1	1	<$>51900</>	2	YES	None	0	monster_adelina_run	Bip01	NPC_UST_ENGINEER_SET	NPC_UST_ENGINEER_STD	HIT_Blood_Human	None	None	Bip01	None	1	monster_adelina_wlk
monster_honeyspider_astd	monster_honeyspider_atk	None	None	None	None	monster_honeyspider_blow.ogg	monster_honeyspider_set	10000	Mission_HoneySpider	monster_honeyspider_dead	None	None	mon_dead01	monster_honeyspider_die.ogg	1867	M	monster_honeyspider_hit	ROOT_Dummy01	monster_honeyspider_hit.ogg	2	monster_honeyspider_idl	None	1	9	<$>48547</>	3	YES	None	0	monster_honeyspider_run	ROOT_Dummy01	monster_honeyspider_set	monster_honeyspider_std	HIT_Blood_DemonS	None	None	ROOT_Dummy01	None	0	monster_honeyspider_wlk
monster_honeyspider_astd	monster_honeyspider_atk	None	None	None	None	monster_honeyspider_blow.ogg	monster_honeyspider_set	10001	Monster_HoneySpider	monster_honeyspider_dead	None	None	mon_dead01	monster_honeyspider_die.ogg	1867	M	monster_honeyspider_hit	ROOT_Dummy01	monster_honeyspider_hit.ogg	2	monster_honeyspider_idl	None	1	9	<$>48548</>	3	YES	None	0	monster_honeyspider_run	ROOT_Dummy01	monster_honeyspider_set	monster_honeyspider_std	HIT_Blood_DemonS	None	None	ROOT_Dummy01	None	0	monster_honeyspider_wlk
monster_honeyspider_astd	monster_honeyspider_atk	None	None	None	None	monster_honeyspider_blow.ogg	monster_honeyspider_set	10002	Monster_HoneySpider_Elite	monster_honeyspider_dead	None	None	mon_dead01	monster_honeyspider_die.ogg	1867	M	monster_honeyspider_hit	ROOT_Dummy01	monster_honeyspider_hit.ogg	2	monster_honeyspider_idl	None	1	9	<$>48549</>	3	YES	None	0	monster_honeyspider_run	ROOT_Dummy01	monster_honeyspider_set	monster_honeyspider_std	HIT_Blood_DemonS	None	None	ROOT_Dummy01	None	0	monster_honeyspider_wlk
monster_sesil_wolf_astd	monster_armoniawolf03_atk	None	None	None	None	monster_wolf_blow.ogg	monster_sesil_wolf_set	10003	Monster_SesilWolf	monster_armoniawolf02_dead	None	None	mon_dead01	monster_wolf_die.ogg	300	M	monster_armoniawolf02_hit	Bip01 Spine1	monster_wolf_hit.ogg	1	monster_sesil_wolf_astd	None	1	9	<$>118718</>	1	YES	None	0	monster_sesil_wolf_run	Bip01	monster_sesil_wolf_set	monster_sesil_wolf_astd	HIT_Blood_Siclke	monster_sesil_wolf	None	Bip01 Head	None	0	monster_sesil_wolf_wlk
monster_ballista1_astd	None	None	None	None	None	structure_cannonturret_blow.ogg	monster_ballista1_set	10004	Monster_Ballista	monster_ballista1_dead	None	None	mon_dead01	summon_buildturret_die.ogg	300	M	None	ROOTDummy01	summon_buildturret_hit.ogg	1	monster_ballista1_astd	None	1	9	<$>118719</>	1	YES	None	0	monster_ballista1_astd	ROOTDummy01	monster_ballista1_set	monster_ballista1_astd	HIT_bonjin	monster_ballista	None	ROOTDummy01	None	0	monster_ballista1_astd
trap_enemy_astd	trap_huntingtrap_atk	None	None	None	None	monster_trap_spiketrap_blow.ogg	trap_enemy_set	10005	Monster_HuntingTrap	trap_enemy_dead	None	None	None	None	333	M	trap_enemy_hit	ROOT_Dummy01	None	1	trap_enemy_idl	None	1	9	<$>118717</>	1	YES	None	100	trap_enemy_run	ROOT_Dummy01	trap_enemy_set	trap_enemy_std	None	None	HIT_Blood_Human	ROOT_Dummy01	None	0	trap_enemy_wlk
monster_ballista2_astd	None	None	None	None	None	structure_cannonturret_blow.ogg	monster_ballista2_set	10006	Monster_Ballista_Stand	monster_ballista1_dead	None	None	mon_dead01	summon_buildturret_die.ogg	300	M	None	ROOTDummy01	summon_buildturret_hit.ogg	1	monster_ballista2_astd	None	1	9	<$>118720</>	1	YES	None	0	monster_ballista2_astd	ROOTDummy01	monster_ballista2_set	monster_ballista2_astd	HIT_bonjin	None	None	ROOTDummy01	None	0	monster_ballista2_astd
monster_honeyspider_astd	monster_honeyspider_atk	None	None	None	None	monster_honeyspider_blow.ogg	monster_honeyspider_set	10009	Monster_HoneySpider_Amber	monster_honeyspider_dead	None	None	mon_dead01	monster_honeyspider_die.ogg	1867	M	monster_honeyspider_hit	ROOT_Dummy01	monster_honeyspider_hit.ogg	2	monster_honeyspider_idl	None	1	9	<$>48548</>	3	YES	None	0	monster_honeyspider_run	ROOT_Dummy01	monster_honeyspider_set	monster_honeyspider_std	HIT_Blood_DemonS	None	None	ROOT_Dummy01	None	0	monster_honeyspider_wlk
monster_cockatries_astd	monster_cockatries_atk	None	None	None	None	monster_cockatries_blow.ogg	monster_cockatries_set	10010	Mission_LittleHorn	None	monster_cockatries	monster_cockatries	mon_dead01	monster_cockatries_die.ogg	0	M	monster_cockatries_hit	Bip01 Spine1	monster_cockatries_hit.ogg	2	monster_cockatries_idl	None	1	1	<$>48550</>	1	NO	None	0	monster_cockatries_run	Bip01	monster_cockatries_set	monster_cockatries_std	HIT_Blood_cockatries	None	None	Bip01 Head	monster_cockatries	0	monster_cockatries_wlk
monster_cockatries_astd	monster_cockatries_atk	None	None	None	None	monster_cockatries_blow.ogg	monster_cockatries_set	10011	Monster_LittleHorn	None	monster_cockatries	monster_cockatries	mon_dead01	monster_cockatries_die.ogg	0	M	monster_cockatries_hit	Bip01 Spine1	monster_cockatries_hit.ogg	2	monster_cockatries_idl	None	1	1	<$>48551</>	1	NO	None	0	monster_cockatries_run	Bip01	monster_cockatries_set	monster_cockatries_std	HIT_Blood_cockatries	None	None	Bip01 Head	monster_cockatries	0	monster_cockatries_wlk
monster_cockatries_astd	monster_cockatries_atk	None	None	None	None	monster_cockatries_blow.ogg	monster_cockatries_set	10012	Monster_LittleHorn_Elite	None	monster_cockatries	monster_cockatries	mon_dead01	monster_cockatries_die.ogg	0	M	monster_cockatries_hit	Bip01 Spine1	monster_cockatries_hit.ogg	2	monster_cockatries_idl	None	1	1	<$>48552</>	1	NO	None	0	monster_cockatries_run	Bip01	monster_cockatries_set	monster_cockatries_std	HIT_Blood_cockatries	None	None	Bip01 Head	monster_cockatries	0	monster_cockatries_wlk
