ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Possess	Script	ShopName
1	C1_VIRON_MILITIA	NPC_Manuel	0	FALSE	minimap_npc.bmp	<$>64957</>	None	<$>64957</>	620	-19363	-3786	0	C1_VIRON_MILITIA	None
2	npc_worker01	npc_worker01	45	FALSE	None	<$>64958</>	None	<$>64958</>	8933	-17027	-1256	0	INFO_VIRON_SHIP	None
3	npc_viron_sol01	npc_viron_sol	180	FALSE	None	None	None	<$>64959</>	158	-15937	-3464	0	INFO_VIRON_SOL	None
4	npc_viron_sol02	npc_viron_sol	180	FALSE	None	None	None	<$>64959</>	172	-16571	-3464	0	INFO_VIRON_SOL	None
5	npc_viron_vegetable	COM_GIRLa2	45	FALSE	None	<$>64960</>	None	<$>64960</>	-4686	-16655	-3632	0	TR_BOOK_14	None
6	NPC_VIRON_PORT	COIM_FISHb	300	FALSE	minimap_npc.bmp	<$>64843</>	None	<$>64843</>	-5826	-15843	-3632	0	NPC_VIRON_PORT	None
7	C1_VIRON_FISHBOSS	COIM_FISHb	270	FALSE	minimap_npc.bmp	<$>64961</>	None	<$>64961</>	1903	-18484	-3785	0	C1_VIRON_FISHBOSS	None
8	npc_viron_sol03	npc_viron_sol	180	FALSE	None	None	None	<$>64959</>	6014	-4775	261	0	INFO_VIRON_SOL	None
9	npc_viron_sol04	npc_viron_sol	180	FALSE	None	None	None	<$>64959</>	6028	-5409	264	0	INFO_VIRON_SOL	None
10	npc_viron_vessol02	NPC_Luciano_R	270	FALSE	None	None	None	<$>64962</>	-207	91	528	0	INFO_VIRON_VESSOL	None
11	VIRON_PARTTIME_JOB	npc_viron_sol	270	FALSE	minimap_npc.bmp	<$>105338</>	None	<$>105338</>	519	-32	527	0	VIRON_PARTTIME_JOB	None
12	C1_VIRON_LEONELE	npc_leonele	270	FALSE	minimap_npc.bmp	<$>3474</>	None	<$>3474</>	394	1360	586	0	C1_VIRON_LEONELE	None
13	C1_VIRON_WHILTON	npc_viron_sol2	0	FALSE	minimap_npc.bmp	<$>64963</>	None	<$>64963</>	13831	-4139	1696	0	C1_VIRON_WHILTON	None
14	C1_VIRON_FAHREL	npc_fahrrel	0	FALSE	minimap_npc.bmp	<$>64964</>	None	<$>64964</>	-16216	-3701	273	0	C1_VIRON_FAHREL	None
15	npc_viron_seaman	COM_OLDMANa	270	FALSE	None	None	None	<$>64965</>	-3654	-19065	-3297	0	NPC_VIRON_SEAOLDMAN	None
16	C1_VIRON_DEAN	npc_viron_manc	270	FALSE	minimap_npc.bmp	<$>2377</>	None	<$>2377</>	3379	-10667	-892	0	C1_VIRON_DEAN	None
17	viron_taxman	REB_SERM	303	FALSE	minimap_npc.bmp	None	None	<$>136796</>	-207	786	527	0	NPC_TAXMAN	<$>136796</>
18	npc_viron_vessol08	NPC_Luciano_R	0	FALSE	None	None	None	<$>64962</>	-11187	-3929	252	0	INFO_VIRON_VESSOL	None
19	C1_VIRON_DOMINION	npc_noble01	90	FALSE	minimap_npc.bmp	<$>52020</>	None	<$>52020</>	-14567	-6080	151	0	C1_VIRON_DOMINION	None
20	npc_viron_boy	npc_viron_boy	90	FALSE	None	None	None	<$>4279</>	-14612	-5556	151	0	INFO_VIRON_BOY	None
21	npc_viron_girl	npc_viron_girl	90	FALSE	None	None	None	<$>4281</>	-14031	-5835	151	0	INFO_VIRON_GIRL	None
22	C1_VIRON_MELLA	npc_noble02	270	FALSE	minimap_npc.bmp	<$>5244</>	None	<$>5244</>	-6079	-7847	-673	0	C1_VIRON_MELLA	None
23	waypoint_viron	WAYPOINT_ONROAD	82	FALSE	minimap_waypoint.bmp	<$>51907</>	None	<$>51907</>	721	-2345	255	0	WAYPOINT_AUCH_BASIC	None
24	NPC_GIG_GAME	Gig_letizia	76	FALSE	minimap_npc.bmp	<$>90599</>	None	<$>90599</>	-142	-1855	255	0	NPC_GIG_GAME	None
26	SHOP_PROMOTION	npc_master	214	FALSE	minimap_npc.bmp	None	None	<$>95261</>	764	625	527	0	SHOP_PROMOTION	<$>95261</>
27	C1_VIRON_LIUNG	npc_liung	214	FALSE	minimap_npc.bmp	<$>91579</>	None	<$>91579</>	14273	-3078	1695	0	C1_VIRON_LIUNG	<$>95261</>
28	C1_VIRON_FREEDAY	npc_freeday	95	FALSE	minimap_npc.bmp	<$>87083</>	None	<$>87083</>	2644	-22275	-4169	0	C1_VIRON_FREEDAY	None
31	C1_VIRON_BERRONIFF	npc_vero	275	FALSE	minimap_enchant.bmp	<$>64966</>	None	<$>64966</>	-2488	-2462	255	0	C1_VIRON_BERRONIFF	<$>64966</>
32	SHOP_BULLET	npc_forge_nofireX	140	FALSE	None	None	None	<$>51707</>	-3445	-4777	255	0	BULLET_SHOP	None
33	SHOP_AUCH_ENCHIP	ETC_npc_slotmachine_set2	260	FALSE	None	None	None	<$>142226</>	-2971	294	255	0	SHOP_AUCH_ENCHIP	None
34	NPC_LUMIN_CHANGER	npc_forge_nofireY	260	FALSE	None	None	None	<$>10797</>	-3280	357	255	0	NPC_LUMIN_CHANGER	None
