Bgm1	Bgm10	Bgm11	Bgm12	Bgm13	Bgm14	Bgm15	Bgm16	Bgm17	Bgm18	Bgm19	Bgm2	Bgm20	Bgm21	Bgm22	Bgm23	Bgm24	Bgm25	Bgm26	Bgm27	Bgm28	Bgm29	Bgm3	Bgm30	Bgm4	Bgm5	Bgm6	Bgm7	Bgm8	Bgm9	ClassID	ClassName
Granado Espada	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	100	Login
Barracks	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	101	Barrack
Old Speckled Reel	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	102	ImmigrantCenter
Sol de la Centro	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	103	Saint_Zone
Poca Esperanza	None	None	None	None	None	None	None	None	None	None	The Last Number	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	104	Office_1
Poca Esperanza	None	None	None	None	None	None	None	None	None	None	Maze of Agony	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	105	Office_2
Poca Esperanza	None	None	None	None	None	None	None	None	None	None	Rapid Eye	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	106	Office_3
Cite de Reboldoeux	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	200	Reboldoeux
Supercooled Girl	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	201	Reboldoeux_Field
Aria de Coimbra	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	202	Coimbra
Rosa Rosado	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	203	Coimbra_Field
Vyshegrad - Valse d'Auch	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	204	Auch
Violin of the Death	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	205	Auch_Field
Oporto Partita	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	206	Espera
Grito Fuera	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	207	Ustiur
Waltz for Family	None	None	None	None	None	None	None	None	None	None	Involute	None	None	None	None	None	None	None	None	None	None	Beyond Hope	None	Cresendo Veritas	None	None	None	None	None	300	Battle_Field_1
Nexus	None	None	None	None	None	None	None	None	None	None	Toko	None	None	None	None	None	None	None	None	None	None	Laboro nomen	None	None	None	None	None	None	None	301	Battle_Field_2
mUsk Alliance	None	None	None	None	None	None	None	None	None	None	Iris	None	None	None	None	None	None	None	None	None	None	Endless Battle	None	None	None	None	None	None	None	302	Battle_Field_3
Zebre de La Clave	None	None	None	None	None	None	None	None	None	None	Violet	None	None	None	None	None	None	None	None	None	None	JinD'Ale	None	None	None	None	None	None	None	303	Battle_Field_4
Purple Snow	None	None	None	None	None	None	None	None	None	None	Agujero inmundo	None	None	None	None	None	None	None	None	None	None	Zinnia	None	Honor winds	None	None	None	None	None	304	Battle_Field_5
Maya	None	None	None	None	None	None	None	None	None	None	Noche de la Selva	None	None	None	None	None	None	None	None	None	None	Summer Queen	None	The Veras	El Rosa Alba	None	None	None	None	305	Battle_Field_6
Huldran	None	None	None	None	None	None	None	None	None	None	Westers	None	None	None	None	None	None	None	None	None	None	Espada Nigero	None	None	None	None	None	None	None	306	Battle_Field_7
Rapal	None	None	None	None	None	None	None	None	None	None	Red Shores	None	None	None	None	None	None	None	None	None	None	Vamos Bravo	None	None	None	None	None	None	None	307	Battle_Field_8
Dancing the Moon	None	None	None	None	None	None	None	None	None	None	Trollslottet	None	None	None	None	None	None	None	None	None	None	Laguerra del Mundo	None	None	None	None	None	None	None	308	Battle_Field_9
M.I.S.A	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	309	Al_Quelt_Moreza_Field
Fantacy	None	None	None	None	None	None	None	None	None	None	Trancephobia	None	None	None	None	None	None	None	None	None	None	Grassado	None	None	None	None	None	None	None	310	Tetra_Field
Rising Sun	None	None	None	None	None	None	None	None	None	None	Tales from the South	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	311	Porto_Bello_Field
Amaranth	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	312	Jaquin_Field
Amanecer	None	None	None	None	None	None	None	None	None	None	Me in the battle	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	313	Javier_Field
Illusion	None	None	None	None	None	None	None	None	None	None	Fire Hill	None	None	None	None	None	None	None	None	None	None	Flamengo Fighters	None	None	None	None	None	None	None	314	Tbk_Field
Odyssey	None	None	None	None	None	None	None	None	None	None	Forget-me-not	None	None	None	None	None	None	None	None	None	None	Overdose	None	Only did my duty	DarKno	None	None	None	None	400	Al_Quelt_Moreza
Al Quelt Moreza	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	401	Al_Quelt_Moreza_Boss
Temptation	None	None	None	None	None	None	None	None	None	None	Calmi Cuori Appassionati	None	None	None	None	None	None	None	None	None	None	Nangman Trance	None	Unearth	You Are Not Supposed To Be Here	None	None	None	None	402	Tetra
Notorious 1380	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	403	Tetra_Boss
Siren's Scent	None	None	None	None	None	None	None	None	None	None	A Witch on a diet	None	None	None	None	None	None	None	None	None	None	InigMatic	None	Andalusian Rhapsody	Travels	None	None	None	None	404	Porto_Bello
Captain Immortal	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	405	Porto_Bello_Boss
Beyond the Mountains	None	None	None	None	None	None	None	None	None	None	The G appears	None	None	None	None	None	None	None	None	None	None	die Fuge	None	Tempest	Narcissus	None	None	None	None	406	Jaquin
Notredame de course	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	407	Jaquin_Boss
Akashic record	None	None	None	None	None	None	None	None	None	None	Rhapsody	None	None	None	None	None	None	None	None	None	None	Touch me not	None	Esa Promesa	Urtica	None	None	None	None	408	Torsche
