BookName	ClassID	ClassName	Desc	FileName	ImgLeftPage	ImgRightPage	MaxPage	PageItemID	Tab	Tip	Writer
<$>13438</>	1	NoBook	None	None	image\LeftPage.jpg	image\RightPage.jpg	1	0	0	<$>13438</>	<$>13438</>
<$>112297</>	2	firstcontractor	<$>142187</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	20	23562	0	<$>142188</>	<$>112298</>
<$>112300</>	3	priestofdeath	<$>112302</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	20	23563	0	<$>142189</>	<$>112301</>
<$>118141</>	4	holysword	<$>142190</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	39	40600	1	<$>142191</>	<$>112301</>
<$>118144</>	5	Sisterconstans	<$>142192</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	37	40601	1	<$>142191</>	<$>112301</>
<$>118147</>	6	HolyspearLena	<$>142193</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	27	40602	1	<$>142194</>	<$>112301</>
<$>118150</>	7	ComebackSir	<$>142195</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	19	40603	1	<$>142196</>	<$>119518</>
<$>126024</>	8	BertheBlindStory	<$>126607</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	33	40608	1	<$>142197</>	<$>112301</>
<$>132285</>	9	Ornellaletter	<$>133624</>	icon_b_letter.bmp	image\LeftPage.jpg	image\RightPage.jpg	30	40598	1	<$>142198</>	<$>112301</>
<$>132288</>	10	VigilarStory	<$>142199</>	icon_b_bahhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	30	40599	1	<$>142200</>	<$>112301</>
<$>142201</>	11	Armonium	<$>142202</>	icon_Databook.bmp	image\LeftPage.jpg	image\RightPage.jpg	8	40597	2	<$>142203</>	<$>112301</>
<$>142204</>	12	JewelMenual	<$>180052</>	icon_Databook.bmp	image\LeftPage.jpg	image\RightPage.jpg	3	40597	2	<$>142206</>	<$>112301</>
<$>142207</>	13	Lynn	<$>214462</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	40	40595	1	<$>142211</>	<$>112301</>
<$>150230</>	14	evilandkevin	<$>214463</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	30	40594	1	<$>151493</>	<$>112301</>
<$>150227</>	15	Vernieduke	<$>214464</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	32	40593	1	<$>151496</>	<$>112301</>
<$>180053</>	16	Costertown	<$>214465</>	icon_Databook.bmp	image\LeftPage.jpg	image\RightPage.jpg	28	40591	2	<$>180056</>	<$>112301</>
<$>94803</>	17	SpyOlivia	<$>214466</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	22	40592	1	<$>180059</>	<$>112301</>
<$>187942</>	18	LaPucelle	<$>187943</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	46	40590	1	<$>187944</>	<$>112301</>
<$>187945</>	19	Sanquines1	<$>187946</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	38	40589	1	<$>187947</>	<$>112301</>
<$>187948</>	20	Sanquines2	<$>187949</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	38	40589	1	<$>187947</>	<$>112301</>
