ClassID	ClassName	Need1	Need10	Need10Count	Need1Count	Need2	Need2Count	Need3	Need3Count	Need4	Need4Count	Need5	Need5Count	Need6	Need6Count	Need7	Need7Count	Need8	Need8Count	Need9	Need9Count
1	Ring_MartialArtsS	None	None	0	0	Ring_TornadoVortex_1	1	None	0	Ring_DragonKick_1	1	Ring_AtomicCrazyRush_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
2	Ring_BackGuard	Ring_DeepStraight_1	None	0	1	None	0	Ring_Earthtremor_1	1	Ring_PentaTrain_1	1	Ring_Vortexlash_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
3	Ring_HighGuard	Ring_SlashDown_1	None	0	1	Ring_Guardian_1	1	Ring_PommelBeat_1	1	None	0	Ring_StunningSkewer_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
4	Ring_HackandSlash	Ring_HexenDropper_1	None	0	1	None	0	Ring_DustDevil_1	1	Ring_GladiatorsBane_1	1	Ring_ViolenceShootingstar_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
5	Ring_DefendingGuard	Ring_SlashDown_1	None	0	1	Ring_Guardian_1	1	Ring_Earthtremor_1	1	None	0	Ring_StunningSkewer_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
6	Ring_EpeeGarde	Ring_Fente_1	None	0	1	None	0	Ring_SeptEtoile_1	1	Ring_BalestraFente_1	1	Ring_CentEnnuyer_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
7	Ring_SabreGarde	Ring_Tete_1	None	0	1	Ring_Evasion_1	1	Ring_AttaqueComposee_1	1	None	0	Ring_EsquiveTouch_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
8	Ring_MaingaucheGarde	Ring_Fente_1	None	0	1	None	0	Ring_Eclabousser_1	1	Ring_LArcEnCiel_1	1	Ring_ParadeRiposte_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
9	Ring_MiddleGuard	None	None	0	0	Ring_CrescentMoon_1	1	Ring_GrindCutter_1	1	None	0	Ring_Assassinate_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
10	Ring_TwinBlades	Ring_HexenDropper_1	None	0	1	None	0	Ring_DustDevil_1	1	None	0	Ring_CrossPenetration_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
11	Ring_PlowGuard	Ring_Charge_1	None	0	1	None	0	Ring_VerticalSlash_1	1	Ring_Skyliner_1	1	HighlanderSoul_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
12	Ring_TailGuard	Ring_SweetDreamer_1	None	0	1	Ring_ArmorCrasher_1	1	Ring_Brandish_1	1	None	0	Ring_QuartoTaglio_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
13	Ring_RoofGuard	None	None	0	0	None	0	Ring_DreadWorm_1	1	Ring_Genocide_1	1	Ring_Fury_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
14	Ring_BlandirCruz	Ring_BlandirCadena_1	None	0	1	None	0	Ring_GiganteMarcha_1	1	None	0	Ring_TierraChoque_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
15	Ring_PenetrarCruz	Ring_Arpon_1	None	0	1	None	0	Ring_PalanxLocura_1	1	None	0	Ring_CientoPenetrar_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
16	Ring_Escrima	Ring_RajarenRecta_1	None	0	1	Ring_DagaVenenosa_1	1	Ring_BaileSoleares_1	1	Ring_LigeraVentaja_1	1	Ring_IlimitadaSierra_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
17	Ring_DobaladaCorte	Ring_AttaqueDevolver_1	None	0	1	Ring_DagaVenenosa_1	1	Ring_VientoIncierta_1	1	Ring_GuerraDeBaile_1	1	Ring_MiembroFantasma_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
18	Ring_EscrimaSCT	Ring_RajarenRecta_1	None	0	1	None	0	Ring_BaileSoleares_1	1	Ring_LigeraVentaja_1	1	Ring_IlimitadaSierra_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
19	Ring_DobaladaCorteSCT	Ring_AttaqueDevolver_1	None	0	1	None	0	Ring_VientoIncierta_1	1	Ring_GuerraDeBaile_1	1	Ring_MiembroFantasma_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
20	Ring_HeavenorHell	Ring_PistolShot_1	None	0	1	Ring_SlashDown_1	1	Ring_DeadlyInfinitum_1	1	Ring_GrindCutter_1	1	Ring_IntoTheHell_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
21	Ring_FlameGuard	Ring_SlashDown_1	None	0	1	Ring_BurningHands_1	1	Ring_Fireball_1	1	Ring_HellBreath_1	1	Ring_Assassinate_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
22	Ring_AimingShot	Ring_PlumBulletShot_1	None	0	1	Ring_DoubleFiring_1	1	None	0	Ring_SnapShots_1	1	Ring_Zeroin_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
23	Ring_FreestyleShot	None	None	0	0	Ring_Westraid_1	1	Ring_TripleFiring_1	1	None	0	Ring_QuickandDead_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
24	Ring_DoublegunsShot	Ring_Westraid_1	None	0	1	None	0	Ring_BloodyOverdrive_1	1	Ring_QuattroFiring1_1	1	Ring_RestinPeace_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
25	Ring_StandingShot	Ring_Birdfall_1	None	0	1	Ring_BlindFlash_1	1	Ring_Headshot_1	1	Ring_Undercovering_1	1	Ring_PrecisionStrike_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
26	Ring_KneelingShot	Ring_ChargingShot_1	None	0	1	None	0	Ring_Pierce_1	1	None	0	Ring_ExecutionShooter_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
27	Ring_DefendingShot	Ring_Birdfall_1	None	0	1	Ring_Guardian_1	1	Ring_Headshot_1	1	Ring_Undercovering_1	1	Ring_PrecisionStrike_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
28	Ring_ShotgunBlaster	Ring_MenaceShot_1	None	0	1	None	0	Ring_Implosion_1	1	None	0	Ring_Claymore_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
29	Ring_HuntingBlaster	Ring_MenaceShot_1	None	0	1	Ring_CriticalDisease_1	1	Ring_Implosion_1	1	Ring_Explosion_1	1	Ring_Claymore_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
