ClassID	ClassType	ItemName	ReinforceGroup	WLv
1	ElemBrc	None	Reinf_Special	33
2	Staff	None	Reinf_Special	33
3	Sword	None	Reinf_Special	33
4	Rapier	None	Reinf_Special	33
5	Sabre	None	Reinf_Special	33
6	THSword	None	Reinf_Special	33
7	Polearm	None	Reinf_Special	33
8	Dagger	None	Reinf_Special	33
9	Pistol	None	Reinf_Special	33
10	Rifle	None	Reinf_Special	33
11	Shotgun	None	Reinf_Special	33
12	Cannon	None	Reinf_Special	33
13	Knuckle	None	Reinf_Special	33
14	Leguard	None	Reinf_Special	33
15	Lute	None	Reinf_Special	33
16	CrossBow	None	Reinf_Special	33
17	Rod	None	Reinf_Special	33
18	Cube	None	Reinf_Special	33
19	MainG	None	Reinf_Special	33
20	Blunt	None	Reinf_Special	33
21	Javelin	None	Reinf_Special	33
30	Crescent	None	Reinf_Special	33
31	Tonfa	None	Reinf_Special	33
32	ElemBrc	None	Reinf_Special	35
33	Staff	None	Reinf_Special	35
34	Sword	None	Reinf_Special	35
35	Rapier	None	Reinf_Special	35
36	Sabre	None	Reinf_Special	35
37	THSword	None	Reinf_Special	35
38	Polearm	None	Reinf_Special	35
39	Dagger	None	Reinf_Special	35
40	Pistol	None	Reinf_Special	35
41	Rifle	None	Reinf_Special	35
42	Shotgun	None	Reinf_Special	35
43	Cannon	None	Reinf_Special	35
44	Knuckle	None	Reinf_Special	35
45	Leguard	None	Reinf_Special	35
46	Lute	None	Reinf_Special	35
47	CrossBow	None	Reinf_Special	35
48	Rod	None	Reinf_Special	35
49	Cube	None	Reinf_Special	35
50	MainG	None	Reinf_Special	35
51	Blunt	None	Reinf_Special	35
52	Javelin	None	Reinf_Special	35
55	Crescent	None	Reinf_Special	35
56	Tonfa	None	Reinf_Special	35
57	Book	None	Reinf_Special	33
58	ElemBrc	None	Reinf_Special	34
59	Staff	None	Reinf_Special	34
60	Sword	None	Reinf_Special	34
61	Rapier	None	Reinf_Special	34
62	Sabre	None	Reinf_Special	34
63	THSword	None	Reinf_Special	34
64	Polearm	None	Reinf_Special	34
65	Dagger	None	Reinf_Special	34
66	Pistol	None	Reinf_Special	34
67	Rifle	None	Reinf_Special	34
68	Shotgun	None	Reinf_Special	34
69	Cannon	None	Reinf_Special	34
70	Knuckle	None	Reinf_Special	34
71	Leguard	None	Reinf_Special	34
72	Lute	None	Reinf_Special	34
73	CrossBow	None	Reinf_Special	34
74	Rod	None	Reinf_Special	34
75	Cube	None	Reinf_Special	34
76	MainG	None	Reinf_Special	34
77	Blunt	None	Reinf_Special	34
78	Javelin	None	Reinf_Special	34
81	Crescent	None	Reinf_Special	34
82	Tonfa	None	Reinf_Special	34
83	Book	None	Reinf_Special	34
85	Tool	None	Reinf_Special	33
86	Tool	None	Reinf_Special	35
89	None	BristiaDagger	Reinf_Special	0
90	None	BristiaPistol	Reinf_Special	0
91	None	BristiaTHSword	Reinf_Special	0
92	None	BristiaCrescent	Reinf_Special	0
93	None	BristiaRapier	Reinf_Special	0
94	None	BristiaKnuckle	Reinf_Special	0
95	None	BristiaLeguard	Reinf_Special	0
96	None	BristiaTonfa	Reinf_Special	0
97	None	BristiaFireBrc	Reinf_Special	0
98	None	BristiaLghtBrc	Reinf_Special	0
99	None	BristiaIceBrc	Reinf_Special	0
100	None	BristiaSword	Reinf_Special	0
101	None	BristiaLute	Reinf_Special	0
102	None	BristiaElemBrc	Reinf_Special	0
103	None	BristiaPolearm	Reinf_Special	0
104	None	BristiaJavelin	Reinf_Special	0
105	None	BristiaRod	Reinf_Special	0
106	None	BristiaStaff	Reinf_Special	0
107	None	BristiaMainG	Reinf_Special	0
108	None	BristiaCrossBow	Reinf_Special	0
109	None	BristiaBlunt	Reinf_Special	0
110	None	BristiaBayonet	Reinf_Special	0
111	None	BristiaCannon	Reinf_Special	0
112	None	BristiaShotgun	Reinf_Special	0
113	None	BristiaSabre	Reinf_Special	0
114	None	BristiaDagger_Elite	Reinf_BST	0
115	None	BristiaPistol_Elite	Reinf_BST	0
116	None	BristiaTHSword_Elite	Reinf_BST	0
117	None	BristiaCrescent_Elite	Reinf_BST	0
118	None	BristiaRapier_Elite	Reinf_BST	0
119	None	BristiaKnuckle_Elite	Reinf_BST	0
120	None	BristiaLeguard_Elite	Reinf_BST	0
121	None	BristiaTonfa_Elite	Reinf_BST	0
122	None	BristiaFireBrc_Elite	Reinf_BST	0
123	None	BristiaLghtBrc_Elite	Reinf_BST	0
124	None	BristiaIceBrc_Elite	Reinf_BST	0
125	None	BristiaSword_Elite	Reinf_BST	0
126	None	BristiaLute_Elite	Reinf_BST	0
127	None	BristiaElemBrc_Elite	Reinf_BST	0
