ClassID	ClassName	EndQuestComplete	EndQuestProperty	Gender	Rank	ScoutType	StartQuest
1	Grace	V 40	XQ_Grace	Female	B	Quest	Quest_04001
2	Idge	V 70	XQ_Idge	Female	B	Quest	Quest_03501
3	Claude	V 20	YQ_Claude	Male	A	Quest	Quest_04501
4	Brunie	V 30	XQ_Brunie	Female	B	Quest	Quest_03001
5	Soldier	V 0	NTQ_Nunez	Both	C	Quest	NTQ_Quest01
6	Ramiro	V 30	XQ_Ramiro	Male	C	Quest	Quest_05001
7	Tiburon	V 30	XQ_Lorch	Male	C	Quest	Quest_51001
8	Jack	V 30	XQ_Jack	Male	B	Quest	Quest_01001
9	Yeganeh	V 80	XQ_Yeganeh	Male	B	Quest	Quest_02001
10	Andre	V 70	XQ_Andre	Male	A	Quest	Quest_01501
11	Panfilo	V 40	XQ_Panfilo	Male	B	Quest	Quest_02501
12	Jose	V 50 	XQ_Cortazar	Male	B	Quest	Quest_06501
13	Adelina	V 20	XQ_Adelina	Female	A	Quest	Quest_10501
14	MBoma	V 30	XQ_Mmboma	Male	B	Quest	Quest_09001
15	Soho	V 30	XQ_Soho	Male	B	Quest	Quest_11001
16	Alejandro	V 40	XQ_Alejandro	Male	B	Quest	Quest_08501
17	Lisa	V 50	XQ_Lisa	Female	B	Quest	Quest_07001
18	Emilia	V 30	XQ_Emilia	Female	B	Quest	Quest_09501
19	Sharif	V 110	XQ_Sharif	Male	B	Quest	Quest_10001
20	Lorch	V 80	XQ_Lorch	Male	B	Quest	Quest_51001
21	Gurtrude	V 40	XQ_Gurtrude	Male	B	Quest	Quest_06001
22	RescueKnight	V 60	XQ_Romina	Female	B	Quest	Quest_50001
23	Karjalainen	V 200	Quest_12003	Female	A	Quest	Quest_12002
24	Gracielo	V 30	XQ_Gracielo	Male	B	Quest	Quest_50501
25	Trooper	V 31	XQ_Lisa	Male	C	Quest	Quest_07001
26	Grandma	V 30	YQ_Grandma	Female	A	Quest	Quest_50001
27	Romina	V 30	YQ_Romina	Female	A	Quest	Quest_50001
28	CatherineSTR	V 80	XQ_Torsche	Female	A	Quest	Quest_51501
29	CatherineDEX	V 80	XQ_Torsche	Female	A	Quest	Quest_51501
30	CatherineINT	V 80	XQ_Torsche	Female	A	Quest	Quest_51501
31	CatherineREAL	V 80	XQ_Torsche	Female	A	Quest	Quest_51501
32	PanfiloBattle	V 0	None	Male	A	Rare	None
33	AdelinaPirate	V 0	None	Female	A	Rare	None
34	SohoFighter	V 0	None	Male	B	Rare	None
35	EmiliaSage	V 0	None	Female	A	Rare	None
36	IdgeBattle	V 0	None	Female	B	Rare	None
37	Selva	V 14	YQ_AuchAide	Female	A	Quest	Quest_58001
39	Infantry	V 20	XQ_AuchSol	Both	C	Quest	Quest_99012
40	Viki	V 200	Quest_18504	Male	C	Quest	Quest_18501
41	Muathai	V 50	XQ_Irawan	Male	B	Quest	Quest_19001
42	Angie	V 70	XQ_Angie	Female	B	Quest	Quest_20001
44	Dietrich	V 1	Lock_KurtOrEdu	Male	A	Quest	Quest_55001
45	Eduardo	V 1	Lock_KurtOrEdu	Male	A	Quest	Quest_55001
47	Garcia	V 200	Quest_54004	Male	B	Quest	Quest_53001
48	Soso	V 20	XQ_Soso	Female	B	Quest	Quest_56001
49	Rio	V 30	XQ_Rio	Male	A	Quest	Quest_57001
50	Backho	V 30	XQ_Ho	Male	B	Quest	Quest_22001
51	Calyce	V 22	XQ_Calyce	Female	B	Quest	Quest_22501
52	Clair	V 71	XQ_Clair	Female	B	Quest	Quest_23001
53	Nar	V 40	XQ_Nar	Male	B	Quest	Quest_62001
54	Ania	V 30	YQ_Ania	Female	A	Quest	Quest_64001
55	Hellena	V 20	XQ_Hellena	Female	B	Quest	Quest_75001
57	EmiliaLunatic	V 200	Quest_99033	Female	A	Quest	Quest_99032
58	Asoka	V 0	None	Female	A	Rare	None
59	CatherineTorsche	V 90	XQ_Torsche	Female	A	Quest	Quest_12600
60	Fighter	V 1	NTQ_Tuto	Both	B	Normal	Normal
61	Wizard	V 1	NTQ_Tuto	Both	B	Normal	Normal
62	Scout	V 1	NTQ_Tuto	Both	B	Normal	Normal
63	Musketeer	V 1	NTQ_Tuto	Both	B	Normal	Normal
64	Warlock	V 1	NTQ_Tuto	Both	B	Normal	Normal
65	Valleria	V 200	Quest_54006	Female	A	Quest	Quest_54006
66	Raven	V 200	Quest_85006	Male	A	Quest	Quest_85001
67	Leonele	V 40	YQ_Leonele	Male	A	Quest	Quest_82008
68	Berroniff	V 31	YQ_Berroniff	Female	A	Quest	Quest_86016
69	Natalie	V 30	XQ_Natalie	Female	B	Quest	Quest_145001
70	Daria	V 20	XQ_Daria	Female	B	Quest	Quest_145101
71	Ralph	V 0	None	Male	A	Rare	None
72	Ludin	V 41	XQ_Ludin	Female	A	Quest	Quest_146001
73	Ion	V 31	XQ_Ion	Male	A	Quest	Quest_148001
74	Cruz	V 27	XQ_Cruz	Male	A	Quest	Quest_265001
75	Veatrice	V 200	Quest_148106	Female	A	Quest	Quest_148101
76	Adriana	V 200	Quest_210119	Female	A	Quest	Quest_210112
77	CadetAdriana	V 0	None	Female	A	Rare	None
78	Grandies	V 200	Quest_148316	Female	A	Quest	Quest_148301
79	Vincent	V 200	Quest_148207	Male	A	Quest	Quest_148201
80	ElisaOfficer	V 200	Quest_230007	Female	A	Quest	Quest_230003
81	Elisa	V 0	None	Female	A	Rare	None
82	Racel	V 0	None	Male	B	Rare	None
83	Mary	V 200	Quest_12318	Female	B	Quest	Quest_12301
84	Tora	V 200	Quest_141039	Male	A	Quest	Quest_141015
85	Sharon	V 200	Quest_64105	Female	A	Quest	Quest_64101
86	Marchetti	V 200	Quest_150207	Male	A	Quest	Quest_150201
87	Barrel	V 200	Quest_23107	Male	A	Quest	Quest_23100
88	Heyran	V 200	Quest_03604	Female	A	Quest	Quest_03600
89	Grandies2	V 0	None	Female	A	Accomplish	None
90	Jd	V 200	Quest_150016	Male	A	Quest	Quest_150013
91	Sorang	V 0	None	Female	A	Accomplish	None
92	GraceSniper	V 0	None	Female	A	Accomplish	None
93	Kano	V 200	Quest_00060	Female	A	Quest	Quest_00050
94	Liung	V 200	Quest_144208	Male	A	Quest	Quest_144201
95	Sherlin	V 200	Quest_89307	Female	A	Quest	Quest_89301
96	Vendetta	V 200	Quest_54012	Female	A	Quest	Quest_54007
97	Olivia	V 200	Quest_142703	Female	A	Quest	Quest_142700
98	SpyOlivia	V 0	None	Female	A	Accomplish	None
99	Freeday	V 200	Quest_144408	Male	A	Quest	Quest_144401
100	Veil	V 200	Quest_150036	Male	A	Quest	Quest_150028
101	Spirit	V 200	Quest_144507	Female	A	Quest	Quest_144501
102	Kess	V 200	Quest_150044	Male	A	Quest	Quest_150037
103	Rachel	V 0	None	Female	A	Rare	None
104	Rosa	V 200	Quest_144606	Female	A	Quest	Quest_144601
105	MontoroPC	V 0	None	Male	A	Accomplish	None
106	Viking	V 0	None	Male	A	Rare	None
107	ClaudeY	V 0	None	Male	A	Accomplish	None
108	Selane	V 200	Quest_144707	Female	A	Quest	Quest_144701
109	SierraLosPC	V 200	Quest_21018	Female	A	Quest	Quest_21010
110	SherlinICE	V 0	None	Female	A	Rare	None
111	Nena	V 40	YQ_Nena	Female	A	Quest	Quest_21027
112	Illusion	V 0	None	Female	A	Rare	None
113	GracieloHD	V 0	None	Male	A	Rare	None
114	Levin	V 0	None	Male	A	Rare	None
115	hknight	V 28	YQ_Rigel	Male	A	Quest	Quest_171001
116	ClairCN	V 0	None	Female	A	Rare	None
117	ClairCG	V 0	None	Female	A	Rare	None
118	Mireille	V 0	None	Female	A	Rare	None
119	Sesil	V 0	None	Female	A	Rare	None
120	Laura	V 60	YQ_Laura	Female	A	Quest	Quest_171101
121	BLudin	V 0	None	Female	A	Rare	None
122	SLudin	V 0	None	Female	A	Rare	None
123	Jane	V 0	None	Female	A	Rare	None
124	Patrick	V 200	Quest_171205	Male	A	Quest	Quest_171201
126	Jin	V 0	None	Female	A	Rare	None
127	Berthe	V 41	YQ_Berthe	Female	A	Quest	Quest_171301
128	Roreta	V 0	None	Female	A	Rare	None
129	CLeonele	V 0	None	Male	A	Rare	None
130	Anies	V 200	Quest_171414	Female	B	Quest	Quest_171401
131	IceMontoro	V 0	None	Male	A	Rare	None
132	Elizabeth	V 0	None	Female	A	Rare	None
133	Van	V 200	Quest_171506	Male	A	Quest	Quest_171501
134	Dolores	V 0	None	Female	A	Rare	None
135	Lorraine	V 0	None	Female	A	Rare	None
136	Bryan	V 200	Quest_171606	Female	A	Quest	Quest_171601
137	BryanRare	V 0	None	Female	A	Rare	None
138	Bane	V 0	None	Male	A	Rare	None
139	Lynn	V 60	YQ_Lynn	Female	A	Quest	Quest_148401
140	LynnRare	V 0	None	Female	A	Rare	None
141	Leona	V 200	Quest_82076	Female	A	Quest	Quest_82049
142	Evil	V 200	Quest_148507	Male	A	Quest	Quest_148501
143	Kevin	V 0	None	Male	A	Rare	None
144	Leona2	V 0	None	Female	A	Rare	None
145	Sariel	V 200	Quest_171706	Male	A	Quest	Quest_171701
146	Sariel2	V 0	None	Male	A	Rare	None
147	JudithRare	V 200	Quest_171809	Female	B	Quest	Quest_171801
148	Judith	V 0	None	Female	A	Rare	None
149	Risky	V 0	None	Female	A	Rare	None
151	Amy	V 200	Quest_181010	Female	A	Quest	Quest_181001
152	AmyRare	V 0	None	Female	A	Rare	None
154	Yuliana	V 0	None	Female	A	Rare	None
155	Neo10	V 1	NTQ_Tuto	Male	A	Normal	Normal
156	Diertrichherberthe	V 200	Quest_183009	Female	A	Quest	Quest_183001
157	DiertrichRare	V 0	None	Female	A	Rare	None
158	Vanessa	V 0	None	Female	A	Rare	None
159	Hektor	V 200	Quest_144308	Male	A	Quest	Quest_144301
160	Nina	V 0	None	Female	A	Rare	None
161	Jaina	V 0	None	Female	A	Rare	None
162	Kano2	V 0	None	Female	A	Rare	None
163	Kano2Rare	V 0	None	Female	A	Rare	None
164	Aclla	V 0	None	Female	A	Rare	None
165	NatalieRare	V 0	None	Female	A	Rare	None
166	Daisy	V 0	None	Female	A	Rare	None
167	Becky	V 0	None	Female	A	Rare	None
168	Kei	V 0	None	Male	A	Rare	None
169	BertheIce	V 0	None	Female	A	Rare	None
170	Scarlet	V 0	None	Female	A	Rare	None
171	Ciel	V 0	None	Female	A	Rare	None
172	Hermes	V 0	None	Female	A	Rare	None
173	Joshua	V 200	Quest_184006	Female	A	Quest	Quest_184001
174	Joshua2	V 0	None	Female	A	Rare	None
175	Yeganeh2	V 0	None	Male	A	Rare	None
176	Kael	V 200	Quest_185008	Male	A	Quest	Quest_185001
177	KaelRare	V 0	None	Male	A	Rare	None
178	Rachel2	V 0	None	Female	A	Rare	None
179	Rachel2Rare	V 0	None	Female	A	Rare	None
180	DariaRare	V 0	None	Female	A	Rare	None
181	Eileen	V 200	Quest_180068	Female	A	Quest	Quest_180055
182	EileenRare	V 0	None	Female	A	Rare	None
183	Rada	V 0	None	Female	A	Rare	None
184	BertheRare	V 0	None	Female	A	Rare	None
185	Anies2	V 0	None	Female	A	Rare	None
186	bknight	V 0	None	Male	A	Rare	None
187	Calyce2	V 0	None	Female	A	Rare	None
188	Misa	V 0	None	Female	A	Rare	None
189	Coa	V 200	Quest_43008	Female	A	Quest	Quest_43001
190	CoaRare	V 0	None	Female	A	Rare	None
191	Kiss	V 0	None	Male	A	Rare	None
192	Sakura	V 0	None	Female	A	Rare	None
193	SakuraRare	V 0	None	Female	A	Rare	None
194	Aisha	V 0	None	Female	A	Rare	None
195	Navas	V 0	None	Female	A	Rare	None
196	Loo	V 200	Quest_44007	Male	A	Quest	Quest_44001
197	LooRare	V 0	None	Male	A	Rare	None
198	Zaved	V 0	None	Female	A	Rare	None
199	Miho	V 0	None	Female	A	Rare	None
200	Miha	V 0	None	Male	A	Rare	None
201	Barrelrare	V 0	None	Male	A	Rare	None
202	Cassandra	V 0	None	Female	A	Rare	None
203	Moon	V 0	None	Male	A	Rare	None
204	Nike	V 0	None	Female	A	Rare	None
205	Van2	V 0	None	Male	A	Rare	None
206	Ornella	V 0	None	Female	A	Rare	None
207	OrnellaBlack	V 0	None	Female	A	Rare	None
208	Charlotrare	V 0	None	Female	A	Rare	None
209	RominaRare	V 0	None	Female	A	Rare	None
210	Hildegard	V 0	None	Female	A	Rare	None
211	Valkyrie	V 0	None	Female	A	Rare	None
