ClassGroup	ClassID	GX	GY	PX	PY	Property	Script
FARM_PLANT	1	198	355	200	365	Farm_Plant1	CHECK_FARM_PLANT
FARM_PLANT	2	233	355	235	365	Farm_Plant2	CHECK_FARM_PLANT
FARM_PLANT	3	268	355	270	365	Farm_Plant3	CHECK_FARM_PLANT
FARM_PLANT	4	303	355	305	365	Farm_Plant4	CHECK_FARM_PLANT
FARM_PLANT	5	198	390	200	400	Farm_Plant5	CHECK_FARM_PLANT
FARM_PLANT	6	233	390	235	400	Farm_Plant6	CHECK_FARM_PLANT
FARM_PLANT	7	268	390	270	400	Farm_Plant7	CHECK_FARM_PLANT
FARM_PLANT	8	303	390	305	400	Farm_Plant8	CHECK_FARM_PLANT
FARM_PLANT	9	198	425	200	435	Farm_Plant9	CHECK_FARM_PLANT
FARM_PLANT	10	233	425	235	435	Farm_Plant10	CHECK_FARM_PLANT
FARM_PLANT	11	268	425	270	435	Farm_Plant11	CHECK_FARM_PLANT
FARM_PLANT	12	303	425	305	435	Farm_Plant12	CHECK_FARM_PLANT
FARM_FISHTRAP	13	138	210	140	220	Farm_FishTrap1	CHECK_FARM_PLANT
FARM_FISHTRAP	14	193	155	195	165	Farm_FishTrap2	CHECK_FARM_PLANT
FARM_FISHTRAP	15	248	165	250	175	Farm_FishTrap3	CHECK_FARM_PLANT
FARM_FEEDBOX	16	153	335	155	345	Farm_FoodBoxType	CHECK_FARM_PLANT
