AR	ASPD	ASPD_Opt	ATK	AddATK	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireIP	GolemBane	GroupName	HPDrain	HR	HR_Opt	HumanBane	IMP	IMP_Opt	IceATK	IceIP	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncMHP	IncMHP_Opt	IncMSP	IncMSP_Opt	IncSTR	InfoView	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LgtIP	LogoutSave	MHP	MHP2_Opt	MHP_Opt	MKP	MSP	MSP2_Opt	MSPD	MSPD_Opt	MSP_Opt	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PCAtk	PCDef	PR	PR_Opt	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyIP	RFIRE	RHP	RICE	RLGHT	RPSY	RSP	RSTAT	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	SetItemGroup	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	12	0	0	None	hit_fist1.ogg	0	None	None	0	None	0	Armor	<$>31452</>	Armor_None	<$>13438</>	19000	NoGlove	None	NO	0	FALSE	1	0	GLOVE	0	<$>13438</>	0	10	0	0	None	None	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	NoGlove	GLOVE	None	None	0	0	FALSE	None	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	FALSE	<$>13438</>	SYS_item_column_red	0	<$>13438</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	19000	1.6	None	0	0	0	None	None	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	1	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Glove1	<$>38144</>	19101	Gloves	Glove	NO	2	FALSE	1	0	GLOVE	0	<$>38145</>	0	10	0	0	None	NormEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Gloves	GLOVE	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_gloves	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	1000	0	0	0	0	TRUE	<$>38144</>	SYS_item_column_red	20	<$>27236</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	GLOVE	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140804</>	1	19101	1.6	None	27500	0	0	None	<$>38146</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	2	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Glove2	<$>38149</>	19102	LeatherGloves	LGlove	NO	4	FALSE	1	0	GLOVE	0	<$>38148</>	0	10	0	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Leather gloves	GLOVE	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_leathergloves	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>38144</>	SYS_item_column_red	21	<$>38147</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	GLOVE	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140805</>	1	19102	1.6	None	27500	0	0	None	<$>38146</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	2	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Glove2	<$>38149</>	19103	HardLeatherGloves	LGlove	NO	5	FALSE	1	0	GLOVE	0	<$>38151</>	0	10	0	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Hard-leather gloves	GLOVE	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_hardleathergloves	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>38144</>	SYS_item_column_red	22	<$>38150</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	GLOVE	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140805</>	1	19103	1.6	None	27500	0	0	None	<$>38146</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	-4	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	3	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Glove3	<$>38154</>	19104	ChainGloves	MGlove	NO	6	FALSE	1	0	GLOVE	0	<$>38153</>	0	10	0	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Chain gloves	GLOVE	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_chainbracers	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>38144</>	SYS_item_column_red	23	<$>38152</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	GLOVE	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140633</>	1	19104	1.6	None	27500	0	0	None	<$>38146</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	-4	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	3	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Glove3	<$>38154</>	19105	MetalGauntlets	MGlove	NO	8	FALSE	1	0	GLOVE	0	<$>38156</>	0	10	0	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Metal gauntlets	GLOVE	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_metalgauntlets	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>38144</>	SYS_item_column_red	0	<$>38155</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	21001	2	1	0	0	0	0	0	0	None	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140633</>	1	19105	1.6	None	27500	0	0	None	<$>38146</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	1	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Glove1	<$>38144</>	19106	MageGloves	Glove	NO	2	FALSE	1	0	GLOVE	0	<$>38158</>	0	10	0	0	None	NormEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Mage gloves	GLOVE	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_gloves	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>38144</>	SYS_item_column_red	0	<$>38157</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	21004	10	5	0	0	0	0	0	0	None	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140804</>	1	19106	1.6	None	27500	0	0	None	<$>38146</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	2	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Glove2	<$>38149</>	19107	SnipersGloves	LGlove	NO	4	FALSE	1	0	GLOVE	0	<$>38160</>	0	10	0	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Sniper's gloves	GLOVE	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_leathergloves	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>38144</>	SYS_item_column_red	0	<$>38159</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	21003	10	5	0	0	0	0	0	0	None	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140805</>	1	19107	1.6	None	27500	0	0	None	<$>38146</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	2	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Glove2	<$>38149</>	19108	GladiatorsBracer	LGlove	NO	5	FALSE	1	0	GLOVE	0	<$>38162</>	0	10	0	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Gladiator's bracers	GLOVE	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_hardleathergloves	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>38144</>	SYS_item_column_red	0	<$>38161</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	21002	6	3	21001	2	1	0	0	0	None	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140805</>	1	19108	1.6	None	27500	0	0	None	<$>38146</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	3	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Glove3	<$>38154</>	19109	IdgeGauntlets	MGlove	NO	4	FALSE	1	0	GLOVE	0	<$>38164</>	0	10	0	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	44	Idge's gauntlets	GLOVE	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_metalgauntlets	0	0	0	Glove	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>38144</>	SYS_item_column_red	0	<$>38163</>	None	0	1000	0	0	No	0	0	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	GLOVE	0	0	0	0	NO	1	None	2880	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140609</>	1	19109	1.6	None	880	0	0	None	<$>38146</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	44	TRUE	11	None	0	0	0
