AutoInspect	AutoInspecterScp	AutoRepoteScp	AvailableAbrasive	BarrackLocalizeScript	CashUnit	ClassID	ClassName	ClientExceptionMail	ClientLocalizeScript	CommanderEmblem	CouponScript	EmblemURL	ExceptionMailServer	ExceptionReportMethod	LevelUpScript	LocalRequestURL	LocalizeScript	PCCafeInstallEvent	PCCafeScript	ServerExceptionMail	ServiceNation	SkillLevelUpScript	SocialFacebookLoginURL	SocialGoogleLoginURL	SocialLoginWebMiddleURL	SocketUnit	StanceLevelUpScript	TabMargine	WheelDir	WindowTitle	XTrapConfigLive	XTrapConfigTest	ZoneEnter	ZoneLocalizeScript
0	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	TRUE	Barrack_Localize_KOR	HC	1	KOR	bug_c_kor@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_KOR	52.79.54.248	mail.imcgames.net	REPORTMAIL	OnLevelUp_KOR	/ge_support/emblem/emblem.asp	Localize_KOR	PCCafeInstallEvent_KOR	PCCafe_KOR	bug_s_kor@imcgames.net	<$>47297</>	OnSkillLevelUp_KOR	None	None	None	S	OnStanceLevelUp_KOR	14	1	Granado Espada	660970B47819CA6FC5356E9844CFEF629E509623CEB3F8B7F181FC0E0167414F69A45144CB974B285C74C48D99C92B0F1A33CE4D64D1C9C1E68B3EF15EFEDD140F7D04245246E400A0381D5FCF537F43BCA1C9B91B57621A585A91ACB2312209A5C1FB66B1DC	660970B47819CA6FC5356E9844CFEF629E509623CEB3F8B7F181FC0E0167414F69A45144CB974B285C74C48D99C92B0F1A33CE4D64D1C9C1E68B3EF15EFEDD140F7D04245246E400A0381D5FCF537F43BCA1C9B91B57621A585A91ACB2312209A5C1E36AB4CD	ZoneEnter_KOR	Zone_Localize_KOR
10000	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	FALSE	Barrack_Localize_KOR	HC	2	JPN	bug_c_jpn@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_JPN	old-ge.hanbitstation.jp	mail.imcgames.net	SAVEREPORT	OnLevelUp_KOR	/community/emblem/emblem.asp	Localize_JPN	PCCafeInstallEvent_JPN	PCCafe_JPN	bug_s_jpn@imcgames.net	<$>47298</>	OnSkillLevelUp_KOR	None	None	None	S	OnStanceLevelUp_KOR	8	1	Granado Espada	660970B45819CA6F83356D9844CFE862BC7D92828DDF149F9B5FA3BD5D36222CA12F0A96553FE45916146DDA0CE3F11BB6079651016BB23C65882AF0750684630F7D04245246E40FA47B0F57CF45721AAA5805AD9C504E3453222759FF9CD90E35FB4C7AB0BFF0A295E7D943C8CE6597B210A9AFE8	660970B45819CA6F83356D9844CFE862BC7D92828DDF149F9B5FA3BD5D36222CA12F0A96553FE45916146DDA0CE3F11BB6079651016BB23C65882AF0750684630F7D04245246E40FA47B0F57CF45721AAA5805AD9C504E3453222759FF9CD90E35FB4C7AB0BFF0A295E7D943C8CE6597B210A9AFE8	ZoneEnter_KOR	Zone_Localize_KOR
20000	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	FALSE	Barrack_Localize_KOR	G	3	CHN	bug_c_chn@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_CHN	ge.hanbiton.com	mail.imcgames.net	SAVEREPORT	OnLevelUp_KOR	/ge_support/emblem/emblem.asp	Localize_USA	PCCafeInstallEvent_CHN	PCCafe_KOR	bug_s_chn@imcgames.net	<$>47299</>	OnSkillLevelUp_KOR	None	None	None	S	OnStanceLevelUp_KOR	12	1	Granado Espada	660970B45E69CB6783356D9844CFE862971CF33A1E260F13DAAA664CCCBDD2CB6994AD01C21346A7361D5855A90358F6C29B068B13267A5D85107897930DB5FD0F7D04245246E451F43B5C0B891E265906D8345D3F00C4A7358A17	660970B45E69CB6783356D9844CFE862971CF33A1E260F13DAAA664CCCBDD2CB6994AD01C21346A7361D5855A90358F6C29B068B13267A5D85107897930DB5FD0F7D04245246E451F43B5C0B891E265906D8345D3F00C4A7358A17	ZoneEnter_KOR	Zone_Localize_CHN
30000	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	FALSE	Barrack_Localize_KOR	C	4	TWN	bug_c_twn@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_KOR	ge.hanbiton.com	mail.imcgames.net	SAVEREPORT	OnLevelUp_KOR	/ge_support/emblem/emblem.asp	Localize_USA	PCCafeInstallEvent_KOR	PCCafe_TWN	bug_s_twn@imcgames.net	<$>47300</>	OnSkillLevelUp_KOR	None	None	None	S	OnStanceLevelUp_KOR	10	1	Granado Espada	660970B47819CA6F83356D9844CFE862645A681CE2715ADF1B0951AD4DCA9D5EAE46E1BC6D604DE5B66B14A38DF958468659C8781DB9822E4886CC1DC4020C970F7D04245246E40FA47B0F57CF57620C52CFC7395C048A529BEBACB540E504C3958489B53A52A3931D4040EF6D2593018293573EE7F6DF23B7A108C80D433DCEE5EE3F	660970B47819CA6F83356D9844CFE862645A681CE2715ADF1B0951AD4DCA9D5EAE46E1BC6D604DE5B66B14A38DF958468659C8781DB9822E4886CC1DC4020C970F7D04245246E40FA47B0F57CF57620C52CFC7395C048A529BEBACB540E504C3958489B53A52A3931D4040EF6D2593018293573EE7F6DF23B7A108C80D433DCEE5EE3F	ZoneEnter_KOR	Zone_Localize_KOR
40000	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	FALSE	Barrack_Localize_KOR	AC	5	THI	bug_c_thi@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_THI	ge.hanbiton.com	mail.imcgames.net	SAVEREPORT	OnLevelUp_KOR	/ge_support/emblem/emblem.asp	Localize_KOR	PCCafeInstallEvent_THI	PCCafe_THI	bug_s_thi@imcgames.net	<$>47301</>	OnSkillLevelUp_KOR	http://119.46.99.241/play/ge/?id=facebook	http://119.46.99.241/play/ge/?id=google	119.46.99.241:41011/	S	OnStanceLevelUp_KOR	10	1	Granado Espada	660970B46069CB67CD356D9844CFE862E237825A47BBE5AA9BC457B1C3C227D93B9289B66C69A42D8AA42035FECB8D956F9152BE5B0E4F91EBF18A577AB01E150F7D04245246E417A4610E5695577243BED428B79067965106A5EB752DB30CE2B8	660970B46069CB67CD356D9844CFE862E237825A47BBE5AA9BC457B1C3C227D93B9289B66C69A42D8AA42035FECB8D956F9152BE5B0E4F91EBF18A577AB01E150F7D04245246E417A4610E5695577243BED428B79067965106A5EB752DB30CE2B801759F3417	ZoneEnter_KOR	Zone_Localize_KOR
50000	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	FALSE	Barrack_Localize_KOR	C	6	SEA	bug_c_sea@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_KOR	ge.hanbiton.com	mail.imcgames.net	SAVEREPORT	OnLevelUp_KOR	/ge_support/emblem/emblem.asp	Localize_KOR	PCCafeInstallEvent_KOR	PCCafe_KOR	bug_s_sea@imcgames.net	<$>47302</>	OnSkillLevelUp_KOR	None	None	None	S	OnStanceLevelUp_KOR	8	1	Granado Espada	660970B4C819CA7183356D9844CFE862299A5E2C8E6380174E1A4E293ABBA52BA15ED32DCCA9576A52C1758172A148B9700BB0E822BA0BAAC3ABC82981F9352A0F7D04245246E40BAC630810CB51630E505201CAC8BEC60059260566833F9F4F5F0DF928D71BAD	660970B4C819CA7183356D9844CFE862299A5E2C8E6380174E1A4E293ABBA52BA15ED32DCCA9576A52C1758172A148B9700BB0E822BA0BAAC3ABC82981F9352A0F7D04245246E413A0661910CB51630EE1E6AC380EA95D28D9416D9C0C2548AB0ED75079B1B5B6	ZoneEnter_KOR	Zone_Localize_KOR
60000	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	FALSE	Barrack_Localize_KOR	C	7	USA	bug_c_usa@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_KOR	ge.hanbiton.com	mail.imcgames.net	SAVEREPORT	OnLevelUp_KOR	/ge_support/emblem/emblem.asp	Localize_USA	PCCafeInstallEvent_KOR	PCCafe_KOR	bug_s_usa@imcgames.net	<$>47303</>	OnSkillLevelUp_KOR	None	None	None	S	OnStanceLevelUp_KOR	10	-1	Sword of the New World	660970B4781BCA4783356D9844CFE862C928E6C85B9C911DE98DB4EC39643DF4550087626D35077A96753F1BDF2EE046DB0377FE4BD9F4AE7DFE31D148D03A410F7D04245246E455F522430D831E265F86448992C3793475414B9792304E85A730473CF02D	660970B4781BCA4783356D9844CFE862C928E6C85B9C911DE98DB4EC39643DF4550087626D35077A96753F1BDF2EE046DB0377FE4BD9F4AE7DFE31D148D03A410F7D04245246E455F522430D831E265F86448992C3793475414B9792304E85A7305F30F53C	ZoneEnter_KOR	Zone_Localize_KOR
70000	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	FALSE	Barrack_Localize_KOR	C	8	VNM	bug_c_vnm@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_KOR	ge.hanbiton.com	mail.imcgames.net	SAVEREPORT	OnLevelUp_KOR	/ge_support/emblem/emblem.asp	Localize_KOR	PCCafeInstallEvent_KOR	PCCafe_KOR	bug_s_vnm@imcgames.net	<$>47304</>	OnSkillLevelUp_KOR	None	None	None	S	OnStanceLevelUp_KOR	10	-1	Granado Espada	660970B4781BCA4783356D9844CFE862C928E6C85B9C911DE98DB4EC39643DF4550087626D35077A96753F1BDF2EE046DB0377FE4BD9F4AE7DFE31D148D03A410F7D04245246E455F522430D831E265F86448992C3793475414B9792304E85A730473CF02D	660970B4781BCA4783356D9844CFE862C928E6C85B9C911DE98DB4EC39643DF4550087626D35077A96753F1BDF2EE046DB0377FE4BD9F4AE7DFE31D148D03A410F7D04245246E455F522430D831E265F86448992C3793475414B9792304E85A7305F30F53C	ZoneEnter_KOR	Zone_Localize_KOR
70000	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	TRUE	Barrack_Localize_KOR	DBL	9	RUS	bug_c_rus@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_KOR	None	mail.imcgames.net	SAVEREPORT	OnLevelUp_KOR	/ge_support/emblem/emblem.asp	Localize_KOR	PCCafeInstallEvent_KOR	PCCafe_KOR	bug_s_rus@imcgames.net	<$>47305</>	OnSkillLevelUp_KOR	None	None	None	S	OnStanceLevelUp_KOR	14	1	Granado Espada	660970B47819CA6F83356D9844CFE862645A681CE2715ADF1B0951AD4DCA9D5EAE46E1BC6D604DE5B66B14A38DF958468659C8781DB9822E4886CC1DC4020C970F7D04245246E40FA47B0F57CF57620C52CFC7395C048A529BEBACB540E504C3958489B53A52A3931D4040EF6D2593018293573EE7F6DF23B7A108C80D433DCEE5EE3F	660970B47819CA6F83356D9844CFE862645A681CE2715ADF1B0951AD4DCA9D5EAE46E1BC6D604DE5B66B14A38DF958468659C8781DB9822E4886CC1DC4020C970F7D04245246E40FA47B0F57CF57620C52CFC7395C048A529BEBACB540E504C3958489B53A52A3931D4040EF6D2593018293573EE7F6DF23B7A108C80D433DD0F9914CD573	ZoneEnter_KOR	Zone_Localize_KOR
90000	SCR_AUTOINSPECT_INSPECTER_REWARD	SCR_AUTOINSPECT_REPOTER_REWARD	TRUE	Barrack_Localize_KOR	iC	10	STEAM	bug_c_kor@imcgames.net	Client_Localize_KOR	/ge_support/emblem/commander_emblem.asp	Coupon_KOR	13.228.130.144	mail.imcgames.net	SAVEREPORT	OnLevelUp_KOR	/ge_support/emblem/emblem.asp	Localize_KOR	PCCafeInstallEvent_KOR	PCCafe_KOR	bug_s_kor@imcgames.net	<$>199549</>	OnSkillLevelUp_KOR	None	None	None	S	OnStanceLevelUp_KOR	14	1	Granado Espada	660970B47819CA6F83356D9844CFE862645A681CE2715ADF1B0951AD4DCA9D5EAE46E1BC6D604DE5B66B14A38DF958468659C8781DB9822E4886CC1DC4020C970F7D04245246E40FA47B0F57CF57620C52CFC7395C048A529BEBACB540E504C3958489B53A52A3931D4040EF6D2593018293573EE7F6DF23B7A108C80D433DCEE5EE3F	660970B47819CA6F83356D9844CFE862645A681CE2715ADF1B0951AD4DCA9D5EAE46E1BC6D604DE5B66B14A38DF958468659C8781DB9822E4886CC1DC4020C970F7D04245246E40FA47B0F57CF57620C52CFC7395C048A529BEBACB540E504C3958489B53A52A3931D4040EF6D2593018293573EE7F6DF23B7A108C80D433DD0F9914CD573	ZoneEnter_KOR	Zone_Localize_KOR
