ActionCamDist	ActionCamFreq	AtkLayer	Buff	BuffAlarmOnBoth	BuffAlarmOnEnemy	BuffAlarmOnMCC	BuffAlarmOnMe	BuffFreq	BuffID	BuffType	CastDist	CastSkill	CastTime	ChargeAddR	ChargeGauge	ChargeType	ChaseTime	CheckBuff	CheckBuffLevel	ClassID	ClassName	ClassType	ComboSkill	CoolDown	CurStackSkillCount	DamageType	Desc	DmgTarget	DownTime	Drain	EngName	FileName	FlyingTime	HandType	HateAmnt	HitDist	HitTime	Hits	HoldTarget	HoldTime	IgnoreCastHIT	IgnoreDEF	InitCastTime	KBDist	KBTime	KDRank	KDownHAngle	KDownPower	KDownType	KDownVAngle	MaxPlacement	MaxR	MaxStackSkillCount	MinR	MoveDist	MoveTime	MoveType	Name	OnAll	OnCorpse	OnEnemy	OnEqpShld	OnOthers	OnParty	OnSquad	OnSummon	OnTeam	OnTrigger	PerentSkillID	Placement	PvPFix	RefreshTime	RemBuff1	RemBuff2	RemBuff3	RemBuff4	RemBuff5	Script	SkillEndScript	SklATK	SklEXP	SklLv	SklLv_BM	SklMedium	SklMetal	SklRank	SklSoft	SpecDesc0	SpecDesc1	SpecDesc10	SpecDesc11	SpecDesc12	SpecDesc13	SpecDesc14	SpecDesc15	SpecDesc2	SpecDesc3	SpecDesc4	SpecDesc5	SpecDesc6	SpecDesc7	SpecDesc8	SpecDesc9	SpecialType	SpendCatal	SpendHP	SpendItemCount	SpendItemID	SpendSP	SplDam	SplLimit	SplType	SplashAngle	SplashRange	StackSkillChargeTime	StackSkillType	Target	TargetDesc	Uni	UseCheck	UseType	ValueType	ViewAllyCast	ViewEnemyCastName	WaveLength	XPType	kdDist
1200	0	2	CriticalWound	None	None	None	None	50	24	Normal	0	TRUE	700	0	0	None	0	None	0	20701	GiantBat	MAGIC	None	8000	0	PSY	<$>100401</>	HP	1200	None	Giant Bat	amb_giantbat	800	RH	50	0	300	1	BOTH	1766	YES	0	700	0	1700	30	0	75	normal	30	0	1800	0	0	0	0	None	<$>100400</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	220	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	2.32	0	1	0	100	100	1	100	<$>179580</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	<$>59935</>	none	0	0	1	21175	100	1	9	Square	0	400	0	None	Wave	<$>100402</>	TRUE	FALSE	AREA	Attack	0	1	1800	20001	350
1200	0	2	Requiem	None	None	None	None	20	255	Normal	0	TRUE	2033	0	0	None	0	None	0	20702	DeathlyChain	MAGIC	None	14000	0	PSY	<$>100406</>	HP	0	None	Deathly Chain	amb_eletricmontoro	0	RH	223	0	0	9	SELF	1866	YES	0	2700	0	0	0	0	128	normal	40	0	1600	0	200	-33	0	None	<$>100405</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	457	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	11.35	0	1	0	135	150	2	50	<$>179581</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	<$>61515</>	none	0	0	5	21175	600	1	5	Circle	0	800	0	None	Enemy	<$>142091</>	TRUE	FALSE	SPLASH_MELEE	Attack	0	1	0	20002	650
1200	0	1	ImmortalSprit	None	None	None	None	100	557	FORCE	0	FALSE	0	0	0	None	0	None	0	20703	ImmortalSprit	BUFF	None	10000	0	None	<$>199783</>	HP	0	None	Immortal Spirit	amb_immortalsprit	0	RH	0	0	0	0	SELF	4533	YES	0	0	0	0	0	0	0	normal	0	0	100	0	0	0	0	None	<$>100410</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	187	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	3	100	<$>179582</>	<$>199784</>	<$>199793</>	<$>199794</>	<$>199795</>	<$>199796</>	<$>199797</>	<$>199798</>	<$>199785</>	<$>199786</>	<$>199787</>	<$>199788</>	<$>199789</>	<$>199790</>	<$>199791</>	<$>199792</>	none	0	0	10	21175	300	0	0	None	0	0	0	None	None	<$>58026</>	TRUE	FALSE	SELF	Buff	0	1	0	20003	0
1200	0	2	Paralysis	None	None	None	None	20	266	Normal	0	FALSE	0	0	0	None	0	None	0	20704	SurroundingBat	MAGIC	None	21000	0	PSY	<$>167132</>	HP	0	None	Surrounding Bat	amb_surroundingbat	0	RH	10	0	350	1	SELF	4366	YES	0	0	0	0	0	0	128	normal	40	0	800	0	0	0	0	None	<$>100164</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	350	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	5.66	0	1	0	100	100	4	50	<$>179583</>	<$>119441</>	<$>119450</>	<$>119451</>	<$>119452</>	<$>119453</>	<$>119454</>	<$>119455</>	<$>119442</>	<$>119443</>	<$>119444</>	<$>119445</>	<$>119446</>	<$>119447</>	<$>119448</>	<$>119449</>	none	0	0	10	21175	700	1	8	Circle	0	800	0	None	Ground	<$>127796</>	TRUE	FALSE	AREA	Attack	0	1	0	20004	300
1200	0	2	Fear	None	None	None	None	100	2	Normal	0	TRUE	6000	0	0	None	0	None	0	20705	FinalDisaster	MAGIC	None	46000	0	PSY	<$>100447</>	HP	1500	None	Final Disaster	amb_disastermontoro	1227	RH	353	0	570	1	BOTH	3900	YES	0	6000	0	4200	30	0	128	rightspin	50	0	1200	0	300	24	0	None	<$>100446</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	980	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	27.66	0	1	0	110	125	5	50	<$>179584</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	<$>100450</>	none	0	5000	10	21175	0	1	20	Circle	0	1200	0	None	Ground	<$>142092</>	TRUE	FALSE	AREA	Attack	0	1	0	20005	650
1200	0	2	CriticalWound	None	None	None	None	100	24	Normal	16	TRUE	1500	0	0	None	0	None	0	21391	BOverrangeShot	SHOOT	None	9000	0	None	<$>127819</>	HP	1000	None	Back Over Range Shot	eps_backoverrange	788	DH	100	0	133	1	BOTH	1300	YES	40	1500	0	1167	30	0	87	headhit	45	0	2500	0	0	-364	0	None	<$>127818</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	200	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	7.33	0	1	0	130	100	1	130	<$>179680</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	<$>179681</>	none	0	0	1	21419	200	0	0	None	0	0	0	None	Enemy	<$>95084</>	TRUE	FALSE	MELEE	Attack	0	1	0	20001	300
1200	0	2	Fear	None	None	None	None	30	2	Normal	0	FALSE	0	0	0	None	0	None	0	21392	ImagenationReroad	SHOOT	None	8000	0	None	<$>127822</>	HP	1200	None	Imagination Reload	eps_imagenationreroad	866	DH	160	0	1550	4	BOTH	2200	YES	40	0	0	1434	30	0	97	normal	45	0	1500	0	50	-73	0	None	<$>127821</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	100	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	6.82	0	1	0	130	100	2	120	<$>179682</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	<$>187919</>	none	0	0	6	21419	300	1	3	Circle	0	400	0	None	Enemy	<$>167147</>	TRUE	FALSE	SPLASH_MELEE	Attack	0	1	0	20002	300
1200	0	2	None	None	CriticalWound	None	None	0	0	Normal	-24	TRUE	1200	0	0	None	0	None	0	21393	GunSlash	SHOOT	None	10000	0	None	<$>127827</>	HP	1300	None	Gun Slash	eps_gunslash	788	DH	230	0	1800	1	BOTH	2300	YES	40	1200	0	1700	30	0	87	normal	45	0	1300	0	0	1400	0	None	<$>127826</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	100	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	9.2	0	1	0	135	100	3	125	<$>179684</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	<$>179685</>	CriticalWound	0	0	10	21419	350	1	7	Square	0	300	0	None	Wave	<$>127828</>	TRUE	FALSE	AREA	Attack	0	1	1300	20003	300
1200	0	2	None	None	CriticalWound	None	None	0	0	Normal	3	TRUE	660	0	0	None	0	None	0	21394	ShootingSpree	SHOOT	None	11000	0	None	<$>127832</>	HP	1400	None	Shooting Spree	eps_shootingspree	788	DH	230	0	3000	10	BOTH	3960	YES	50	660	0	1800	30	0	94	headhit	45	0	100	0	0	-37	0	None	<$>127831</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	200	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	9.58	0	1	0	135	100	4	130	<$>179686</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	<$>179687</>	CriticalWound	0	0	10	21419	400	1	7	Circle	0	1000	0	None	None	<$>91745</>	TRUE	FALSE	AREA	Attack	0	1	0	20004	350
1200	0	2	None	None	None	None	None	0	0	Normal	-30	FALSE	1200	0	0	None	0	None	0	21395	BombtheRipper	SHOOT	None	20000	0	None	<$>127836</>	HP	1500	None	Bomb the Ripper	eps_bometheripper	920	DH	358	0	2600	14	BOTH	3433	YES	60	1200	0	2000	30	0	100	normal	30	0	1200	0	0	-384	0	None	<$>127835</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	200	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	10.16	0	1	0	140	100	5	130	<$>179688</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	<$>179689</>	none	0	0	14	21419	500	1	9	Circle	0	800	0	None	Ground	<$>119144</>	TRUE	FALSE	AREA	Attack	0	1	0	20005	400
