ClassID	Down	Group	InputCount	Price	PriceItem	Reinforce	Remain	Reset
1	0	W_under	1	0	None	5	100	0
2	50	W_under	1	0	None	6	50	0
3	25	W_under	1	0	None	7	25	50
4	50	W_under	2	0	None	7	50	0
21	50	W_expert	1	281	Dazzling_Ore	5	50	0
22	0	W_expert	1	0	None	6	0	100
23	50	W_expert	2	1631	Dazzling_Ore	6	50	0
24	0	W_expert	1	0	None	7	0	100
25	25	W_expert	2	3348	Dazzling_Ore	7	25	50
26	50	W_expert	3	6694	Dazzling_Ore	7	50	0
31	50	W_master	1	375	Dazzling_Ore	5	50	0
32	0	W_master	1	0	None	6	0	100
33	50	W_master	2	2025	Dazzling_Ore	6	50	0
34	0	W_master	1	0	None	7	0	100
35	25	W_master	2	3938	Dazzling_Ore	7	25	50
36	50	W_master	3	7875	Dazzling_Ore	7	50	0
41	50	W_high_master	1	375	Dazzling_Ore	5	50	0
42	0	W_high_master	1	0	None	6	0	100
43	50	W_high_master	2	2138	Dazzling_Ore	6	50	0
44	0	W_high_master	1	0	None	7	0	100
45	25	W_high_master	2	4201	Dazzling_Ore	7	25	50
46	50	W_high_master	3	8400	Dazzling_Ore	7	50	0
80	0	W_20_weapon	1	0	None	5	100	0
81	0	W_20_weapon	1	0	None	6	0	100
82	0	W_20_weapon	2	0	None	6	100	0
83	0	W_20_weapon	1	0	None	7	0	100
84	25	W_20_weapon	2	0	None	7	25	50
85	0	W_20_weapon	3	0	None	7	100	0
86	0	W_20_weapon	1	0	None	8	0	100
87	50	W_20_weapon	2	0	None	8	0	50
88	25	W_20_weapon	3	0	None	8	25	50
89	0	W_20_weapon	4	0	None	8	100	0
90	0	W_20_weapon	1	0	None	9	0	100
91	50	W_20_weapon	2	0	None	9	0	50
92	25	W_20_weapon	3	0	None	9	25	50
93	0	W_20_weapon	4	0	None	9	100	0
900	0	W_45_weapon	1	0	None	5	100	0
901	0	W_45_weapon	1	0	None	6	0	100
902	0	W_45_weapon	2	0	None	6	100	0
903	0	W_45_weapon	1	0	None	7	0	100
904	25	W_45_weapon	2	0	None	7	25	50
905	0	W_45_weapon	3	0	None	7	100	0
906	0	W_45_weapon	1	0	None	8	0	100
907	50	W_45_weapon	2	0	None	8	0	50
908	25	W_45_weapon	3	0	None	8	25	50
909	0	W_45_weapon	4	0	None	8	100	0
910	0	W_45_weapon	1	0	None	9	0	100
911	50	W_45_weapon	2	0	None	9	0	50
912	25	W_45_weapon	3	0	None	9	25	50
913	0	W_45_weapon	4	0	None	9	100	0
914	0	W_46_weapon	1	0	None	5	100	0
915	0	W_46_weapon	1	0	None	6	0	100
916	0	W_46_weapon	2	0	None	6	100	0
917	0	W_46_weapon	1	0	None	7	0	100
918	25	W_46_weapon	2	0	None	7	25	50
919	0	W_46_weapon	3	0	None	7	100	0
920	0	W_46_weapon	1	0	None	8	0	100
921	50	W_46_weapon	2	0	None	8	0	50
922	25	W_46_weapon	3	0	None	8	25	50
923	0	W_46_weapon	4	0	None	8	100	0
924	0	W_46_weapon	1	0	None	9	0	100
925	50	W_46_weapon	2	0	None	9	0	50
926	25	W_46_weapon	3	0	None	9	25	50
927	0	W_46_weapon	4	0	None	9	100	0
101	50	A_under	1	0	None	5	50	0
102	0	A_under	1	0	None	6	0	100
103	50	A_under	2	0	None	6	50	0
104	0	A_under	1	0	None	7	0	100
105	25	A_under	2	0	None	7	25	50
106	50	A_veteran	3	0	None	7	50	0
201	50	A_veteran	1	338	Dazzling_Ore	5	50	0
202	0	A_veteran	1	0	None	6	0	100
203	50	A_veteran	2	1463	Dazzling_Ore	6	50	0
204	0	A_veteran	1	0	None	7	0	100
205	25	A_veteran	2	2757	Dazzling_Ore	7	25	50
206	50	A_veteran	3	5513	Dazzling_Ore	7	50	0
301	50	A_expert	1	375	Dazzling_Ore	5	50	0
302	0	A_expert	1	0	None	6	0	100
303	50	A_expert	2	1913	Dazzling_Ore	6	50	0
304	0	A_expert	1	0	None	7	0	100
305	25	A_expert	2	3676	Dazzling_Ore	7	25	50
306	50	A_expert	3	7350	Dazzling_Ore	7	50	0
307	50	A_expert	1	7350	Dazzling_Ore	8	50	0
308	50	A_expert	2	7350	Dazzling_Ore	8	50	0
309	50	A_expert	3	7350	Dazzling_Ore	8	50	0
310	50	A_expert	4	7350	Dazzling_Ore	8	50	0
311	50	A_expert	1	7350	Dazzling_Ore	9	50	0
401	50	A_master	1	375	Dazzling_Ore	5	50	0
402	0	A_master	1	0	None	6	0	100
403	50	A_master	2	2025	Dazzling_Ore	6	50	0
404	0	A_master	1	0	None	7	0	100
405	25	A_master	2	3938	Dazzling_Ore	7	25	50
406	50	A_master	3	7875	Dazzling_Ore	7	50	0
501	50	A_high_master	1	375	Dazzling_Ore	5	50	0
502	0	A_high_master	1	0	None	6	0	100
503	50	A_high_master	2	2138	Dazzling_Ore	6	50	0
504	0	A_high_master	1	0	None	7	0	100
505	25	A_high_master	2	4201	Dazzling_Ore	7	25	50
506	50	A_high_master	3	8400	Dazzling_Ore	7	50	0
601	50	A_grand_master	1	562	Dazzling_Ore	5	50	0
602	0	A_grand_master	1	0	None	6	0	100
603	50	A_grand_master	2	3207	Dazzling_Ore	6	50	0
604	0	A_grand_master	1	0	None	7	0	100
605	25	A_grand_master	2	6302	Dazzling_Ore	7	25	50
606	50	A_grand_master	3	12600	Dazzling_Ore	7	50	0
