CalcScp	ClassID	Text
Calc_CM_ATK	1	<$>78187</>
Calc_CM_ASPD	2	<$>78188</>
Calc_CM_MHP	3	<$>132178</>
Calc_CM_DEF	4	<$>78190</>
Calc_CM_IP	5	<$>78191</>
Calc_CM_IMP	8	<$>78192</>
Calc_CM_AGILITY	10	<$>78196</>
Calc_CM_HPDRAIN	11	<$>78197</>
Calc_CM_CAST	12	<$>78198</>
Calc_CM_EVASION	13	<$>197428</>
Calc_CM_PCATK	14	<$>78200</>
Calc_CM_PCDEF	15	<$>78201</>
Calc_CM_MONATK	16	<$>78202</>
Calc_CM_MONDEF	17	<$>78203</>
Calc_CM_Accuracy	19	<$>78205</>
Calc_CM_CrtAtk	20	<$>197429</>
Calc_CM_Ambush	21	<$>78613</>
Calc_CM_Hard	22	<$>78614</>
Calc_CM_Trace	23	<$>78615</>
Calc_CM_RageAtk	24	<$>78616</>
Calc_CM_MHPN	31	<$>197430</>
Calc_CM_CRT	32	<$>197431</>
Calc_CM_MHPATK	33	<$>197432</>
Calc_CM_MSPATK	34	<$>197433</>
Calc_CM_MSP	35	<$>197434</>
Calc_CM_SOFTATKDAM	36	<$>197435</>
Calc_CM_MAGICCON	37	<$>197436</>
Calc_CM_SKLDAMUP	38	<$>197437</>
Calc_CM_MEDIUMMATKDAM	39	<$>197438</>
Calc_CM_MAGICDES	40	<$>197439</>
Calc_CM_METALATKDAM	41	<$>197440</>
Calc_CM_NOLDAMUP	42	<$>197441</>
Calc_CM_ENDURENCE	43	<$>197442</>
Calc_CM_SHOOTRUD	44	<$>197443</>
Calc_CM_MAGICRUD	45	<$>197444</>
Calc_CM_MELEERUD	46	<$>197445</>
Calc_CM_RANGEDAM	47	<$>197446</>
Calc_CM_SPREDUCE	48	<$>197447</>
Calc_CM_MELEEDAM	49	<$>197448</>
Calc_CM_SHOOTDAM	50	<$>197449</>
Calc_CM_MAGICDAM	51	<$>197450</>
Calc_CM_STRUP	52	<$>197451</>
Calc_CM_DEXUP	53	<$>197452</>
Calc_CM_INTUP	54	<$>197453</>
Calc_CM_CRTDAM	55	<$>197454</>
Calc_CM_HEALDAM	56	<$>197455</>
