ApplyScp	ClassID	ClassName	Desc	Value
SCR_REINFORCE_ACCESSORY_IncMHP	1	IncreaseMHP1	<$>104824</>	math.floor(rank*50)+math.floor(rank/9)*500
SCR_REINFORCE_ACCESSORY_IncMHP	2	IncreaseMHP2	<$>104824</>	math.floor(rank*100)+math.floor(rank/10)*1000
SCR_REINFORCE_ACCESSORY_IncMHP	3	IncreaseMHP3	<$>104824</>	math.floor(rank*150)+math.floor(rank/10)*1500
SCR_REINFORCE_ACCESSORY_IncMSP	4	IncreaseMSP1	<$>104825</>	math.floor(rank*20)+math.floor(rank/9)*200
SCR_REINFORCE_ACCESSORY_IncMSP	5	IncreaseMSP2	<$>104825</>	math.floor(rank*30)+math.floor(rank/10)*300
SCR_REINFORCE_ACCESSORY_IncMSP	6	IncreaseMSP3	<$>104825</>	math.floor(rank*50)+math.floor(rank/10)*500
SCR_REINFORCE_ACCESSORY_IncIP	7	IncreaseIP1	<$>104826</>	math.floor(rank/3)+math.floor(rank/9)
SCR_REINFORCE_ACCESSORY_IncIP	8	IncreaseIP2	<$>104826</>	math.floor(rank/2)+math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncIMP	9	IncreaseIMP1	<$>104827</>	math.floor(rank/3)+math.floor(rank/9)
SCR_REINFORCE_ACCESSORY_IncIMP	10	IncreaseIMP2	<$>104827</>	math.floor(rank/2)+math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncEvationSkill	11	IncreaseEVATIONSKILL1	<$>194476</>	math.floor(rank/3)+math.floor(rank/9)
SCR_REINFORCE_ACCESSORY_IncEvationSkill	12	IncreaseEVATIONSKILL2	<$>194476</>	math.floor(rank/2)+math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncMHP2	13	IncreaseMHP4	<$>104824</>	math.floor(rank*50)+math.floor(rank/9)*500
SCR_REINFORCE_ACCESSORY_IncMHP2	14	IncreaseMHP5	<$>104824</>	math.floor(rank*100)+math.floor(rank/10)*1000
SCR_REINFORCE_ACCESSORY_IncMSP2	15	IncreaseMSP4	<$>104825</>	math.floor(rank*20)+math.floor(rank/9)*200
SCR_REINFORCE_ACCESSORY_IncMSP2	16	IncreaseMSP5	<$>104825</>	math.floor(rank*30)+math.floor(rank/10)*300
SCR_REINFORCE_ACCESSORY_IncMHP2	17	IncreaseMHP6	<$>104824</>	math.floor(rank*500)+math.floor(rank/10)*5000
SCR_REINFORCE_ACCESSORY_IncMSP2	18	IncreaseMSP6	<$>104825</>	math.floor(rank*50)+math.floor(rank/10)*500
SCR_REINFORCE_ACCESSORY_IncIP	19	IncreaseIP3	<$>104826</>	math.floor(rank)
SCR_REINFORCE_ACCESSORY_IncIMP	20	IncreaseIMP3	<$>104827</>	math.floor(rank/2)
SCR_REINFORCE_ACCESSORY_IncARDR	21	IncreaseAR	<$>197915</>	math.floor(rank/10)*1
SCR_REINFORCE_ACCESSORY_IncSTATS	22	IncreaseSTATS	<$>197916</>	math.floor(rank*1)
SCR_REINFORCE_ACCESSORY_IncSTR	23	IncreaseSTR	<$>214312</>	math.floor(rank/5)
SCR_REINFORCE_ACCESSORY_IncDEX	24	IncreaseDEX	<$>214313</>	math.floor(rank/5)
SCR_REINFORCE_ACCESSORY_IncINT	25	IncreaseINT	<$>214314</>	math.floor(rank/5)
SCR_REINFORCE_ACCESSORY_IncCHA	26	IncreaseCHA	<$>214315</>	math.floor(rank/5)
SCR_REINFORCE_ACCESSORY_IncMHP2	27	IncreaseMHP7	<$>104824</>	math.floor(rank*50)+math.floor(rank/10)*500
SCR_REINFORCE_ACCESSORY_IncSTATS	28	IncreaseSTATS2	<$>197916</>	math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncMHP2	29	IncreaseMHP8	<$>104824</>	math.floor(rank*100)+math.floor(rank/10)*1000
SCR_REINFORCE_ACCESSORY_IncRALL	30	IncreaseALLRED	<$>214316</>	math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncSTATS	31	IncreaseSTATS3	<$>197916</>	math.floor(rank/10)*5
SCR_REINFORCE_ACCESSORY_IncIP	32	IncreaseIP4	<$>104826</>	math.floor(rank/2)+math.floor(rank/2)*3
SCR_REINFORCE_ACCESSORY_IncIMP	33	IncreaseIMP4	<$>104827</>	math.floor(rank/2)+math.floor(rank)
SCR_REINFORCE_ACCESSORY_IncMHP2	34	IncreaseMHP9	<$>104824</>	math.floor(rank*350)+math.floor(rank/10)*3500
SCR_REINFORCE_ACCESSORY_IncMSP2	35	IncreaseMSP7	<$>104825</>	math.floor(rank*25)+math.floor(rank/10)*250
SCR_REINFORCE_ACCESSORY_IncEvationSkill	36	IncreaseEVATIONSKILL3	<$>194476</>	math.floor(rank/2)+math.floor(rank/10)*5
SCR_REINFORCE_ACCESSORY_IncIP	37	IncreaseIP5	<$>104826</>	math.floor(rank/2)+math.floor(rank/2)*2
SCR_REINFORCE_ACCESSORY_IncMHP2	38	IncreaseMHP10	<$>104824</>	math.floor(rank*250)+math.floor(rank/10)*2500
