AccomplishID	AccomplishName	AccomplishPoint	CheckProperty	CheckType	ClassID	ClassName	Desc	IsContinue	RewardItem	Stage	SysMsg	Title	Type
1	LatestMaxCommLv	6	LatestMaxCommLv, 3	CommProp	1	LatestMaxCommLv3	<$>148336</>	TRUE	40701, 1	1	<$>148337</>	<$>148335</>	General
1	LatestMaxCommLv	10	LatestMaxCommLv, 5	CommProp	2	LatestMaxCommLv5	<$>148339</>	TRUE	40702, 1	2	<$>148337</>	<$>148338</>	General
1	LatestMaxCommLv	14	LatestMaxCommLv, 7	CommProp	3	LatestMaxCommLv7	<$>148341</>	TRUE	40703, 1	3	<$>148337</>	<$>148340</>	General
1	LatestMaxCommLv	20	LatestMaxCommLv, 10	CommProp	4	LatestMaxCommLv10	<$>148343</>	TRUE	40704, 1	4	<$>148337</>	<$>148342</>	General
1	LatestMaxCommLv	32	LatestMaxCommLv, 15	CommProp	5	LatestMaxCommLv15	<$>148345</>	TRUE	40705, 1	5	<$>148337</>	<$>148344</>	General
1	LatestMaxCommLv	44	LatestMaxCommLv, 20	CommProp	6	LatestMaxCommLv20	<$>148347</>	TRUE	40706, 1	6	<$>148337</>	<$>148346</>	General
1	LatestMaxCommLv	58	LatestMaxCommLv, 25	CommProp	7	LatestMaxCommLv25	<$>148349</>	TRUE	40707, 1	7	<$>148337</>	<$>148348</>	General
1	LatestMaxCommLv	72	LatestMaxCommLv, 30	CommProp	8	LatestMaxCommLv30	<$>148351</>	TRUE	40708, 1	8	<$>148337</>	<$>148350</>	General
1	LatestMaxCommLv	88	LatestMaxCommLv, 35	CommProp	9	LatestMaxCommLv35	<$>148353</>	TRUE	40709, 1	9	<$>148337</>	<$>148352</>	General
1	LatestMaxCommLv	104	LatestMaxCommLv, 40	CommProp	10	LatestMaxCommLv40	<$>148355</>	TRUE	40710, 1	10	<$>148337</>	<$>148354</>	General
1	LatestMaxCommLv	122	LatestMaxCommLv, 45	CommProp	11	LatestMaxCommLv45	<$>148357</>	TRUE	40711, 1	11	<$>148337</>	<$>148356</>	General
1	LatestMaxCommLv	140	LatestMaxCommLv, 50	CommProp	12	LatestMaxCommLv50	<$>148359</>	TRUE	40712, 1	12	<$>148337</>	<$>148358</>	General
1	LatestMaxCommLv	160	LatestMaxCommLv, 55	CommProp	13	LatestMaxCommLv55	<$>148361</>	TRUE	40713, 1	13	<$>148337</>	<$>148360</>	General
1	LatestMaxCommLv	180	LatestMaxCommLv, 60	CommProp	14	LatestMaxCommLv60	<$>148363</>	TRUE	40714, 1	14	<$>148337</>	<$>148362</>	General
1	LatestMaxCommLv	202	LatestMaxCommLv, 65	CommProp	15	LatestMaxCommLv65	<$>148365</>	TRUE	40715, 1	15	<$>148337</>	<$>148364</>	General
1	LatestMaxCommLv	224	LatestMaxCommLv, 70	CommProp	16	LatestMaxCommLv70	<$>148367</>	TRUE	40716, 1	16	<$>148337</>	<$>148366</>	General
1	LatestMaxCommLv	248	LatestMaxCommLv, 75	CommProp	17	LatestMaxCommLv75	<$>148369</>	TRUE	40717, 1	17	<$>148337</>	<$>148368</>	General
1	LatestMaxCommLv	272	LatestMaxCommLv, 80	CommProp	18	LatestMaxCommLv80	<$>148371</>	TRUE	40718, 1	18	<$>148337</>	<$>148370</>	General
201	CommPlay	10	AP_AttendanceCheck, 1	CommProp	201	Game1	<$>148373</>	TRUE	40776, 1	1	<$>148337</>	<$>148372</>	General
201	CommPlay	70	AP_AttendanceCheck, 7	CommProp	202	Game2	<$>176729</>	TRUE	40777, 1	2	<$>148337</>	<$>148374</>	General
201	CommPlay	300	AP_AttendanceCheck, 30	CommProp	203	Game3	<$>176730</>	TRUE	40778, 1	3	<$>148337</>	<$>148376</>	General
201	CommPlay	900	AP_AttendanceCheck, 90	CommProp	204	Game4	<$>176731</>	TRUE	40779, 1	4	<$>148337</>	<$>148378</>	General
201	CommPlay	1800	AP_AttendanceCheck, 180	CommProp	205	Game5	<$>176732</>	TRUE	40780, 1	5	<$>148337</>	<$>148380</>	General
201	CommPlay	3650	AP_AttendanceCheck, 365	CommProp	206	Game6	<$>176733</>	TRUE	40781, 1	6	<$>148337</>	<$>148382</>	General
201	CommPlay	7300	AP_AttendanceCheck, 730	CommProp	207	Game7	<$>176734</>	TRUE	40781, 2	7	<$>148337</>	<$>148384</>	General
201	CommPlay	10950	AP_AttendanceCheck, 1095	CommProp	208	Game8	<$>176735</>	TRUE	40781, 3	8	<$>148337</>	<$>148386</>	General
201	CommPlay	14600	AP_AttendanceCheck, 1460	CommProp	209	Game9	<$>176736</>	TRUE	40781, 4	9	<$>148337</>	<$>148388</>	General
201	CommPlay	18250	AP_AttendanceCheck, 1825	CommProp	210	Game10	<$>176737</>	TRUE	40781, 5	10	<$>148337</>	<$>148390</>	General
301	GetMoney	1	AP_GetMoney, 100000	CommProp	301	GetMoney1	<$>148393</>	FALSE	0, 0	1	<$>148337</>	<$>148392</>	General
301	GetMoney	4	AP_GetMoney, 1000000	CommProp	302	GetMoney2	<$>148395</>	FALSE	0, 0	2	<$>148337</>	<$>148394</>	General
301	GetMoney	7	AP_GetMoney, 5000000	CommProp	303	GetMoney3	<$>148397</>	FALSE	0, 0	3	<$>148337</>	<$>148396</>	General
301	GetMoney	10	AP_GetMoney, 10000000	CommProp	304	GetMoney4	<$>148399</>	FALSE	21803, 1	4	<$>148337</>	<$>148398</>	General
301	GetMoney	25	AP_GetMoney, 50000000	CommProp	305	GetMoney5	<$>148401</>	FALSE	21803, 1	5	<$>148337</>	<$>148400</>	General
301	GetMoney	50	AP_GetMoney, 100000000	CommProp	306	GetMoney6	<$>148403</>	FALSE	21803, 5	6	<$>148337</>	<$>148402</>	General
301	GetMoney	150	AP_GetMoney, 300000000	CommProp	307	GetMoney7	<$>154689</>	FALSE	21803, 5	7	<$>148337</>	<$>154688</>	General
301	GetMoney	250	AP_GetMoney, 500000000	CommProp	308	GetMoney8	<$>154690</>	FALSE	21803, 5	8	<$>148337</>	<$>148404</>	General
301	GetMoney	350	AP_GetMoney, 700000000	CommProp	309	GetMoney9	<$>154692</>	FALSE	21803, 5	9	<$>148337</>	<$>154691</>	General
301	GetMoney	500	AP_GetMoney, 1000000000	CommProp	310	GetMoney10	<$>148407</>	FALSE	21803, 5	10	<$>148337</>	<$>154693</>	General
