AbrasiveCount	ClassID	ItemClass	ItemClassName	ItemLv	Property
4	1	Melee_S	SettlerSword_Lesser	1	SettlerItem_1
4	2	Melee_S	SettlerSword_Low	20	SettlerItem_2
4	3	Melee_S	SettlerSword_Normal	40	SettlerItem_3
4	4	Melee_S	SettlerSword_High	60	SettlerItem_4
4	5	Melee_S	SettlerSword_Perfect	80	SettlerItem_5
4	6	Melee_S	SettlerSword_Mystic	100	SettlerItem_6
4	7	Melee_S	SettlerRapier_Normal	40	SettlerItem_7
4	8	Melee_S	SettlerRapier_High	60	SettlerItem_8
4	9	Melee_S	SettlerRapier_Perfect	80	SettlerItem_9
4	10	Melee_S	SettlerRapier_Mystic	100	SettlerItem_10
4	11	Melee_S	SettlerSabre_Lesser	1	SettlerItem_11
4	12	Melee_S	SettlerSabre_Low	20	SettlerItem_12
4	13	Melee_S	SettlerSabre_Normal	40	SettlerItem_13
4	14	Melee_S	SettlerSabre_High	60	SettlerItem_14
4	15	Melee_S	SettlerSabre_Perfect	80	SettlerItem_15
4	16	Melee_S	SettlerSabre_Mystic	100	SettlerItem_16
4	17	Melee_L	SettlerTHSword_Lesser	1	SettlerItem_17
4	18	Melee_L	SettlerTHSword_Low	20	SettlerItem_18
4	19	Melee_L	SettlerTHSword_Normal	40	SettlerItem_19
4	20	Melee_L	SettlerTHSword_High	60	SettlerItem_20
4	21	Melee_L	SettlerTHSword_Perfect	80	SettlerItem_21
4	22	Melee_L	SettlerTHSword_Mystic	100	SettlerItem_22
4	23	Melee_L	SettlerPolearm_Lesser	1	SettlerItem_23
4	24	Melee_L	SettlerPolearm_Low	20	SettlerItem_24
4	25	Melee_L	SettlerPolearm_Normal	40	SettlerItem_25
4	26	Melee_L	SettlerPolearm_High	60	SettlerItem_26
4	27	Melee_L	SettlerPolearm_Perfect	80	SettlerItem_27
4	28	Melee_L	SettlerPolearm_Mystic	100	SettlerItem_28
4	29	Melee_S	SettlerDagger_Lesser	1	SettlerItem_29
4	30	Melee_S	SettlerDagger_Low	20	SettlerItem_30
4	31	Melee_S	SettlerDagger_Normal	40	SettlerItem_31
4	32	Melee_S	SettlerDagger_High	60	SettlerItem_32
4	33	Melee_S	SettlerDagger_Perfect	80	SettlerItem_33
4	34	Melee_S	SettlerDagger_Mystic	100	SettlerItem_34
4	35	Shoot	SettlerPistol_Low	20	SettlerItem_35
4	36	Shoot	SettlerPistol_Normal	40	SettlerItem_36
4	37	Shoot	SettlerPistol_High	60	SettlerItem_37
4	38	Shoot	SettlerPistol_Perfect	80	SettlerItem_38
4	39	Shoot	SettlerPistol_Mystic	100	SettlerItem_39
4	40	Shoot	SettlerRifle_Lesser	1	SettlerItem_40
4	41	Shoot	SettlerRifle_Low	20	SettlerItem_41
4	42	Shoot	SettlerRifle_Normal	40	SettlerItem_42
4	43	Shoot	SettlerRifle_High	60	SettlerItem_43
4	44	Shoot	SettlerRifle_Perfect	80	SettlerItem_44
4	45	Shoot	SettlerRifle_Mystic	100	SettlerItem_45
4	46	Shoot	SettlerShotgun_Normal	40	SettlerItem_46
4	47	Shoot	SettlerShotgun_High	60	SettlerItem_47
4	48	Shoot	SettlerShotgun_Perfect	80	SettlerItem_48
4	49	Shoot	SettlerShotgun_Mystic	100	SettlerItem_49
4	50	Shoot	SettlerCannon_Normal	60	SettlerItem_50
4	51	Shoot	SettlerCannon_High	80	SettlerItem_51
4	52	Shoot	SettlerCannon_Mystic	100	SettlerItem_52
4	53	Melee_S	SettlerShield_Lesser	1	SettlerItem_53
4	54	Melee_S	SettlerShield_Low	20	SettlerItem_54
4	55	Melee_S	SettlerShield_Normal	40	SettlerItem_55
4	56	Melee_S	SettlerShield_High	60	SettlerItem_56
4	57	Melee_S	SettlerShield_Perfect	80	SettlerItem_57
4	58	Melee_S	SettlerShield_Mystic	100	SettlerItem_58
4	59	Melee_L	SettlerKnuckle_Lesser	1	SettlerItem_59
4	60	Melee_L	SettlerKnuckle_Low	20	SettlerItem_60
4	61	Melee_L	SettlerKnuckle_Normal	40	SettlerItem_61
4	62	Melee_L	SettlerKnuckle_High	60	SettlerItem_62
4	63	Melee_L	SettlerKnuckle_Perfect	80	SettlerItem_63
4	64	Melee_L	SettlerKnuckle_Mystic	100	SettlerItem_64
4	65	Melee_L	SettlerLeguard_Lesser	1	SettlerItem_65
4	66	Melee_L	SettlerLeguard_Low	20	SettlerItem_66
4	67	Melee_L	SettlerLeguard_Normal	40	SettlerItem_67
4	68	Melee_L	SettlerLeguard_High	60	SettlerItem_68
4	69	Melee_L	SettlerLeguard_Perfect	80	SettlerItem_69
4	70	Melee_L	SettlerLeguard_Mystic	100	SettlerItem_70
4	71	Magic_Wiz	SettlerRod_Lesser	1	SettlerItem_71
4	72	Magic_Wiz	SettlerRod_Low	20	SettlerItem_72
4	73	Magic_Wiz	SettlerRod_Normal	40	SettlerItem_73
4	74	Magic_Wiz	SettlerRod_High	60	SettlerItem_74
4	75	Magic_Wiz	SettlerRod_Perfect	80	SettlerItem_75
4	76	Magic_Wiz	SettlerRod_Mystic	100	SettlerItem_76
4	77	Magic_Wiz	SettlerStaff_Lesser	1	SettlerItem_77
4	78	Magic_Wiz	SettlerStaff_Low	20	SettlerItem_78
4	79	Magic_Wiz	SettlerStaff_Normal	40	SettlerItem_79
4	80	Magic_Wiz	SettlerStaff_High	60	SettlerItem_80
4	81	Magic_Wiz	SettlerStaff_Perfect	80	SettlerItem_81
4	82	Magic_Wiz	SettlerStaff_Mystic	100	SettlerItem_82
4	83	Magic_Wiz	SettlerROR_Perfect	80	SettlerItem_83
4	84	Magic_Wiz	SettlerROR_Mystic	100	SettlerItem_84
4	85	Magic_War	SettlerFireBrc_Lesser	1	SettlerItem_85
4	86	Magic_War	SettlerFireBrc_Low	20	SettlerItem_86
4	87	Magic_War	SettlerFireBrc_Normal	40	SettlerItem_87
4	88	Magic_War	SettlerFireBrc_High	60	SettlerItem_88
4	89	Magic_War	SettlerFireBrc_Perfect	80	SettlerItem_89
4	90	Magic_War	SettlerFireBrc_Mystic	100	SettlerItem_90
4	91	Magic_War	SettlerIceBrc_Lesser	1	SettlerItem_91
4	92	Magic_War	SettlerIceBrc_Low	20	SettlerItem_92
4	93	Magic_War	SettlerIceBrc_Normal	40	SettlerItem_93
4	94	Magic_War	SettlerIceBrc_High	60	SettlerItem_94
4	95	Magic_War	SettlerIceBrc_Perfect	80	SettlerItem_95
4	96	Magic_War	SettlerIceBrc_Mystic	100	SettlerItem_96
4	97	Magic_War	SettlerLghtBrc_Lesser	1	SettlerItem_97
4	98	Magic_War	SettlerLghtBrc_Low	20	SettlerItem_98
4	99	Magic_War	SettlerLghtBrc_Normal	40	SettlerItem_99
4	100	Magic_War	SettlerLghtBrc_High	60	SettlerItem_100
4	101	Magic_War	SettlerLghtBrc_Perfect	80	SettlerItem_101
4	102	Magic_War	SettlerLghtBrc_Mystic	100	SettlerItem_102
6	103	Armor	SettlerLeather_Lesser	1	SettlerItem_103
6	104	Armor	SettlerLeather_Low	20	SettlerItem_104
6	105	Armor	SettlerLeather_Normal	40	SettlerItem_105
6	106	Armor	SettlerLeather_High	60	SettlerItem_106
6	107	Armor	SettlerLeather_Perfect	80	SettlerItem_107
6	108	Armor	SettlerLeather_Mystic	100	SettlerItem_108
6	109	Armor	SettlerMetal_Normal	40	SettlerItem_109
6	110	Armor	SettlerMetal_High	60	SettlerItem_110
6	111	Armor	SettlerMetal_Perfect	80	SettlerItem_111
6	112	Armor	SettlerMetal_Mystic	100	SettlerItem_112
6	113	Armor	SettlerCoat_Lesser	1	SettlerItem_113
6	114	Armor	SettlerCoat_Low	20	SettlerItem_114
6	115	Armor	SettlerCoat_Normal	40	SettlerItem_115
6	116	Armor	SettlerCoat_High	60	SettlerItem_116
6	117	Armor	SettlerCoat_Perfect	80	SettlerItem_117
6	118	Armor	SettlerCoat_Mystic	100	SettlerItem_118
6	119	Armor	SettlerRobe_Lesser	1	SettlerItem_119
6	120	Armor	SettlerRobe_Low	20	SettlerItem_120
6	121	Armor	SettlerRobe_Normal	40	SettlerItem_121
6	122	Armor	SettlerRobe_High	60	SettlerItem_122
6	123	Armor	SettlerRobe_Perfect	80	SettlerItem_123
6	124	Armor	SettlerRobe_Mystic	100	SettlerItem_124
4	125	Magic_War	SettlerLute_High	60	SettlerItem_125
4	126	Magic_War	SettlerLute_Perfect	80	SettlerItem_126
4	127	Magic_War	SettlerLute_Mystic	100	SettlerItem_127
4	128	Shoot	SettlerCrossBow_High	60	SettlerItem_128
4	129	Shoot	SettlerCrossBow_Perfect	80	SettlerItem_129
4	130	Shoot	SettlerCrossBow_Mystic	100	SettlerItem_130
