ClassID	ClassName	CommPoint	DBLDay	Desc	DropItem	Item_Enter	Item_Play	Map	MaxCount	Name	Npc	PreProperty1	PreProperty2	PreProperty3	Property	ReadyMsg	ReqAR	ReqDR	ReqPromotion	Rulletlist	Script	SuggestMax	SuggestMin	Tip	Type	Value
1	mission_rafflesia	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214147</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	66	66	2	GLimit_PRIVATE_MISSION_RANK1	Check_Mission_Day	-3	0	<$>123741</>	Solo Mcc3 Rep Rank1	0
2	mission_dun_alq_boss_v	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214160</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	62	62	2	GLimit_PRIVATE_MISSION_RANK1	Check_Mission_Day	-1	0	<$>123717</>	Solo Mcc3 Rep Rank1	0
3	mission_dun_jaq_boss_v	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214154</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	64	64	2	GLimit_PRIVATE_MISSION_RANK1	Check_Mission_Day	-2	0	<$>123763</>	Solo Mcc3 Rep Rank1	0
4	mission_dun_ttr_boss_v	0	0	None	SilverPiece GoldPiece LumpOfSliver LumpOfGold LumpOfPlatinum EleCrystal	Live_Missionenterpoint -1	None	fld_coim	0	<$>214153</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	61	61	2	GLimit_PRIVATE_MISSION_RANK1	Check_Mission_Day	0	0	<$>123713</>	Solo Mcc3 Rep Rank1	0
5	mission_dun_ust_boss	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214134</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	63	63	2	GLimit_PRIVATE_MISSION_RANK1	Check_Mission_Day	-2	0	<$>123749</>	Solo Mcc3 Rep Rank1	0
6	mission_griffon	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214150</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	66	67	2	GLimit_PRIVATE_MISSION_RANK2	Check_Mission_Day	-2	0	<$>123741</>	Solo Mcc3 Rep Rank2	0
7	mission_private_jaq_under	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214159</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	62	62	2	GLimit_PRIVATE_MISSION_RANK2	Check_Mission_Day	-1	0	<$>123717</>	Solo Mcc3 Rep Rank2	0
8	mission_phobitan_boss	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214136</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	64	65	2	GLimit_PRIVATE_MISSION_RANK2	Check_Mission_Day	-2	0	<$>123763</>	Solo Mcc3 Rep Rank2	0
9	mission_chainrush	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214148</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	63	63	2	GLimit_PRIVATE_MISSION_RANK2	Check_Mission_Day	-2	0	<$>123713</>	Solo Mcc3 Rep Rank2	0
10	mission_PasiarCaptain	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214137</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	66	66	2	GLimit_PRIVATE_MISSION_RANK2	Check_Mission_Day	-2	0	<$>123749</>	Solo Mcc3 Rep Rank2	0
11	mission_uraeus	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214149</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	68	67	3	GLimit_PRIVATE_MISSION_RANK3	Check_Mission_Day	-2	0	<$>123741</>	Solo Mcc3 Rep Rank3	0
12	mission_sharffen	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214146</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	64	65	3	GLimit_PRIVATE_MISSION_RANK3	Check_Mission_Day	-1	0	<$>123717</>	Solo Mcc3 Rep Rank3	0
13	raid_hellvally	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214144</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	64	65	3	GLimit_PRIVATE_MISSION_RANK3	Check_Mission_Day	-1	0	<$>123763</>	Solo Mcc3 Rep Rank3	0
14	mission_hellbreaker	0	0	None	Girlheart OldJournal10	Live_Missionenterpoint -1	Tovbatkey 2	fld_coim	0	<$>214151</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	66	67	3	GLimit_PRIVATE_MISSION_RANK3	Check_Mission_Day	-1	0	<$>123713</>	Solo Mcc3 Rep Rank3	0
15	mission_Nechroshaman	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214138</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	65	65	3	GLimit_PRIVATE_MISSION_RANK3	Check_Mission_Day	-1	0	<$>123749</>	Solo Mcc3 Rep Rank3	0
16	mission_btl_bah06	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214161</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	69	67	3	GLimit_PRIVATE_MISSION_RANK4	Check_Mission_Day	-2	0	<$>123741</>	Solo Mcc3 Rep Rank4	0
17	mission_erc_boss	0	0	None	Ring_Deception_1 Ring_AcroPhobia_1 Ring_DarkSphere_1 Ring_MindPresure_1 Ring_MindBlast_1 Ring_ReflectSkin_1	Live_Missionenterpoint -1	None	fld_coim	0	<$>214145</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	70	66	3	GLimit_PRIVATE_MISSION_RANK4	Check_Mission_Day	-2	0	<$>123717</>	Solo Mcc3 Rep Rank4	0
18	mission_dun_sil01	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214155</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	69	68	3	GLimit_PRIVATE_MISSION_RANK4	Check_Mission_Day	-2	0	<$>123763</>	Solo Mcc3 Rep Rank4	0
19	mission_Chimera	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214140</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	67	68	3	GLimit_PRIVATE_MISSION_RANK4	Check_Mission_Day	-2	0	<$>123713</>	Solo Mcc3 Rep Rank4	0
20	mission_Reydeavaricia	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214139</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	68	68	3	GLimit_PRIVATE_MISSION_RANK4	Check_Mission_Day	-2	0	<$>123749</>	Solo Mcc3 Rep Rank4	0
21	mission_private_masu	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214162</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	72	68	3	GLimit_PRIVATE_MISSION_RANK5	Check_Mission_Day	-2	0	<$>123741</>	Solo Mcc3 Rep Rank5	0
22	mission_dun_ktv_boss	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214156</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	72	68	3	GLimit_PRIVATE_MISSION_RANK5	Check_Mission_Day	-2	0	<$>123717</>	Solo Mcc3 Rep Rank5	0
23	mission_private_diablo	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214163</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	72	68	3	GLimit_PRIVATE_MISSION_RANK5	Check_Mission_Day	-2	0	<$>123763</>	Solo Mcc3 Rep Rank5	0
24	mission_private_cortes	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214164</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	72	69	3	GLimit_PRIVATE_MISSION_RANK5	Check_Mission_Day	-2	0	<$>123713</>	Solo Mcc3 Rep Rank5	0
25	mission_private_dw	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214165</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	73	69	3	GLimit_PRIVATE_MISSION_RANK5	Check_Mission_Day	-2	0	<$>123749</>	Solo Mcc3 Rep Rank5	0
26	mission_Jormongand	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214141</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	72	73	4	GLimit_PRIVATE_MISSION_RANK6	Check_Mission_Day	-2	0	<$>123741</>	Solo Mcc3 Rep Rank6	0
27	mission_private_royalroad	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214166</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	74	74	4	GLimit_PRIVATE_MISSION_RANK6	Check_Mission_Day	-2	0	<$>123717</>	Solo Mcc3 Rep Rank6	0
28	mission_private_arm1	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214167</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	74	73	4	GLimit_PRIVATE_MISSION_RANK6	Check_Mission_Day	-2	0	<$>123763</>	Solo Mcc3 Rep Rank6	0
29	mission_sekhmet_rank6	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214142</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	72	73	4	GLimit_PRIVATE_MISSION_RANK6	Check_Mission_Day	-2	0	<$>123713</>	Solo Mcc3 Rep Rank6	0
30	mission_private_decarabia	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214168</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	72	72	4	GLimit_PRIVATE_MISSION_RANK6	Check_Mission_Day	-2	0	<$>123749</>	Solo Mcc3 Rep Rank6	0
31	Mission_private_dun_casile01	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214169</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	76	76	4	GLimit_PRIVATE_MISSION_RANK7	Check_Mission_Day	-2	0	<$>123741</>	Solo Mcc3 Rep Rank7	0
32	Mission_private_dun_casile03	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214170</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	76	76	4	GLimit_PRIVATE_MISSION_RANK7	Check_Mission_Day	-2	0	<$>123717</>	Solo Mcc3 Rep Rank7	0
33	Mission_private_dun_casile02	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214171</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	76	75	4	GLimit_PRIVATE_MISSION_RANK7	Check_Mission_Day	-2	0	<$>123713</>	Solo Mcc3 Rep Rank7	0
34	mission_private_arm2	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>214135</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	76	74	4	GLimit_PRIVATE_MISSION_RANK7	Check_Mission_Day	-2	0	<$>123749</>	Solo Mcc3 Rep Rank7	0
35	mission_alt_fld01_1	0	0	None	None	Live_Missionenterpoint -1	None	fld_coim	0	<$>210192</>	MISSION_SINGLERAID	None	None	None	None	<$>123711</>	74	74	4	GLimit_PRIVATE_MISSION_RANK7	Check_Mission_Day	-2	0	<$>123763</>	Solo Mcc3 Rep Rank7	0
36	mission_btl_viron02	0	0	<$>123714</>	None	None	None	viron_basic	1	<$>29409</>	C1_VIRON_FOREST_SOL2	Viron_M3_Check	None	None	CommanderLv	None	67	62	3	GLimit_Viron02_Level20	Check_Mission_Day	8	-7	<$>123715</>	Day Mcc3 Sqd Exp	20
37	mission_sctw01	0	0	None	None	None	SecretTowerMagicScroll 1	auch_basic	0	<$>29437</>	SCTW_GUARD	None	None	None	None	<$>123711</>	56	54	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	8	-2	<$>123718</>	Day Mcc3 Sqd Rep EXTRA	0
38	mission_bst_backstreet	0	0	<$>123719</>	None	None	None	bst_basic	0	<$>86399</>	bst_mission	None	None	None	CommanderLv	<$>123711</>	72	72	3	GLimit_EXP_MISSON_HIGH	Check_Mission_Day	4	-4	<$>136403</>	Mcc3 Sqd Rep Exp	30
39	mission_dun_tor00	0	0	<$>123720</>	None	None	TorscheOtiteChip 100	fld_tor	0	<$>48349</>	TORCHE_BASEMENT	None	None	None	XQ_Torsche	<$>123711</>	67	67	2	GLimit_EXP_MISSON_HIGH	Check_Mission_Day	5	-5	<$>136404</>	Mcc3 Sqd Rep Exp	90
40	mission_btl_viron03	0	0	<$>123714</>	BellemBox_Cash	None	None	viron_basic	0	<$>29393</>	C1_VIRON_FOREST_SOL2	None	None	None	CommanderLv	<$>123711</>	69	62	3	GLimit_EXP_MISSON_LOW	Check_Mission_Day	3	-3	<$>136406</>	Day Sqd Mcc3 Rep Exp	20
41	mission_dun_jaq_under	0	0	None	None	None	None	dun_jaq05	0	<$>16310</>	JAQ_UNDER_GATE_OPEN	None	None	None	None	<$>123711</>	74	74	3	GLimit_EXP_MISSON_HIGH	Check_Mission_Day	1	-8	<$>123717</>	Mcc3 Sqd Rep Exp	0
42	mission_dun_ptv_boss_v	0	0	None	None	None	None	fld_coim	0	<$>48082</>	MISSION_JAQ	None	None	None	None	<$>123711</>	59	59	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	5	0	<$>123713</>	Mcc3 Sqd Rep Exp	0
43	mission_thefortress_o_c	0	0	None	None	None	None	fld_coim	0	<$>8312</>	MISSION_JAQ	None	None	None	None	<$>123711</>	62	62	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	4	-2	<$>123749</>	Mcc3 Sqd Rep Exp	0
44	mission_thefortress_d_c	0	0	None	None	None	None	fld_coim	0	<$>8313</>	MISSION_JAQ	None	None	None	None	<$>123711</>	57	57	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	6	0	None	Mcc3 Sqd Rep Exp	0
45	mission_swampangler	0	0	None	None	None	None	fld_coim	0	<$>8320</>	MISSION_JAQ	None	None	None	None	<$>123711</>	65	65	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	6	0	<$>123741</>	Mcc3 Sqd Rep Exp	0
46	mission_leo	0	0	None	None	None	None	fld_coim	0	<$>8323</>	MISSION_JAQ	None	None	None	None	<$>123711</>	67	67	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	6	0	<$>123717</>	Mcc3 Sqd Rep Exp	0
47	mission_bladeante	0	0	None	None	None	None	fld_coim	0	<$>8322</>	MISSION_JAQ	None	None	None	None	<$>123711</>	67	67	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	6	0	<$>123741</>	Mcc3 Sqd Rep Exp	0
48	mission_daily_gullfaxi	0	0	None	None	None	None	fld_coim	0	<$>29435</>	MISSION_JAQ	None	None	None	None	<$>123711</>	67	70	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	9	0	<$>123749</>	Mcc3 Sqd Rep Exp	0
49	mission_deadman	0	0	None	None	None	None	fld_coim	0	<$>8314</>	MISSION_JAQ	None	None	None	None	<$>123711</>	57	57	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	5	0	<$>123749</>	Mcc3 Sqd Rep Exp	0
50	mission_daily_mermaneater	0	0	None	None	None	None	fld_coim	0	<$>8321</>	MISSION_JAQ	None	None	None	None	<$>123711</>	67	67	1	GLimit_EXP_MISSON_LOW	Check_Mission_Day	12	-3	<$>123741</>	Mcc3 Sqd Rep Exp	0
51	mission_dun_alq06	0	0	<$>123751</>	None	None	None	dun_alq01	0	<$>29416</>	ALQ1_FOUNTAIN	None	None	None	YQ_Andre	<$>123711</>	72	72	2	GLimit_EXP_MISSON_HIGH	Check_Mission_Day	8	-5	<$>136407</>	Mcc3 Sqd Rep Exp	40
52	mission_bah_week	5000	0	None	None	None	None	bah_basic	0	<$>103739</>	MISSION_BAH_01	None	None	None	None	<$>123711</>	87	77	3	GLimit_EXP_MISSON_HIGH	Check_Mission_Day	-12	-19	<$>123713</>	Mcc3 Sqd Rep Exp	0
53	mission_daily_bahexpert	5000	0	None	None	None	None	fld_coim	0	<$>5992</>	MISSION_TEAMRAID	None	None	None	None	<$>123711</>	71	70	3	GLimit_EXP_MISSON_HIGH	Check_Mission_Day	4	-6	<$>136408</>	Mcc3 Sqd Rep Exp	0
54	mission_jaq_underpass	5000	0	None	None	None	None	fld_coim	0	<$>29451</>	MISSION_TEAMRAID	None	None	None	None	<$>123711</>	72	72	3	GLimit_EXP_MISSON_HIGH	Check_Mission_Day	3	-7	<$>136409</>	Mcc3 Sqd Rep Exp	0
55	mission_hostage	0	0	<$>123765</>	None	None	None	bst_basic	0	<$>90521</>	C1_BST_KAIN	None	None	None	CommanderLv	<$>123711</>	70	70	3	GLimit_EXP_MISSON_LOW	Check_Mission_Day	0	-6	<$>123766</>	Mcc3 Sqd Rep Exp	30
56	mission_dragon	0	0	None	JormongandSkin	None	None	btl_reb06	0	<$>2170</>	CREATE_LOBBY_DRAGON	None	None	None	None	<$>123711</>	67	67	2	GLimit_EXP_MISSON_HIGH	Check_Mission_Day	2	-3	<$>123750</>	Mcc3 Sqd Rep Exp	0
57	mission_palace	0	0	<$>123716</>	None	None	None	dun_sub	0	<$>29387</>	CASTLE_BACKDOOR	None	None	None	AQ_AuchAide	<$>123711</>	64	64	2	GLimit_EXP_MISSON_LOW	Check_Mission_Day	6	0	<$>136402</>	Mcc3 Sqd Rep Exp	90
58	mission_sed_boss	2500	0	None	None	None	None	fld_coim	0	<$>47536</>	MISSION_TEAMRAID	None	None	None	None	<$>123711</>	67	67	2	GLimit_EXP_MISSON_HIGH	Check_Mission_Day	5	-1	<$>123763</>	Mcc3 Sqd Rep Exp	0
59	mission_palace_02	0	0	<$>123716</>	Arsene_SecretKey	None	None	reb_basic	0	<$>47849</>	C1_CASTLE_SOLM	None	None	None	AQ_AuchAide	<$>123711</>	69	69	3	GLimit_EXP_MISSON_LOW	Check_Mission_Day	4	0	<$>123717</>	Mcc3 Sqd Rep Exp	90
