ClassID	ClassName	ItemName
41001	AngelWing	<$>29751</>
41002	ChrysalisWing	<$>29755</>
41003	JabberwockArmor	<$>29761</>
41004	TortoiseArmor	<$>29783</>
41005	LunchPack_1	<$>32094</>
41006	LunchPack_2	<$>32096</>
41007	LunchPack_3	<$>32097</>
41008	IvoryBag	<$>29760</>
41009	LeafingcrocBag_1	<$>29769</>
41011	Rucksack	<$>29778</>
41012	Satchel	<$>29780</>
41030	BloodyCoffin	<$>18673</>
41031	wheelofdestiny	<$>13503</>
41032	Sign	<$>29781</>
41033	FlowerVase	<$>29758</>
41034	TreasureChest	<$>2295</>
41035	Anchor	<$>29750</>
41036	AlightedSwords	<$>29749</>
41037	Gravestone	<$>18672</>
41038	Revenant	<$>18675</>
41039	Deadlycross	<$>18674</>
41040	ArcAngelWing	<$>29752</>
41041	BlackAngel	<$>29754</>
41042	WhiteAngel	<$>29784</>
41043	RoyaList	<$>32125</>
41044	RoyaList1	<$>32125</>
41045	Republic	<$>32127</>
41046	Republic1	<$>32127</>
41047	SilverBell	<$>29782</>
41103	SoulOfSamuraiFlag	<$>32170</>
41104	SoulOfSamuraiFlag2	<$>32173</>
41105	SoulOfSamuraiFlag3	<$>32175</>
41108	KoreanFlag	<$>29762</>
41110	Murcielago_KOR	<$>32131</>
41112	Mortar	<$>29771</>
41122	ShylphWing_JPN	<$>9127</>
41123	FairyWing_JPN	<$>9128</>
41124	RedPhoenix	<$>9126</>
41125	HornofBaphomet	<$>32196</>
41126	WhiteCristatus	<$>32198</>
41130	RedSunset	<$>29772</>
41165	Sea_Flag_Knight	<$>29763</>
41166	Sea_Flag_Viscount	<$>29764</>
41167	Sea_Flag_Earl	<$>29765</>
41168	Sea_Flag_Marquis	<$>29766</>
41169	Sea_Flag_archduke	<$>29767</>
41170	Sea_Flag_Grandmaster	<$>29768</>
41171	ChrysalisWing_Blue	<$>29756</>
41172	ChrysalisWing_Violet	<$>29757</>
41173	RedSunset_Blue	<$>29773</>
41174	RedSunset_Violet	<$>29774</>
41175	Golden_ArcAngelWing	<$>29753</>
41176	RedPhoenix_Gold	<$>29775</>
41177	RedPhoenix_Silver	<$>29776</>
41189	CrystalWing	<$>9129</>
41190	Rudolph_Deer	<$>29779</>
41204	Fullmoon_Labbit	<$>29759</>
41219	DefrodainWing	<$>32235</>
41220	SpringFairyWing	<$>29789</>
42001	LyndonCoat	<$>28847</>
42002	BearSuit	<$>28848</>
42003	CrocSuit	<$>28849</>
42004	FighterJacketM	<$>28850</>
42005	FighterJacketF	<$>28851</>
42006	WizardCoatM	<$>28852</>
42007	WizardCoatF	<$>28853</>
42008	ScoutSuitM	<$>28854</>
42009	ScoutSuitF	<$>28855</>
42010	MusketeerUniformM	<$>28856</>
42011	MusketeerUniformF	<$>28857</>
42012	WarlockDressM	<$>28858</>
42013	WarlockDressF	<$>28859</>
42014	FanaticSuitCos	<$>28860</>
42015	MaidUniformCos	<$>28861</>
42016	OilBodyCos	<$>28862</>
42017	TorscheDressCos	<$>28863</>
42018	MizViolet	<$>28864</>
42019	NaharuRosa	<$>28865</>
42020	SchoolLook	<$>28866</>
42024	LeatherTunic1_Cos	<$>34120</>
42028	BearSuit2	<$>29067</>
42031	Coat1_Cos	<$>34129</>
42035	Robe1_Cos	<$>34135</>
42042	BasicFGT2_Cos	<$>28867</>
42043	BasicSCT3_Cos	<$>28868</>
42044	BasicWIZ2_Cos	<$>28869</>
42045	BasicWAR2_Cos	<$>28870</>
42046	BasicMUS2_Cos	<$>28871</>
42047	SchoolLookMUS	<$>28872</>
42048	SchoolLookSCT	<$>28873</>
42049	SchoolLookWIZ	<$>28874</>
42050	SchoolLookWAR	<$>28875</>
42052	BasicAdelCostume	<$>29737</>
42053	BasicCookerCostume	<$>29738</>
42054	BasicSohoCostume	<$>29741</>
42055	BasicSmithCostume	<$>29740</>
42056	BasicEmilCostume	<$>29739</>
42057	BistreCostume	<$>28876</>
42058	PirateCostume	<$>28877</>
42059	WarcookerCostume	<$>28878</>
42060	DebaucheeCostume	<$>28879</>
42061	BattleSmithCostume	<$>28880</>
42062	EmilSageCostume	<$>28881</>
42070	NoblessCoatCostume	<$>28882</>
42083	DilosRobe_Cos	<$>28883</>
42088	BanderaPirataCostume	<$>28884</>
42089	RosaCaninaCostume	<$>28885</>
42090	BellyDancerCostume	<$>28886</>
42091	MetalSpiritCostume	<$>28887</>
42092	PromenadeDressCostume	<$>28888</>
42093	LeafageSuitCostume	<$>28889</>
42094	ShalwarKamisCostume	<$>28890</>
42095	WildGuyCostume	<$>28891</>
42096	GorgeousSuitCostume	<$>28892</>
42097	GrimPheonixCostume	<$>28893</>
42098	DesperadoSuitCostume	<$>28894</>
42099	BearSuit3	<$>28895</>
42100	CrocSuit2	<$>28896</>
42101	ArchitectureUniformCostume	<$>28897</>
42102	JuniorSchoollookCostume	<$>28898</>
42103	KickBoxerCostume	<$>28899</>
42104	DecoruosHuntersuit	<$>28900</>
42105	DisDashaCostume	<$>28901</>
