ApplyTag1	ApplyTag2	ApplyTag3	ClassID	ClassName	DefRewardCount	DefRewardItem	Name	PerPix	PerRewardCount	PerRewardItem	Rank	Stat	Tag1	Tag2	Tag3	Time	UseItem	UseItemCount
Time	Percent	UseItem	1	Expedition1	5	27513	<$>29460</>	0.2	5	27516	1	STR	2	16	58	600	21450	1000
Time	Time	Time	2	Expedition2	1	27513	<$>29461</>	0.4	1	27516	1	AGI	26	6	3	480	21450	100
Time	Time	Percent	3	Expedition3	5	27513	<$>29462</>	0.2	5	27516	1	CON	5	2	26	1200	21450	500
Time	Time	UseItem	4	Expedition4	5	27513	<$>204690</>	0.4	5	27516	1	DEX	63	7	4	1200	21450	1000
Percent	Percent	Time	5	Expedition5	5	27513	<$>29464</>	0.1	5	27516	1	INT	42	3	6	600	21450	500
Percent	Percent	Percent	6	Expedition6	5	27513	<$>47562</>	0.05	5	27516	1	CHA	3	5	16	300	21450	500
Percent	Percent	UseItem	7	Expedition7	5	27513	<$>48090</>	0.1	5	27516	1	STR	6	26	2	300	21450	1000
UseItem	UseItem	Time	8	Expedition8	5	27513	<$>13687</>	0.4	5	27516	1	AGI	7	4	48	600	21450	2000
UseItem	UseItem	Percent	9	Expedition9	5	27513	<$>204691</>	0.2	5	27516	1	CON	59	26	5	300	21450	2000
UseItem	UseItem	UseItem	10	Expedition10	5	27513	<$>204692</>	0.4	5	27516	1	DEX	63	49	27	300	21450	4000
Time	Percent	UseItem	11	Expedition11	5	27513	<$>13002</>	0.2	5	27516	1	INT	63	62	10	1200	21450	1000
Time	Time	Time	12	Expedition12	1	27513	<$>117689</>	0.4	1	27516	1	CHA	41	27	42	960	21450	100
Time	Time	Percent	13	Expedition13	1	27513	<$>117690</>	0.2	1	27516	1	STR	42	43	36	480	21450	100
Time	Time	UseItem	14	Expedition14	1	27513	<$>204693</>	0.4	1	27516	1	AGI	78	49	67	480	21450	200
Percent	Percent	Time	15	Expedition15	5	27513	<$>204694</>	0.1	5	27516	1	CON	50	48	43	1200	21450	500
Percent	Percent	Percent	16	Expedition16	5	27513	<$>204695</>	0.05	5	27516	1	DEX	68	21	27	600	21450	500
Percent	Percent	UseItem	17	Expedition17	5	27513	<$>47570</>	0.1	5	27516	1	INT	59	53	63	600	21450	1000
UseItem	UseItem	Time	18	Expedition18	5	27513	<$>53892</>	0.4	5	27516	1	CHA	27	49	6	1200	21450	2000
UseItem	UseItem	Percent	19	Expedition19	5	27513	<$>13214</>	0.2	5	27516	1	STR	55	63	20	600	21450	2000
UseItem	UseItem	UseItem	20	Expedition20	5	27513	<$>53937</>	0.4	5	27516	1	AGI	79	27	83	600	21450	4000
Time	Percent	UseItem	21	Expedition21	2	27513	<$>204696</>	0.15	1	27516	2	CON	87	29	25	360	21450	300
Time	Time	Time	22	Expedition22	2	27513	<$>204697</>	0.3	1	27516	2	DEX	18	19	29	1440	21450	150
Time	Time	Percent	23	Expedition23	2	27513	<$>13417</>	0.15	1	27516	2	INT	78	84	12	720	21450	150
Time	Time	UseItem	24	Expedition24	2	27513	<$>13418</>	0.3	1	27516	2	CHA	38	17	88	720	21450	300
Percent	Percent	Time	25	Expedition25	2	27513	<$>39441</>	0.075	1	27516	2	STR	22	92	38	360	21450	150
Percent	Percent	Percent	26	Expedition26	10	27513	<$>204698</>	0.0375	5	27516	2	AGI	43	8	15	900	21450	750
Percent	Percent	UseItem	27	Expedition27	10	27513	<$>53849</>	0.075	5	27516	2	CON	82	55	73	900	21450	1500
UseItem	UseItem	Time	28	Expedition28	2	27513	<$>204699</>	0.3	1	27516	2	DEX	72	47	34	360	21450	600
UseItem	UseItem	Percent	29	Expedition29	10	27513	<$>54501</>	0.15	5	27516	2	INT	35	28	36	900	21450	3000
UseItem	UseItem	UseItem	30	Expedition30	10	27513	<$>12575</>	0.3	5	27516	2	CHA	87	54	22	900	21450	6000
Time	Percent	UseItem	31	Expedition31	2	27513	<$>29480</>	0.15	1	27516	2	STR	21	61	79	480	21450	400
Time	Time	Time	32	Expedition32	2	27513	<$>29483</>	0.3	1	27516	2	AGI	25	60	83	1920	21450	200
Time	Time	Percent	33	Expedition33	2	27513	<$>29484</>	0.15	1	27516	2	CON	63	69	78	960	21450	200
