ClassID	ClassName	HideIfZero
1	Cwar_Killer	None
2	Cwar_Helper	None
3	Cwar_Slayer	None
4	Cwar_SlayerInOneMax	None
5	Cwar_Dead	None
6	Cwar_DeadInOneMax	None
7	Cwar_Neverdie	None
8	Cwar_WarCount	None
9	Cwar_WarCountdate	None
10	Cwar_WinTotal	None
11	Cwar_WinContinue	WinContinue
12	Cwar_LoseContinue	LoseContinue
13	Cwar_WinContinueMax	WinContinueMax
14	Cwar_LoseContinueM	LoseContinueMax
15	Cwar_Mining	None
16	CommName	None
17	Cwar_KillBoss	None
18	Cwar_Betray	None
19	Respect_Point	None
20	Respect_BuyPoint	None
21	Cwar_Ressurect	None
22	Respect_PointInOne	None
23	Respect_BPointInOne	None
24	Cwar_KillerInOne	None
25	Cwar_HelperInOne	None
26	Cwar_SlayerInOne	None
27	Cwar_RessurectInOne	None
28	Cwar_MiningInOne	None
29	Cwar_DeadInOne	None
