AGI	AnimType	AttachEffectIndex	AttachEffectIndexBattle	BodyType	BoneType	BuffMidOffset	BuffTopOffset	CHA	CON	Cache	Category	CharacterBuff	CharacterBuffLv	ClassID	ClassName	ClassType	ClothType	CollectCard	CommPoint	CostumeListFemale	CostumeListMale	Create	CreationCard	DEAD	DEX	DamageOffset	DefaultArmor	DefaultArmorName	DefaultInvenItem	DefaultInvenItemCount	DefaultLWeapon	DefaultRWeapon	DefaultStance	Dummy_N_LH	Dummy_N_RH	EdgeColor	EngName	EqpAchieveSet	EqpArmorSet	EqpArtifactSet	EqpAssistSet	EqpBackSet	EqpBeltSet	EqpBootsSet	EqpBreastSet	EqpCostumeSet	EqpEarSet	EqpFaceSet	EqpGloveSet	EqpHeadSet	EqpNeckSet	EqpRingSet	EqpShoulderSet	EqpWeaponSet	EquipTown	EtcType	EventCard	ExpeditionTag	ExpertStance	Gender	HairType	HeadType	HitDummy	HitOffset	Home	IDL	INT	IconClass	JobDesc	JobSkill	JobSklName	KillVoice	LODDist	Mass	Name	OriginalDEADAni	PICK	PINCH	PoseType	RUN	RootNode	Rotation	RuneWordPercentage	STD	STR	STUN	ScaleF	ScaleM	SelfHitEffect	Size	TopDummy	UniqueHit	Value	VeteranStance	WLK	WeaponScale	WeightRatio	initLv
60	FGT	None	None	PC_SET_FGT_BODY	PC_SET_FGT,PC_SET_FGT1	135	198	50	70	TRUE	Pioneer	ChaDEF	2	1	Fighter	FGT	Normal	0	0	42051,42020,42501,42502,42503,42504,42014,42025,42026,42027,42029,42030,42042	42051,42020,42501,42502,42503,42504,42014,42025,42026,42027,42029,42030,42042,42023	Default	0	None	60	155	15001	CrecementoLeather	0	1	7215	7201	Bareknuckle,BackGuard,EpeeGarde,MiddleGuard,PlowGuard,BlandirCruz,Escrima,FreestyleShot,HighGuard,HackandSlash,HeavenorHell,SabreGarde,RoofGuard,DoublegunsShot	None	None	FF00FF00	Fighter	None,Achieve	None,Leather,Metal	None,Artifact	None	None,Back,BackFGT	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosALL,CosFGT,CosLeather	None,Ear	None,FaceFGT	None,Glove,LGlove,MGlove	None,Hat,HatFGT,HatFC	None,Necklace	None,Ring	None,Shoulder	100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116	TRUE	None	0	42,2,5	Peltast	Both	PC_SET_FGT_HAIR	PC_SET_FGT_HEAD,PC_SET_FGT1_HEAD	Bip01 Spine1	135	GranadoEspada	PC_IDL_FGT	40	fighter	<$>87015</>	1001	Provoke	None	1200	1	<$>9971</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT,FGT1	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	70	PC_STUN_FGT	0.956	1	HIT_Blood_Human	S	Dummy_State	NO	350	LowGuard,Sidewinder,MightyCruz,AvanceGarde,TheDefender,StabGuard	PC_WLK_FGT	None	1	1
50	WIZ	None	None	PC_SET_WIZ_BODY	PC_SET_WIZ,PC_SET_WIZ1	137	200	75	40	TRUE	Pioneer	ChaCast	1	2	Wizard	WIZ	Skirt	0	0	42051,42049,42501,42511,42512,42513,42032,42033,42034,42044,42015	42051,42049,42501,42511,42512,42513,42032,42033,42034,42044	Default	0	None	40	158	15003	CrecementoCoat	0	0	10000	7220	Psychokinesis,ESP,PhantomIllusion,Levitation	None	None	FF00FF00	Wizard	None,Achieve	None,Coat	None,Artifact	None,PsychicSphere	None,Back	None,Belt	None,Boots	None,Breast	None,CosInvisible,CosALL,CosWIZ,CosCoat	None,Ear	None,FaceWIZ	None,Glove	None,Hat,HatWIZ	None,Necklace	None,Ring	None,Shoulder	200,202,204	TRUE	None	0	42,3,7	Telekinesis	Both	PC_SET_WIZ_HAIR	PC_SET_WIZ_HEAD,PC_SET_WIZ1_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_WIZ	75	wizard	<$>104393</>	1002	Coruscation	None	1200	1	<$>9972</>	NO	PC_PICK_WIZ	PC_PINCH_WIZ	WIZ,WIZ1	PC_RUN_WIZ	Bip01	TRUE	0	PC_STD_WIZ	30	PC_STUN_WIZ	0.967	1.011	HIT_Blood_Human	S	Dummy_State	NO	310	Incantation,Anathema	PC_WLK_WIZ	None	1	1
70	SCT	None	None	PC_SET_SCT_BODY	PC_SET_SCT,PC_SET_SCT1	134	195	50	60	TRUE	Pioneer	ChaMHP	1	3	Scout	SCT	Normal	0	0	42051,42048,42501,42505,42506,42507,42025,42026,42043	42051,42048,42501,42505,42506,42507,42025,42026,42043,42016	Default	0	None	70	154	15001	CrecementoLeather	0	1	10000	10000	FirstAid,Fortitudo,EscrimaSCT,DobaladaCorteSCT,InstallTrap	None	None	FF00FF00	Scout	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosALL,CosSCT,CosLeather	None,Ear,EarSCT	None,FaceSCT	None,Glove,LGlove	None,Hat,HatSCT,HatFC	None,Necklace	None,Ring	None,Shoulder	300,301,302,303	TRUE	None	0	42,3,9	BattleMedicine	Both	PC_SET_SCT_HAIR	PC_SET_SCT_HEAD,PC_SET_SCT1_HEAD	Bip01 Spine1	134	GranadoEspada	PC_IDL_SCT	50	scout	<$>87017</>	1003	HealingAuto	None	1200	1	<$>9973</>	NO	PC_PICK_SCT	PC_PINCH_SCT	SCT,SCT1	PC_RUN_SCT	Bip01	TRUE	0	PC_STD_SCT	30	PC_STUN_SCT	0.922	0.989	HIT_Blood_Human	S	Dummy_State	NO	330	TacticalAssistance	PC_WLK_SCT	None	1	1
65	MUS	None	None	PC_SET_MUS_BODY	PC_SET_MUS,PC_SET_MUS1	137	200	50	50	TRUE	Pioneer	ChaATK	2	4	Musketeer	MUS	Normal	0	0	42051,42047,42501,42508,42509,42510,42032,42033,42034,42044	42051,42047,42501,42508,42509,42510,42032,42033,42034,42044	Default	0	None	85	158	15003	CrecementoCoat	0	0	10000	7212	Bareknuckle,StandingShot,AimingShot,FreestyleShot,DoublegunsShot,KneelingShot,	None	None	FF00FF00	Musketeer	None,Achieve	None,Coat	None,Artifact	None,Steelbullet,LargeCaliberBullet	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosALL,CosMUS,CosCoat	None,Ear	None,FaceMUS	None,Glove,LGlove	None,Hat,HatMUS	None,Necklace	None,Ring	None,Shoulder	400,401,402,403	TRUE	None	0	42,3,6	UnlimitedShot	Both	PC_SET_MUS_HAIR	PC_SET_MUS_HEAD,PC_SET_MUS1_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_MUS	30	musketeer	<$>87018</>	1004	Concentrate	None	1200	1	<$>9974</>	NO	PC_PICK_MUS	PC_PINCH_MUS	MUS,MUS1	PC_RUN_MUS	Bip01	TRUE	0	PC_STD_MUS	50	PC_STUN_MUS	0.95	1.011	HIT_Blood_Human	S	Dummy_State	NO	330	SightShot,OutrageShot,EncounterShot	PC_WLK_MUS	None	1	1
30	WAR	None	None	PC_SET_WAR_BODY	PC_SET_WAR,PC_SET_WAR1	132	193	75	40	TRUE	Pioneer	ChaIncINT	1	5	Warlock	WAR	Skirt	0	0	42051,42050,42501,42514,42515,42516,42517,42518,42519,42520,42521,42036,42037,42038,42039,42040,42041,42045,42017	42051,42050,42501,42514,42515,42516,42517,42518,42519,42520,42521,42036,42037,42038,42039,42040,42041,42045	Default	0	None	50	152	15004	CrecementoRobe	0	0	10000	7222	PossessionFire,PossessionIce,PossessionLightning,EvocationFire,EvocationIce,EvocationLightning,LordofElemental	None	None	FF00FF00	Warlock	None,Achieve	None,Robe	None,Artifact	None,ElementalSphere	None,Back	None,Belt	None,Boots	None,Breast	None,CosInvisible,CosALL,CosWAR	None,Ear	None,FaceWAR	None,Glove	None,Hat,HatWAR	None,Necklace	None,Ring	None,Shoulder	500,502,504,506,508,509,510,511,512,513,514, 515, 516, 517, 518, 519	TRUE	None	0	42,4,7	ElementalMaster	Both	PC_SET_WAR_HAIR	PC_SET_WAR_HEAD,PC_SET_WAR1_HEAD	Bip01 Spine1	132	GranadoEspada	PC_IDL_WAR	85	warlock	<$>87019</>	1005	ManaActivation	None	1200	1	<$>9975</>	NO	PC_PICK_WAR	PC_PINCH_WAR	WAR,WAR1	PC_RUN_WAR	Bip01	TRUE	0	PC_STD_WAR	30	PC_STUN_WAR	0.911	0.978	HIT_Blood_Human	S	Dummy_State	NO	310	DominationFire,DominationIce,DominationLightning	PC_WLK_WAR	None	1	1
70	MUS	None	None	PC_SET_GUN_BODY	PC_SET_GUN	127	185	50	40	TRUE	Spy	ChaASPD	1	6	Grace	GUN	Normal	29000	0	None	None	Hire	22001	None	90	146	15003	CrecementoCoat	0	0	10000	7213	Bareknuckle,AimingShot,StandingShot,ShotgunBlaster,DoublegunsShot,KneelingShot,FreestyleShot	None	None	FFFFFF00	Berneli	None,Achieve	None,Coat	None,Artifact	None,Steelbullet,Fullmetalshell	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosGuns,CosFemme	None,Ear	None,FaceGuns	None,Glove,LGlove	None,HatGuns	None,Necklace	None,Ring	None,Shoulder	600,601,602,603,604	TRUE	None	22500	74,18,73	None	Female	PC_SET_GUN_HAIR	PC_SET_GUN_HEAD	Bip01 Spine1	127	GranadoEspada	PC_IDL_MUS	30	musketeer	<$>87020</>	1052	Marksmanship	None	1200	1	<$>11086</>	NO	PC_PICK_MUS	PC_PINCH_MUS	GUN	PC_RUN_MUS	Bip01	TRUE	0	PC_STD_MUS	40	PC_STUN_MUS	0.939	0	HIT_Blood_Human	S	Dummy_State	NO	320	EncounterShot,GiganticBlaster	PC_WLK_MUS	None	1	40
70	FGT	None	None	PC_SET_SMITH_BODY	PC_SET_SMITH	124	181	50	60	TRUE	Cityzen	ChaMSATK	1	7	Idge	SMITH	Normal	29001	0	None	None	Hire	22002	None	60	143	15002	CrecementoMetal	0	0	10000	7206	Bareknuckle,PlowGuard,BlandirCruz,TailGuard,RoofGuard,BlandirCruz,PenetrarCruz	None	None	FFFFFF00	Idge	None,Achieve	None,Leather,Metal	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosInvisible,CosSmith,CosCraft	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatSmith,HatCraft	None,Necklace	None,Ring	None,Shoulder	700,701,702	TRUE	None	22501	26,63,45	None	Female	PC_SET_SMITH_HAIR	PC_SET_SMITH_HEAD	Bip01 Spine1	124	GranadoEspada	PC_IDL_FGT	30	fighter	<$>133100</>	2002	MeltArmor	None	1200	1	<$>3365</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	60	PC_STUN_FGT	0.917	0	HIT_Blood_Human	S	Dummy_State	NO	330	Sidewinder,MightyCruz	PC_WLK_FGT	None	1	40
50	FGT	None	None	PC_SET_WEP_BODY	PC_SET_WEP	142	225	40	80	TRUE	Cityzen	ChaMSATK	1	8	Claude	WEP	Normal	29002	0	None	None	Hire	22003	None	50	163	15002	CrecementoMetal	0	0	10000	7206	Bareknuckle,BackGuard,MiddleGuard,PlowGuard,BlandirCruz,HackandSlash,TwinBlades,TailGuard,PenetrarCruz	None	None	FFFFFF00	Claude	None,Achieve	None,Leather,Metal	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosInvisible,CosClaude	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatClaude	None,Necklace	None,Ring	None,Shoulder	800,801,802,803,804,805,806,807,808	TRUE	None	22502	26,42,45	None	Male	PC_SET_WEP_HAIR	PC_SET_WEP_HEAD	Bip01 Spine1	142	GranadoEspada	PC_IDL_ART	30	fighter	<$>87022</>	2001	MeltWeapon	None	1200	1.1	<$>80</>	NO	PC_PICK_ART	PC_PINCH_ART	WEP	PC_RUN_ART	Bip01	TRUE	0	PC_STD_ART	80	PC_STUN_ART	0	1.05	HIT_Blood_Human	S	Dummy_State	NO	330	MightyCruz,StabGuard	PC_WLK_ART	None	2	60
90	FGT	None	None	PC_SET_HOUSE_BODY	PC_SET_HOUSE	129	189	50	40	TRUE	TreasureHunter	ChaMSATK	1	9	Brunie	HOUSE	Normal	29003	0	None	None	Hire	22004	None	70	148	15003	CrecementoCoat	0	0	10000	7211	Bareknuckle,AimingShot,FreestyleShot,DoublegunsShot	None	None	FFFFFF00	Brunie	None,Achieve	None,Coat	None,Artifact	None,LargeCaliberBullet	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosBru	None,Ear	None,	None,Glove,LGlove	None,HatBru	None,Necklace	None,Ring	None,Shoulder	900,901,902	TRUE	None	22503	26,63,6	None	Female	PC_SET_HOUSE_HAIR	PC_SET_HOUSE_HEAD	Bip01 Spine1	129	GranadoEspada	PC_IDL_FGT	30	musketeer	<$>87023</>	1027	FatalBlues	None	1200	0.95	<$>81</>	NO	PC_PICK_FGT	PC_PINCH_FGT	HOUSE	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	40	PC_STUN_FGT	0.956	0	HIT_Blood_Human	S	Dummy_State	NO	320	SightShot,OutrageShot	PC_WLK_FGT	None	1	40
50	FGT	None	None	PC_SET_SOL_BODY	PC_SET_SOL	134	195	50	70	TRUE	Soldier	ChaMHP	2	10	Soldier	SOL	Normal	29004	0	None	None	Hire	22005	None	40	154	15001	CrecementoLeather	0	0	7215	7201	Bareknuckle,BackGuard,PenetrarCruz,BlandirCruz,HighGuard	None	None	FFFFFF00	Reboldoeux Soldier	None,Achieve	None,Leather,Metal	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosInvisible,CosSol	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatSol	None,Necklace	None,Ring	None,Shoulder	1000,1001,1002,1003,1004,1005	TRUE	None	22504	26,5,41	None	Both	PC_SET_SOL_HAIR	PC_SET_SOL_HEAD	Bip01 Spine1	134	GranadoEspada	PC_IDL_FGT	30	fighter	<$>87024</>	1024	Tenacity	None	1200	1	<$>47003</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	60	PC_STUN_FGT	0.944	0.989	HIT_Blood_Human	S	Dummy_State	NO	300	TheDefender,MightyCruz	PC_WLK_FGT	None	1	1
