Child	ClassID	ClassName	CompletedType	Context	GaugeText	Title	ToolTip	Type
2 3 4	1	mission_bedel_party	Mission	None	None	None	None	Mission
None	2	mission_bedel_party_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178275</>	<$>178276</>	Mission_Combat
None	3	mission_bedel_party_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178277</>	<$>178278</>	Mission_Combat
None	4	mission_bedel_party_3	Mission_NPC_Complete	None	None	<$>178279</>	<$>178280</>	Mission_NPC
12 13 14	11	mission_selvaorden04	Mission	None	None	None	None	Mission
None	12	mission_selvaorden04_1	Mission_NPC_Complete	None	None	<$>178281</>	None	Mission_NPC
None	13	mission_selvaorden04_2	Mission_Clock_Complete	None	FORMULA_GAUGETEXT_STOPWATCH_REVERSE	<$>178282</>	<$>178283</>	Mission_Clock
None	14	mission_selvaorden04_3	Mission_NPC_Complete	None	None	<$>178281</>	None	Mission_NPC
22 23	21	mission_tree_party	Mission	None	None	None	None	Mission
None	22	mission_tree_party_1	Mission_Percentage_Complete	None	FORMULA_GAUGETEXT_PERCENTAGE	<$>178284</>	<$>178285</>	Mission_Percentage
None	23	mission_tree_party_2	Mission_NPC_Complete	None	None	<$>178279</>	<$>178280</>	Mission_NPC
32 33 34	31	mission_orden1_main30	Mission	None	None	None	None	Mission
None	32	mission_orden1_main30_1	Mission_NPC_Complete	None	None	<$>178281</>	None	Mission_NPC
None	33	mission_orden1_main30_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178286</>	<$>178287</>	Mission_Combat
None	34	mission_orden1_main30_3	Mission_NPC_Complete	None	None	<$>178281</>	None	Mission_NPC
36 37 38 39	35	mission_orden1_main31	Mission	None	None	None	None	Mission
None	36	mission_orden1_main31_1	Mission_NPC_Complete	None	None	<$>178281</>	None	Mission_NPC
None	37	mission_orden1_main31_2	Mission_Clock_Complete	None	FORMULA_GAUGETEXT_STOPWATCH_REVERSE	<$>178288</>	<$>178289</>	Mission_Clock
None	38	mission_orden1_main31_3	Mission_ETC_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178290</>	<$>178291</>	Mission_ETC
None	39	mission_orden1_main31_4	Mission_NPC_Complete	None	None	<$>178281</>	None	Mission_NPC
42 43 44 45 46 47	41	mission_clocktower_b01	Mission	None	None	None	None	Mission
None	42	mission_clocktower_b01_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178292</>	<$>178293</>	Mission_Combat
None	43	mission_clocktower_b01_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178294</>	<$>178295</>	Mission_Combat
None	44	mission_clocktower_b01_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178296</>	<$>178297</>	Mission_MSkill
None	45	mission_clocktower_b01_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178298</>	<$>178299</>	Mission_MSkill
None	46	mission_clocktower_b01_5	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	47	mission_clocktower_b01_6	Mission_ETC_Complete	None	None	<$>178300</>	<$>178301</>	Mission_ETC
52 53 54 55 56	51	mission_clocktower_b02	Mission	None	None	None	None	Mission
None	52	mission_clocktower_b02_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178302</>	<$>178303</>	Mission_Combat
None	53	mission_clocktower_b02_2	Mission_Combat_Complete	<$>178305</>	None	<$>178304</>	<$>178306</>	Mission_Combat
None	54	mission_clocktower_b02_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143587</>	<$>178307</>	Mission_MSkill
None	55	mission_clocktower_b02_4	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	56	mission_clocktower_b02_5	Mission_ETC_Complete	None	None	<$>178300</>	<$>178301</>	Mission_ETC
62 63 64 65 66 67 68 69	61	mission_clocktower_b03	Mission	None	None	None	None	Mission
None	62	mission_clocktower_b03_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178308</>	<$>178309</>	Mission_Combat
None	63	mission_clocktower_b03_2	Mission_NPC_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178310</>	<$>178311</>	Mission_NPC
None	64	mission_clocktower_b03_3	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178312</>	<$>178313</>	Mission_Combat
None	65	mission_clocktower_b03_4	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178314</>	<$>178315</>	Mission_Combat
None	66	mission_clocktower_b03_5	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178316</>	<$>178317</>	Mission_Combat
None	67	mission_clocktower_b03_6	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178318</>	<$>178319</>	Mission_MSkill
None	68	mission_clocktower_b03_7	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	69	mission_clocktower_b03_8	Mission_ETC_Complete	None	None	<$>178300</>	<$>178301</>	Mission_ETC
72 73 74 75 76 77	71	mission_clocktower_b04	Mission	None	None	None	None	Mission
None	72	mission_clocktower_b04_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178320</>	<$>178321</>	Mission_Combat
None	73	mission_clocktower_b04_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143600</>	<$>178322</>	Mission_MSkill
None	74	mission_clocktower_b04_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143601</>	<$>187486</>	Mission_MSkill
None	75	mission_clocktower_b04_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143602</>	<$>178324</>	Mission_MSkill
None	76	mission_clocktower_b04_6	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	77	mission_clocktower_b04_7	Mission_ETC_Complete	None	None	<$>178300</>	<$>178301</>	Mission_ETC
82 83 84 85 86 87 88	81	mission_clocktower_b05	Mission	None	None	None	None	Mission
None	82	mission_clocktower_b05_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178325</>	<$>178326</>	Mission_Combat
None	83	mission_clocktower_b05_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143611</>	<$>178327</>	Mission_MSkill
None	84	mission_clocktower_b05_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143612</>	<$>178328</>	Mission_MSkill
None	85	mission_clocktower_b05_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143615</>	<$>178329</>	Mission_MSkill
None	86	mission_clocktower_b05_5	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178330</>	<$>143620</>	Mission_MSkill
None	87	mission_clocktower_b05_6	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	88	mission_clocktower_b05_7	Mission_ETC_Complete	None	None	<$>178300</>	<$>178301</>	Mission_ETC
92 93 94 95 96 97	91	mission_clocktower_b06	Mission	None	None	None	None	Mission
None	92	mission_clocktower_b06_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178331</>	<$>178332</>	Mission_Combat
None	93	mission_clocktower_b06_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143624</>	<$>178333</>	Mission_MSkill
None	94	mission_clocktower_b06_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178334</>	<$>178335</>	Mission_MSkill
None	95	mission_clocktower_b06_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143626</>	<$>187487</>	Mission_MSkill
None	96	mission_clocktower_b06_5	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	97	mission_clocktower_b06_6	Mission_ETC_Complete	None	None	<$>178300</>	<$>178301</>	Mission_ETC
102 103 104	101	mission_clocktower_b07	Mission	None	None	None	None	Mission
None	102	mission_clocktower_b07_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178337</>	<$>178338</>	Mission_Combat
None	103	mission_clocktower_b07_2	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	104	mission_clocktower_b07_3	Mission_ETC_Complete	None	None	<$>178300</>	<$>178301</>	Mission_ETC
112 113 114 115	111	mission_clocktower_b08	Mission	None	None	None	None	Mission
None	112	mission_clocktower_b08_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178339</>	<$>178340</>	Mission_Combat
None	113	mission_clocktower_b08_2	Mission_Percentage_Complete	None	FORMULA_GAUGETEXT_PERCENTAGE	<$>178341</>	<$>178342</>	Mission_Percentage
None	114	mission_clocktower_b08_3	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	115	mission_clocktower_b08_4	Mission_ETC_Complete	None	None	<$>178300</>	<$>178301</>	Mission_ETC
122 123 124 125 126 127 128 129 130 131	121	mission_clocktower_b09	Mission	None	None	None	None	Mission
None	122	mission_clocktower_b09_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178343</>	<$>178344</>	Mission_Combat
None	123	mission_clocktower_b09_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178345</>	<$>178346</>	Mission_MSkill
None	124	mission_clocktower_b09_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178347</>	<$>187488</>	Mission_MSkill
None	125	mission_clocktower_b09_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178349</>	<$>178350</>	Mission_MSkill
None	126	mission_clocktower_b09_5	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178351</>	<$>178352</>	Mission_Combat
None	127	mission_clocktower_b09_6	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178353</>	<$>178354</>	Mission_MSkill
None	128	mission_clocktower_b09_7	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178355</>	<$>187489</>	Mission_MSkill
None	129	mission_clocktower_b09_8	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178357</>	<$>178350</>	Mission_MSkill
None	130	mission_clocktower_b09_9	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	131	mission_clocktower_b09_10	Mission_ETC_Complete	None	None	<$>178300</>	<$>178301</>	Mission_ETC
142 143 144 145 146 147 148 149	141	mission_clocktower_b10	Mission	None	None	None	None	Mission
None	142	mission_clocktower_b10_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178358</>	<$>178359</>	Mission_Combat
None	143	mission_clocktower_b10_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178360</>	<$>178361</>	Mission_MSkill
None	144	mission_clocktower_b10_3	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178362</>	<$>178363</>	Mission_Combat
None	145	mission_clocktower_b10_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143624</>	<$>178333</>	Mission_MSkill
None	146	mission_clocktower_b10_5	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>178364</>	<$>178365</>	Mission_MSkill
None	147	mission_clocktower_b10_6	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>143626</>	<$>187490</>	Mission_MSkill
None	148	mission_clocktower_b10_7	Mission_NPC_Complete	None	None	<$>178279</>	None	Mission_NPC
None	149	mission_clocktower_b10_8	Mission_ETC_Complete	<$>178368</>	None	<$>178367</>	<$>178369</>	Mission_ETC
1002 1003	1001	mission_msg_burlon03	Mission	None	None	None	None	Mission
None	1002	mission_msg_burlon03_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>187491</>	<$>187492</>	Mission_Combat
None	1003	mission_msg_burlon03_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>187493</>	<$>187494</>	Mission_Combat
1012 1013	1011	mission_alt_fld01_1	Mission	None	None	None	None	Mission
None	1012	mission_alt_fld01_1_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>210223</>	<$>210224</>	Mission_Combat
None	1013	mission_alt_fld01_1_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>210225</>	<$>210226</>	Mission_Combat
1022 1023 1024 1025 1026 1027	1021	mission_alt_fld03	Mission	None	None	None	None	Mission
None	1022	mission_alt_fld03_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>216753</>	<$>216754</>	Mission_Combat
None	1023	mission_alt_fld03_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>216755</>	<$>216756</>	Mission_Combat
None	1024	mission_alt_fld03_3	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>216757</>	<$>216756</>	Mission_Combat
None	1025	mission_alt_fld03_4	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>216758</>	<$>216756</>	Mission_Combat
None	1026	mission_alt_fld03_5	Mission_Clock_Complete	None	FORMULA_GAUGETEXT_STOPWATCH_REVERSE	<$>216759</>	<$>216760</>	Mission_Clock
None	1027	mission_alt_fld03_6	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>216761</>	<$>216762</>	Mission_Combat
