AR	ASPD	ATK	AddATK	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireIP	GolemBane	GroupName	HPDrain	HR	HumanBane	IMP	IceATK	IceIP	ImgName	IncAGI	IncAGI_Opt	IncCHA	IncCHA_Opt	IncCON	IncCON_Opt	IncDEX	IncDEX_Opt	IncINT	IncINT_Opt	IncMHP	IncMHP_Opt	IncMSP	IncMSP_Opt	IncSTR	IncSTR_Opt	InfoView	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LgtIP	LogoutSave	MHP	MHP_Opt	MKP	MSP	MSPD	MSP_Opt	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PCAtk	PCDef	PR	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyIP	RFIRE	RHP	RICE	RLGHT	RPSY	RSP	RSTAT	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	SetItemGroup	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	None	0	None	0	None	0	None	0	None	0	atk_fist1.ogg	0	0	0	0	None	hit_fist1.ogg	0	None	None	0	None	0	Acc	<$>34864</>	Acc_None	<$>13438</>	15000	NoNeck	None	NO	0	FALSE	0	0	NECK	0	<$>13438</>	0	0	0	0	None	None	None	None	Dummy_L_HAND	Dummy_R_HAND	N/A	N/A	Dummy_R_PELVIS	Dummy_L_PELVIS	TRUE	0	None	1	NoNecklace	NECK	None	None	0	0	FALSE	it_a_noneck	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>13438</>	SYS_item_column_red	0	<$>13438</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15000	1	None	0	0	0	None	None	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Necklace	<$>27184</>	15201	Slyneck_HoneySpider	Necklace	NO	0	FALSE	0	0	NECK	0	<$>38745</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Necklace of Honey spider	NECK	None	None	2147483647	0	FALSE	it_a_necklace1	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>27184</>	SYS_item_column_red	0	<$>38743</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15201	1	None	275	0	0	None	<$>168488</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Necklace	<$>27184</>	15202	Slyneck_ZebraEater	Necklace	NO	0	FALSE	0	0	NECK	0	<$>38748</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Necklace of Zebra-eater	NECK	None	None	2147483647	0	FALSE	it_a_necklace1	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>27184</>	SYS_item_column_red	0	<$>38747</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15202	1	None	275	0	0	None	<$>168488</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Necklace	<$>27184</>	15203	Slyneck_Mandradora	Necklace	NO	0	FALSE	0	0	NECK	0	<$>38750</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Necklace of Mandradora	NECK	None	None	2147483647	0	FALSE	it_a_necklace1	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>27184</>	SYS_item_column_red	0	<$>38749</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15203	1	None	275	0	0	None	<$>168488</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Necklace	<$>27184</>	15204	Slyneck_Hornet	Necklace	NO	0	FALSE	0	0	NECK	0	<$>38752</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Necklace of Horney	NECK	None	None	2147483647	0	FALSE	it_a_necklace1	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>27184</>	SYS_item_column_red	0	<$>38751</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15204	1	None	275	0	0	None	<$>168488</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Necklace	<$>27184</>	15205	Slyneck_SaberBoar	Necklace	NO	0	FALSE	0	0	NECK	0	<$>38754</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Necklace of Saber boar	NECK	None	None	2147483647	0	FALSE	it_a_necklace1	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>27184</>	SYS_item_column_red	0	<$>38753</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15205	1	None	275	0	0	None	<$>168488</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Necklace	<$>27184</>	15206	Slyneck_VedanobahKnife	Necklace	NO	0	FALSE	0	0	NECK	0	<$>38756</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Necklace of Vedanobah	NECK	None	None	2147483647	0	FALSE	it_a_necklace1	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>27184</>	SYS_item_column_red	0	<$>38755</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15206	1	None	275	0	0	None	<$>168488</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Necklace	<$>27184</>	15207	Slyneck_FlyingSickle	Necklace	NO	0	FALSE	0	0	NECK	0	<$>38758</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Necklace of Flying sickle	NECK	None	None	2147483647	0	FALSE	it_a_necklace1	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>27184</>	SYS_item_column_red	0	<$>38757</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15207	1	None	275	0	0	None	<$>168488</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Necklace	<$>27184</>	15208	Slyneck_Marcurse	Necklace	NO	0	FALSE	0	0	NECK	0	<$>38760</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Necklace of Marcurse	NECK	None	None	2147483647	0	FALSE	it_a_necklace1	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>27184</>	SYS_item_column_red	0	<$>38759</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15208	1	None	275	0	0	None	<$>168488</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Necklace	<$>27184</>	15209	Slyneck_LeafingCroc	Necklace	NO	0	FALSE	0	0	NECK	0	<$>38762</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Necklace of Leafing croc	NECK	None	None	2147483647	0	FALSE	it_a_necklace1	0	0	0	Necklace	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>27184</>	SYS_item_column_red	0	<$>38761</>	None	0	1000	0	0	No	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	15209	1	None	275	0	0	None	<$>168488</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
