ActionCamDist	ActionCamFreq	AtkLayer	Buff	BuffAlarmOnBoth	BuffAlarmOnEnemy	BuffAlarmOnMCC	BuffAlarmOnMe	BuffFreq	BuffID	BuffType	CastBreak	CastDist	CastEffect	CastSkill	CastTime	ChargeAddR	ChargeGauge	ChargeType	ChaseTime	CheckBuff	CheckBuffLevel	ClassID	ClassName	ClassType	CollectOffsetRatio	CollectType	ComboSkill	CoolDown	CounterSkillCheckScp	CurStackSkillCount	DamageType	Desc	DmgTarget	DownTime	Drain	EngName	FileName	FlyingTime	HandType	HateAmnt	HitDist	HitTime	Hits	HoldTarget	HoldTime	IgnoreCastHIT	IgnoreDEF	InitCastTime	KBDist	KBTime	KDRank	KDownHAngle	KDownPower	KDownType	KDownVAngle	MaxPlacement	MaxR	MaxStackSkillCount	MinR	MoveDist	MoveTime	MoveType	Name	OnAll	OnCorpse	OnEnemy	OnEqpShld	OnOthers	OnParty	OnSquad	OnSummon	OnTeam	OnTrigger	PerentSkillID	Placement	PvPFix	RefreshTime	RemBuff1	RemBuff2	RemBuff3	RemBuff4	RemBuff5	Script	SkillEndScript	SklATK	SklEXP	SklLv	SklLv_BM	SklMedium	SklMetal	SklRank	SklSoft	SpecDesc0	SpecDesc1	SpecDesc10	SpecDesc11	SpecDesc12	SpecDesc13	SpecDesc14	SpecDesc15	SpecDesc2	SpecDesc3	SpecDesc4	SpecDesc5	SpecDesc6	SpecDesc7	SpecDesc8	SpecDesc9	SpecialType	SpendCatal	SpendHP	SpendItemCount	SpendItemID	SpendSP	SplDam	SplLimit	SplType	SplashAngle	SplashRange	StackSkillChargeTime	StackSkillType	Target	TargetDesc	Uni	UseCheck	UseType	ValueType	ViewAllyCast	ViewEnemyCastName	WaveLength	XPType	kdDist
1200	0	2	None	None	None	None	None	0	0	Normal	None	0	None	FALSE	0	0	0	None	0	None	0	1000	HealingManual	HEAL	0	None	None	0	None	0	None	<$>58003</>	HP	0	None	Healing	job_healing	0	RH	0	0	0	0	SELF	1500	YES	0	0	0	0	0	0	0	normal	0	0	300	0	0	0	0	None	<$>58002</>	NO	NO	NO	FALSE	YES	NO	YES	NO	YES	NO	0	None	1.2	150	none	none	none	none	none	SCR_SKILL_HEAL	SCR_SKILL_END_LIB	93.75	0	1	0	100	100	1	100	<$>58005</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	50	0	0	None	0	0	0	None	Party	<$>58004</>	FALSE	FALSE	MELEE	Heal	0	1	0	20001	0
1200	0	2	Provoke	None	None	None	None	100	8	Normal	None	0	None	FALSE	0	0	0	None	0	None	0	1001	Provoke	BUFF	0	None	None	0	None	0	None	<$>58007</>	HP	0	None	Provoke	job_provoke	0	RH	300	0	0	0	SELF	1200	YES	0	0	0	0	0	0	0	normal	0	0	100	0	0	0	0	None	<$>58006</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	120	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	<$>197921</>	<$>197930</>	<$>197931</>	<$>197932</>	<$>197933</>	<$>197934</>	<$>197935</>	<$>197922</>	<$>197923</>	<$>197924</>	<$>197925</>	<$>197926</>	<$>197927</>	<$>197928</>	<$>197929</>	none	0	0	0	0	100	1	8	Circle	0	800	0	None	None	<$>58008</>	TRUE	FALSE	AREA	Buff	0	1	0	20001	0
1200	0	2	Coruscation	None	None	None	None	100	63	FORCE	None	0	None	TRUE	1000	0	0	None	0	None	0	1002	Coruscation	BUFF	0	None	None	30000	None	0	None	<$>93138</>	HP	0	None	Coruscation	job_coruscation	0	RH	0	0	0	0	SELF	1100	YES	0	1000	0	0	0	0	0	normal	0	0	100	0	0	0	0	None	<$>87905</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	210	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	<$>98633</>	<$>98633</>	<$>98634</>	<$>98634</>	<$>98634</>	<$>98634</>	<$>98634</>	<$>98633</>	<$>98633</>	<$>98633</>	<$>98633</>	<$>98633</>	<$>98633</>	<$>98633</>	<$>98633</>	none	0	0	10	21114	60	0	0	None	0	0	0	None	None	<$>58026</>	FALSE	FALSE	SELF	Buff	0	1	0	20001	0
1200	0	2	None	None	None	None	None	0	0	Normal	None	0	None	FALSE	0	0	0	None	0	None	0	1003	HealingAuto	HEAL	0	None	None	0	None	0	None	<$>58003</>	HP	0	None	Healing	job_healing	0	RH	0	0	0	0	SELF	1500	YES	0	0	0	0	0	0	0	normal	0	0	300	0	1	0	0	None	<$>58002</>	NO	NO	NO	FALSE	YES	NO	YES	NO	YES	NO	0	None	1.2	150	none	none	none	none	none	SCR_SKILL_HEAL	SCR_SKILL_END_LIB	187.5	0	1	0	100	100	1	100	<$>58005</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	25	0	0	None	0	0	0	None	Party	<$>58042</>	FALSE	FALSE	MELEE	Heal	0	1	0	20001	0
1200	0	1	Concentrate	None	None	None	None	100	53	FORCE	None	0	None	FALSE	0	0	0	None	0	None	0	1004	Concentrate	BUFF	0	None	None	0	None	0	None	<$>58044</>	HP	0	None	Concentrate	job_concentrate	0	RH	0	0	0	0	SELF	1870	YES	0	0	0	0	0	0	0	normal	0	0	100	0	0	0	0	None	<$>58043</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	187	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	<$>58045</>	<$>58054</>	<$>58055</>	<$>58056</>	<$>58057</>	<$>58058</>	<$>58059</>	<$>58046</>	<$>58047</>	<$>58048</>	<$>58049</>	<$>58050</>	<$>58051</>	<$>58052</>	<$>58053</>	none	0	0	5	20003	100	0	0	None	0	0	0	None	None	<$>58026</>	FALSE	FALSE	SELF	Buff	0	1	0	20001	0
1200	0	1	ManaActivation	None	None	None	None	100	37	FORCE	None	0	None	TRUE	1133	0	0	None	0	None	0	1005	ManaActivation	BUFF	0	None	None	5000	None	0	None	<$>58061</>	HP	0	None	Elemental penetration	job_manaactivation	0	RH	0	0	0	0	SELF	1630	YES	0	1133	0	0	0	0	0	normal	0	0	100	0	0	0	0	None	<$>58060</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	226	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	<$>98635</>	<$>98644</>	<$>98645</>	<$>98646</>	<$>98647</>	<$>98648</>	<$>98649</>	<$>98636</>	<$>98637</>	<$>98638</>	<$>98639</>	<$>98640</>	<$>98641</>	<$>98642</>	<$>98643</>	none	0	0	10	21115	100	0	0	None	0	0	0	None	None	<$>58026</>	FALSE	FALSE	SELF	Buff	0	1	0	20001	0
1200	0	1	Sprint	None	None	None	None	100	64	FORCE	None	0	None	TRUE	1133	0	0	None	0	None	0	1006	Sprint	BUFF	0	None	None	30000	None	0	None	<$>58078</>	HP	0	None	Sprint	job_sprint	0	RH	0	0	0	0	SELF	1130	YES	0	1133	0	0	0	0	0	normal	0	0	100	0	0	0	0	None	<$>58077</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	226	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	<$>58079</>	<$>58088</>	<$>58089</>	<$>58090</>	<$>58091</>	<$>58092</>	<$>58093</>	<$>58080</>	<$>58081</>	<$>58082</>	<$>58083</>	<$>58084</>	<$>58085</>	<$>58086</>	<$>58087</>	none	0	0	3	20003	100	0	0	None	0	0	0	None	None	<$>58026</>	FALSE	FALSE	SELF	Buff	0	1	0	20001	0
1200	0	2	None	None	None	None	None	0	0	Normal	None	0	None	FALSE	0	0	0	None	0	None	0	1007	CancelStructure	BUILD	0	None	Monster_CancelStructure	60000	None	0	None	<$>58095</>	HP	0	None	Cancel structure	job_cancelsummon	0	RH	0	0	0	0	SELF	1500	YES	0	0	0	0	0	0	0	normal	0	1	100	0	0	0	0	None	<$>58094</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	Monster_CancelStructure	1.2	150	none	none	none	none	none	SCR_SKILL_PLACEMENTDESTROYER	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	0	0	0	None	0	0	0	None	None	<$>58026</>	FALSE	TRUE	PLACEMENT	Buff	0	1	0	20001	0
1200	0	2	None	None	None	None	None	0	0	Normal	None	0	None	FALSE	0	0	0	None	0	None	0	1008	CancelMarionette	BUILD	0	None	Monster_CancelStructure	60000	None	0	None	<$>58097</>	HP	0	None	Cancel marrionette	job_cancelsummon	0	RH	0	0	0	0	SELF	1500	YES	0	0	0	0	0	0	0	normal	0	1	100	0	0	0	0	None	<$>58096</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	Monster_CancelStructure	1.2	150	none	none	none	none	none	SCR_SKILL_PLACEMENTDESTROYER	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	0	0	0	None	0	0	0	None	None	<$>58026</>	FALSE	TRUE	PLACEMENT	Buff	0	1	0	20001	0
1200	0	2	GrimReaper	None	None	None	None	0	0	FORCE	None	0	None	FALSE	0	0	0	None	0	None	0	1009	GrimReaper	BUFF	0	None	None	80000	None	0	None	<$>111683</>	HP	0	None	The Grim Reaper	job_summon_grim1	0	RH	0	0	0	0	SELF	1500	YES	0	0	0	0	0	0	0	normal	0	1	100	0	0	0	0	None	<$>44960</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	150	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	<$>98651</>	<$>98651</>	<$>155629</>	<$>155629</>	<$>155629</>	<$>155629</>	<$>155629</>	<$>98651</>	<$>98651</>	<$>98651</>	<$>98651</>	<$>98651</>	<$>98651</>	<$>98651</>	<$>98651</>	none	0	0	10	21114	300	0	0	None	0	0	0	None	None	<$>58026</>	TRUE	FALSE	SELF	Buff	0	1	0	20001	0
