ClassID	ClassName	Max	Name	ToolTip
1	LikeCommToCas	50	<$>53400</>	<$>127728</>
2	LikeLisaToAdel	500	<$>11196</>	<$>127729</>
3	LikeAdelToLisa	500	<$>11182</>	<$>127729</>
4	Viron_JuneCount	4800	<$>53404</>	<$>53405</>
5	Los_Info	100	<$>11103</>	<$>127730</>
6	Viron_M3_Result	2000	<$>53407</>	<$>53408</>
7	Farm_JoinContinue	30	<$>48005</>	<$>53409</>
8	Mary_HelpPoint	100	<$>47094</>	<$>127731</>
9	Panfilo_HelpPoint	100	<$>11192</>	<$>127732</>
10	Bst_PortGuild	100000	<$>87403</>	<$>87404</>
11	Bst_Merchant	100000	<$>87405</>	<$>87406</>
12	Bst_Slum	100000	<$>87407</>	<$>87408</>
13	Bst_Governor	100000	<$>87409</>	<$>87410</>
14	Bst_Labo	100000	<$>85953</>	<$>87411</>
15	BerroniffDiaryNum	7	<$>11118</>	<$>127733</>
16	BStick_Count	7	<$>4903</>	<$>127734</>
17	Selvaarm_Count	15	<$>49403</>	<$>178508</>
18	PartJobCount_Reb	10	<$>105334</>	<$>127736</>
19	PartJobCount_Coim	10	<$>105322</>	<$>127737</>
20	PartJobCount_Auch	10	<$>105290</>	<$>127738</>
21	PartJobCount_Ust	10	<$>105337</>	<$>127739</>
22	PartJobCount_Bah	10	<$>105292</>	<$>127740</>
23	PartJobCount_Erc	10	<$>105327</>	<$>127741</>
24	PartJobCount_Viron	10	<$>105338</>	<$>127742</>
25	PartJobCount_Bst	10	<$>105295</>	<$>127743</>
26	Bedel_Evora	100000	<$>157056</>	<$>166394</>
27	Bedel_Patrikyon	100000	<$>166395</>	<$>166396</>
28	IleQuestCount	3200	<$>194245</>	<$>194246</>
29	AltQuestCount	5200	<$>211376</>	<$>211377</>
