ClassID	ItemID
1	7000
2	7001
3	7002
4	7003
5	7004
6	7005
7	7006
8	7007
9	7008
10	7009
11	7010
12	7011
13	7012
14	7013
15	7014
16	7015
17	7016
18	7017
19	7018
20	7019
21	7020
22	7021
23	7022
24	7023
25	7024
26	15329
27	15330
28	65002
29	65003
30	65004
31	65005
32	65006
33	65007
34	65008
35	65009
36	65010
37	65011
38	65012
39	65013
40	65014
41	65015
42	65016
43	65017
44	65018
45	65019
46	65020
47	65021
48	65022
49	65023
50	65024
51	65025
52	65026
53	65027
54	65028
55	65029
56	65030
57	65031
58	65032
59	65033
60	65035
61	65036
62	65037
63	65038
64	65039
65	65040
66	65041
67	65042
68	65043
69	65044
70	65045
71	65046
72	65047
73	65049
74	65050
75	65051
76	65052
77	65053
78	65054
79	65055
80	65056
81	65057
82	65058
83	65059
84	65060
85	65061
86	65062
87	65063
88	65064
89	65065
90	65066
91	65067
92	65068
93	65069
94	65070
95	65071
96	65072
97	65073
98	65074
99	65075
100	65076
101	65077
102	65078
103	65079
104	65080
105	65081
106	65086
107	65087
108	65088
109	65089
110	65090
111	65091
112	65092
113	65093
114	65094
115	65095
116	65096
117	65097
118	65098
119	65099
120	65100
121	65101
122	65102
123	65103
124	65104
125	65105
126	65106
127	65107
128	65108
129	65109
130	65110
131	65111
132	65113
133	65114
134	65115
135	65116
136	65117
137	65118
138	65119
139	65120
140	65121
141	65123
142	65124
143	65125
144	65127
145	65128
146	65129
147	65130
148	65131
149	65132
150	65133
151	65134
152	65135
153	65136
154	65137
155	65138
156	65139
157	65140
158	65141
159	65142
160	65143
161	65144
162	65145
163	65146
164	65147
165	65148
166	65149
167	65150
168	65151
169	65152
170	65153
171	65154
172	65155
173	65156
174	65157
175	65158
176	65159
177	65160
178	65161
179	65162
180	65163
181	65164
182	65165
183	65166
184	65167
185	65168
186	65169
187	65170
188	65171
189	65172
190	65173
191	65174
192	65175
193	65176
194	65177
195	65178
196	65179
197	65180
198	65181
199	65182
200	65183
201	65184
202	65185
203	65186
204	65187
205	65189
206	65190
207	65191
208	65192
209	65193
210	65194
211	65195
212	65196
213	65197
214	65198
215	65199
216	65200
217	65201
218	65202
219	65203
220	65204
221	65205
222	65206
223	65207
224	65208
225	65209
226	65210
227	65211
