ClassID	Group	OptType	OptValue	OptionGroup
1	1	49101	5	WepCosOH
2	1	49102	5	WepCosOH
3	2	49001	2	WepCosOH
4	2	49002	2	WepCosOH
5	2	49003	2	WepCosOH
6	2	49004	2	WepCosOH
7	2	49005	2	WepCosOH
8	2	49006	2	WepCosOH
9	1	49106	5	WepCosTH
10	1	49107	5	WepCosTH
11	2	49007	2	WepCosTH
12	2	49008	2	WepCosTH
13	2	49009	2	WepCosTH
14	2	49010	2	WepCosTH
15	2	49011	2	WepCosTH
16	2	49012	2	WepCosTH
17	1	49111	3000	WepCosETC
18	2	49013	2	WepCosETC
19	2	49014	2	WepCosETC
20	2	49015	2	WepCosETC
21	2	49016	2	WepCosETC
22	2	49017	2	WepCosETC
23	2	49018	2	WepCosETC
