BlessItemID	BlessScp	ClassID	ClassName	Desc	DescFont	EquipBless	Value
40206	SCR_ITEM_BLESS_IncAR	1	Bless_ArmWep_AR	<$>193155</>	water_blue_14_ol	RH	1
40207	SCR_ITEM_BLESS_IncATK	2	Bless_ArmWep_ATK	<$>193156</>	water_blue_14_ol	RH	10
40208	SCR_ITEM_BLESS_IncFireATK	3	Bless_ArmWep_FireATK	<$>193157</>	water_blue_14_ol	RH	30
40209	SCR_ITEM_BLESS_IncIceATK	4	Bless_ArmWep_IceATK	<$>193158</>	water_blue_14_ol	RH	30
40210	SCR_ITEM_BLESS_IncLghtATK	5	Bless_ArmWep_LghtATK	<$>193159</>	water_blue_14_ol	RH	30
40211	SCR_ITEM_BLESS_IncPsyATK	6	Bless_ArmWep_PsyATK	<$>193160</>	water_blue_14_ol	RH	30
40212	SCR_ITEM_BLESS_IncIP	7	Bless_ArmWep_IP	<$>193161</>	water_blue_14_ol	RH	5
40213	SCR_ITEM_BLESS_IncDefIP	8	Bless_ArmWep_DefIP	<$>193162</>	water_blue_14_ol	RH	5
40214	SCR_ITEM_BLESS_IncFireIP	9	Bless_ArmWep_FireIP	<$>193163</>	water_blue_14_ol	RH	5
40215	SCR_ITEM_BLESS_IncIceIP	10	Bless_ArmWep_IceIP	<$>193164</>	water_blue_14_ol	RH	5
40216	SCR_ITEM_BLESS_IncLgtIP	11	Bless_ArmWep_LgtIP	<$>193165</>	water_blue_14_ol	RH	5
40217	SCR_ITEM_BLESS_IncPsyIP	12	Bless_ArmWep_PsyIP	<$>193166</>	water_blue_14_ol	RH	5
40218	SCR_ITEM_BLESS_IncCRT	13	Bless_ArmWep_CRT	<$>193167</>	water_blue_14_ol	RH	10
40219	SCR_ITEM_BLESS_IncASPD	14	Bless_ArmWep_ASPD	<$>193168</>	water_blue_14_ol	RH	10
40220	SCR_ITEM_BLESS_IncHR	15	Bless_ArmWep_HR	<$>193169</>	water_blue_14_ol	RH	10
40221	SCR_ITEM_BLESS_IncSTR	16	Bless_ArmWep_STR	<$>193170</>	water_blue_14_ol	RH	5
40222	SCR_ITEM_BLESS_IncAGI	17	Bless_ArmWep_AGI	<$>193171</>	water_blue_14_ol	RH	5
40223	SCR_ITEM_BLESS_IncCON	18	Bless_ArmWep_CON	<$>193172</>	water_blue_14_ol	RH	5
40224	SCR_ITEM_BLESS_IncDEX	19	Bless_ArmWep_DEX	<$>193173</>	water_blue_14_ol	RH	5
40225	SCR_ITEM_BLESS_IncINT	20	Bless_ArmWep_INT	<$>193174</>	water_blue_14_ol	RH	5
40226	SCR_ITEM_BLESS_IncCHA	21	Bless_ArmWep_CHA	<$>193175</>	water_blue_14_ol	RH	5
40227	SCR_ITEM_BLESS_IncDR	22	Bless_ArmWep_DR	<$>140553</>	water_blue_14_ol	BODY	1
40228	SCR_ITEM_BLESS_IncDEF	23	Bless_ArmWep_DEF	<$>193176</>	water_blue_14_ol	BODY	10
40229	SCR_ITEM_BLESS_IncRMEELE	24	Bless_ArmWep_RMEELE	<$>193177</>	water_blue_14_ol	BODY	10
40230	SCR_ITEM_BLESS_IncRSHOOT	25	Bless_ArmWep_RSHOOT	<$>193178</>	water_blue_14_ol	BODY	10
40231	SCR_ITEM_BLESS_IncRMAGIC	26	Bless_ArmWep_RMAGIC	<$>193179</>	water_blue_14_ol	BODY	10
40232	SCR_ITEM_BLESS_IncRALL	27	Bless_ArmWep_RALL	<$>193180</>	water_blue_14_ol	BODY	5
40233	SCR_ITEM_BLESS_IncIMP	28	Bless_ArmWep_IMP	<$>193181</>	water_blue_14_ol	BODY	5
40234	SCR_ITEM_BLESS_IncPR	29	Bless_ArmWep_PR	<$>193182</>	water_blue_14_ol	BODY	5
40235	SCR_ITEM_BLESS_IncBLK	30	Bless_ArmWep_BLK	<$>193183</>	water_blue_14_ol	BODY	5
40236	SCR_ITEM_BLESS_IncMSPD	31	Bless_ArmWep_MSPD	<$>193184</>	water_blue_14_ol	BODY	10
40237	SCR_ITEM_BLESS_IncMHP	32	Bless_ArmWep_MHP	<$>193185</>	water_blue_14_ol	BODY	15
160090	SCR_ITEM_BLESS_IncAR	33	Bless_AbyssWep_AR	<$>193186</>	water_blue_14_ol	RH	1
