CancelGiveItem1	CancelGiveItem2	CancelGiveItem3	CancelGiveItemValue1	CancelGiveItemValue2	CancelGiveItemValue3	CancelGiveVisValue	CancelProperty1	CancelProperty2	CancelProperty3	CancelProperty4	CancelProperty5	CancelTakeItem1	CancelTakeItem2	CancelTakeItem3	CancelTakeItemValue1	CancelTakeItemValue2	CancelTakeItemValue3	CancelTakeVisValue	CancelValue1	CancelValue2	CancelValue3	CancelValue4	CancelValue5	ClassID	ClassName	WaitScript	WaitScriptImage
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	1	Nquest_00001_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	2	Nquest_00002_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	3	Nquest_00003_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	4	Nquest_00004_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	6	Nquest_00006_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	7	Nquest_00007_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	8	Nquest_00008_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	9	Nquest_00009_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	10	Nquest_00010_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	11	Nquest_00011_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	14	Nquest_00014_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	15	Nquest_00015_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	16	Nquest_00016_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	17	Nquest_00017_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	18	Nquest_00018_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	19	Nquest_00019_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	20	Nquest_00020_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	21	Nquest_00021_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	22	Nquest_00022_wait	<$>52570</>	None
None	None	None	0	0	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	0	0	0	0	23	Nquest_00023_wait	<$>52570</>	None
