AR	ASPD	ASPD_Opt	ATK	AddATK	AddATK_Opt	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BLK_Opt	BaseATK	BaseDEF	BeastBane	BlessType	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	CRT_Opt	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefIP_Opt	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireATK_Opt	FireIP	FireIP_Opt	GolemBane	GroupName	HPDrain	HPDrain_Opt	HR	HR_Opt	HumanBane	IMP	IMP_Opt	IceATK	IceATK_Opt	IceIP	IceIP_Opt	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncLegend	IncMHP	IncMHP_Opt	IncMSP	IncMSP_Opt	IncSTR	InfoView	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LghtATK_Opt	LghtIP_Opt	LgtIP	LogoutSave	MHP	MHP_Opt	MKP	MSP	MSPD	MSPD_Opt	MSP_Opt	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	MonDef	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PCDef	PR	PR_Opt	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyATK_Opt	PsyIP	PsyIP_Opt	RFIRE	RFIRE_Opt	RHP	RHP_Opt	RICE	RICE_Opt	RLGHT	RLGHT_Opt	RPSY	RPSY_Opt	RSP	RSTAT	RSTAT_Opt	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	ReinProtectLv	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	SetItemGroup	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	12	0	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_None	<$>13438</>	14000	NoArmor	None	NO	0	FALSE	1	0	0	RH	0	None	0	0	0	0	None	None	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	NoArmor	SH	None	None	0	0	FALSE	it_m_noarmor	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	None	<$>13438</>	SYS_item_column_red	0	<$>13438</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	14000	1	None	0	0	0	Armor	None	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	28	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	14001	QueensLeatherTunic	Leather	NO	28	FALSE	1	0	0	BODY	0	<$>31455</>	0	70	-10	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Queen's Leather tunic	BODY	equip_leather.ogg	None	2147483647	0	FALSE	it_m_leathertunic	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>31454</>	SYS_item_column_red	0	<$>31453</>	MEDIUM	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	0	NO	1	None	30	0	0	0	0	0	6	0	0	0	6	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>163026</>	1	14001	1.1	None	7	0	0	Armor	<$>31457</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	24	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Coat	<$>29667</>	14002	QueensCoat	Coat	NO	24	FALSE	1	0	0	BODY	0	<$>31459</>	0	70	-10	0	None	NormEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Queen's Coat	BODY	equip_coat.ogg	None	2147483647	0	FALSE	it_m_coat	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	it_m_magicianrobe	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>29667</>	SYS_item_column_red	0	<$>31458</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	CLOTHE	0	0	0	NO	1	None	40	0	0	0	0	0	6	0	0	0	6	0	6	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>163026</>	1	14002	1.1	None	11	0	0	Armor	<$>31461</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	32	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Metal	<$>29669</>	14003	IdgePrototype	Metal	NO	51	FALSE	1	0	0	BODY	0	<$>31463</>	0	70	-10	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	16	Idge's prototype	BODY	equip_chainmail.ogg	None	2147483647	0	FALSE	it_m_chainmail	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>29669</>	SYS_item_column_red	0	<$>31462</>	HARD	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	0	NO	1	None	300	0	0	0	0	0	6	0	0	0	6	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>163027</>	1	14003	1.1	None	83	0	0	Armor	<$>31465</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	16	TRUE	4	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	32	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Metal	<$>29669</>	14004	IdgeSecondType	Metal	NO	76	FALSE	1	0	0	BODY	0	<$>31467</>	0	70	-10	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	32	Idge's secondtype	BODY	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_chainmail	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>29669</>	SYS_item_column_red	0	<$>31466</>	HARD	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	0	NO	1	None	2400	0	0	0	0	0	12	0	0	0	12	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>163028</>	1	14004	1.1	None	660	0	0	Armor	<$>31469</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	32	TRUE	8	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	32	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Metal	<$>29669</>	14005	IdgeThirdType	Metal	NO	108	FALSE	1	0	0	BODY	0	<$>31471</>	0	70	-10	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	52	Idge's thirdtype	BODY	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_chainmail	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>29669</>	SYS_item_column_red	0	<$>31470</>	HARD	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	0	NO	1	None	24000	0	0	0	0	0	18	0	0	0	18	0	18	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>163029</>	1	14005	1.1	None	6600	0	0	Armor	<$>31473</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	52	TRUE	13	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	32	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Metal	<$>29669</>	14006	PirateArmor	Metal	NO	76	FALSE	1	0	0	BODY	0	<$>31475</>	0	70	-10	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	32	Pirates' armor	BODY	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_chainmail	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>29669</>	SYS_item_column_red	0	<$>31474</>	HARD	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	0	NO	1	None	2400	0	0	0	0	0	12	0	0	0	12	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>163028</>	1	14006	1.1	None	660	0	0	Armor	<$>31469</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	32	TRUE	8	None	0	0	0
0	4	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	28	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	14007	FanaticSuit	Leather	NO	112	FALSE	1	0	0	BODY	0	<$>31477</>	0	70	-10	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	64	Fanatic suit	BODY	equip_clothe.ogg	None	2147483647	0	FALSE	it_m_fanatic	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>31454</>	SYS_item_column_red	0	<$>31476</>	MEDIUM	0	1000	0	0	0	0	No	3	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	0	NO	1	None	50000	0	0	0	0	0	24	0	0	0	24	0	24	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>163030</>	1	14007	1.1	None	13750	0	0	Armor	<$>31479</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	64	TRUE	16	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	24	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Robe	<$>29668</>	14008	DilosRobe	Robe	NO	91	FALSE	1	0	0	BODY	0	<$>31481</>	0	70	-10	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	60	Robe of White	BODY	equip_coat.ogg	None	2147483647	0	FALSE	it_m_dilosrobe	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>29668</>	SYS_item_column_red	0	<$>31480</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	CLOTHE	0	0	0	NO	1	None	50000	0	0	0	0	0	39	0	0	0	39	0	39	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>163031</>	1	14008	1.1	None	13750	0	0	Armor	<$>31483</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	60	TRUE	15	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	28	0	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	14009	Bearsuit	Leather	NO	78	FALSE	1	0	0	BODY	0	<$>31484</>	0	70	-10	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	40	Bearsuit	BODY	equip_coat.ogg	None	2147483647	0	FALSE	it_m_bearsuit	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>31454</>	SYS_item_column_red	0	<$>28848</>	MEDIUM	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	0	NO	1	None	10	0	0	0	0	0	18	0	0	0	18	0	18	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>163032</>	1	14009	1.1	None	2	0	0	Armor	<$>31486</>	_NO	None	TRUE	0	Bearsuit	TRUE	Female	TRUE	TRUE	40	TRUE	10	None	0	0	0
