AR	ASPD	ATK	AddATK	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireIP	GolemBane	GroupName	HPDrain	HR	HumanBane	IMP	IceATK	IceIP	ImgName	IncAGI	IncCHA	IncCHA_Opt	IncCON	IncDEX	IncDEX_Opt	IncINT	IncINT_Opt	IncMHP	IncMHP_Opt	IncMSP	IncMSP_Opt	IncSTR	IncSTR_Opt	InfoView	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LgtIP	LogoutSave	MHP	MHP_Opt	MKP	MSAtk	MSP	MSPD	MSP_Opt	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PR	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyIP	RFIRE	RHP	RICE	RLGHT	RPSY	RSP	RSTAT	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	12	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_None	<$>27185</>	16000	NoRing	None	NO	0	FALSE	1	0	RING	0	None	0	0	0	0	None	None	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	NoRing	RING	None	None	2147483647	0	FALSE	None	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	<$>13438</>	SYS_item_column_red	0	<$>13438</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	16000	1	None	0	0	None	None	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	R 1001	1	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Ring	<$>27185</>	16001	Ring_Provoke_1	Ring	NO	0	FALSE	1	0	RING	0	<$>41382</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	48	Provoke +1	RING	None	None	2147483647	0	FALSE	it_a_ring1	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	<$>27185</>	SYS_item_column_red	12	<$>41381</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	RING	0	NO	1	None	4320	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>141065</>	1	16001	1	None	1320	0	None	<$>177792</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	48	TRUE	12	None	0	0	0
0	0	0	0	R 1002	1	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Ring	<$>27185</>	16002	Ring_Reflection_1	Ring	NO	0	FALSE	1	0	RING	0	<$>86867</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	48	Coruscation +1	RING	None	None	2147483647	0	FALSE	it_a_ring1	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	<$>27185</>	SYS_item_column_red	12	<$>86866</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	RING	0	NO	1	None	4320	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>141065</>	1	16002	1	None	1320	0	None	<$>177793</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	48	TRUE	12	None	0	0	0
0	0	0	0	R 1003	1	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Ring	<$>27185</>	16003	Ring_HealingAuto_1	Ring	NO	0	FALSE	1	0	RING	0	<$>41389</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	48	Healing +1	RING	None	None	2147483647	0	FALSE	it_a_ring1	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	<$>27185</>	SYS_item_column_red	12	<$>41388</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	RING	0	NO	1	None	4320	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>141065</>	1	16003	1	None	1320	0	None	<$>177794</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	48	TRUE	12	None	0	0	0
0	0	0	0	R 1004	1	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Ring	<$>27185</>	16004	Ring_Concentrate_1	Ring	NO	0	FALSE	1	0	RING	0	<$>41392</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	48	Concentrate +1	RING	None	None	2147483647	0	FALSE	it_a_ring1	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	<$>27185</>	SYS_item_column_red	12	<$>41391</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	RING	0	NO	1	None	4320	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>141065</>	1	16004	1	None	1320	0	None	<$>177795</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	48	TRUE	12	None	0	0	0
0	0	0	0	R 1005	1	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Ring	<$>27185</>	16005	Ring_ManaActivation_1	Ring	NO	0	FALSE	1	0	RING	0	<$>41395</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	48	Elemental penetration +1	RING	None	None	2147483647	0	FALSE	it_a_ring1	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	<$>27185</>	SYS_item_column_red	12	<$>41394</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	RING	0	NO	1	None	4320	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>141065</>	1	16005	1	None	1320	0	None	<$>177796</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	48	TRUE	12	None	0	0	0
0	0	0	0	R 10032	1	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Ring	<$>27185</>	16006	Ring_TornadoVortex_1	Ring	NO	0	FALSE	1	0	RING	0	<$>41398</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	48	Tornado vortex +1	RING	None	None	2147483647	0	FALSE	it_a_ring1	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	<$>27185</>	SYS_item_column_red	12	<$>41397</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	RING	0	NO	1	None	4320	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>141065</>	1	16006	1	None	1320	0	None	<$>177797</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	48	TRUE	12	None	0	0	0
0	0	0	0	R 10034	1	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Ring	<$>27185</>	16007	Ring_DragonKick_1	Ring	NO	0	FALSE	1	0	RING	0	<$>41401</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	56	Dragon kick +1	RING	None	None	2147483647	0	FALSE	it_a_ring1	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	<$>27185</>	SYS_item_column_red	14	<$>41400</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	RING	0	NO	1	None	5040	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>141066</>	1	16007	1	None	1540	0	None	<$>177797</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	56	TRUE	14	None	0	0	0
0	0	0	0	R 10035	1	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Ring	<$>27185</>	16008	Ring_AtomicCrazyRush_1	Ring	NO	0	FALSE	1	0	RING	0	<$>41404</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	60	Atomic Crazy-rush +1	RING	None	None	2147483647	0	FALSE	it_a_ring1	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	<$>27185</>	SYS_item_column_red	15	<$>41403</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	RING	0	NO	1	None	5400	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>141067</>	1	16008	1	None	1650	0	None	<$>177797</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	60	TRUE	15	None	0	0	0
0	0	0	0	R 10111	1	R 10391	1	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Acc	<$>34864</>	Acc_Ring	<$>27185</>	16009	Ring_DeepStraight_1	Ring	NO	0	FALSE	1	0	RING	0	<$>41407</>	0	0	0	0	None	Acc	None	drop_bracelet.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Deep-straight +1	RING	None	None	2147483647	0	FALSE	it_a_ring1	0	0	0	Ring	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	<$>27185</>	SYS_item_column_red	1	<$>41406</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	RING	0	NO	1	None	360	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140798</>	1	16009	1	None	110	0	None	<$>177798</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	0
