AGI	CHA	CON	ClassID	ClassName	DEX	INTE	Item00	Item01	Item02	Item03	Item04	Item05	Item06	Item07	Item08	Item09	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Name	STR	StanceName
0	0	0	1	Format	0	0	HEAD	BODY	FACE	NECK	LHAND	RHAND	RING1	RING2	GLOVE	BOOTS	BACK	COSTUME	EAR	BELT	SHOULDER	ACHIEVE	LCOS	RCOS	ARTIFACT	JobName	0	StanceName
0	0	0	2	R1_J02	0	30	None	LB_Wizard	Glass_WZD	None	None	Rod_30	None	None	Glove_All	Shoes_All	RoseWing	None	None	None	None	None	None	None	None	Wizard	0	Telekinesis
0	0	30	3	R1_J03	0	0	None	LB_Scout	Glass_SCT	None	None	Rosario_30	None	None	Glove_Leather	Shoes_Leather	RoseWing	None	None	None	None	None	None	None	None	Scout	0	EnhancedTactics
0	0	0	4	R1_J04	30	0	None	LB_Muskeet	Glass_MSK	None	Pistol_30	Pistol_30	None	None	Glove_Leather	Shoes_Leather	RoseWing	None	None	None	None	None	None	None	None	Musketeer	0	UnlimitedShot
0	0	0	5	R1_J05	0	30	None	LB_Warlock	Glass_WLK	None	FireBrc_30	ElemBrc_30	None	None	Glove_All	Shoes_All	RoseWing	None	None	None	None	None	None	None	None	Warlock	0	MagicofOccultism
0	0	30	6	R1_J20	0	0	None	LB_Wizard	None	None	None	Staff_30	None	None	Glove_All	Shoes_All	RoseWing	None	None	None	None	None	None	None	None	MBoma	0	ThePowerofDarkness
0	0	0	7	R1_J33	30	0	None	SB_Fighter	None	None	None	Rifle_30	None	None	Glove_Leather	Shoes_Leather	RoseWing	None	None	None	None	None	None	None	None	Romina	0	FlintlockR
0	0	0	8	R1_J59	0	0	None	SB_Fighter	None	None	None	Crescent_30	None	None	Glove_Leather	Shoes_Leather	RoseWing	None	None	None	None	None	None	None	None	Nar	30	Semilunar
0	0	0	9	R1_J63	0	30	None	LB_Wizard	None	None	None	Staff_30	None	None	Glove_All	Shoes_All	RoseWing	None	None	None	None	None	None	None	None	EmiliaLunatic	0	Madness
0	0	0	10	R1_J64	0	0	None	SB_Fighter	None	None	None	THSword_30	None	None	Glove_Leather	Shoes_Leather	RoseWing	None	None	None	None	None	None	None	None	Asoka	30	MoonGuard
0	0	0	11	R1_J65	0	0	None	LB_Fighter	None	None	Dagger_30	Dagger_30	None	None	Glove_Leather	Shoes_Leather	RoseWing	None	None	None	None	None	None	None	None	CatherineTorsche	30	DeathChopping
0	0	0	12	R1_J24	0	30	None	LB_Wizard	None	None	None	Rod_30	None	None	Glove_All	Shoes_All	RoseWing	None	None	None	None	None	None	None	None	Emilia	0	ThePowerofDarkness
0	0	0	13	R1_J26	30	0	None	LB_Muskeet	None	None	None	Shotgun_30	None	None	Glove_Leather	Shoes_Leather	RoseWing	None	None	None	None	None	None	None	None	Lorch	0	DuelBlaster
0	0	0	14	R1_J32	0	0	None	SB_Fighter	None	None	None	THSword_30	None	None	Glove_Leather	Shoes_Leather	RoseWing	None	None	None	None	None	None	None	None	Grandma	30	HangingGuard
