ClassID	ClassName	ImgName	Name
1	human_red	quickequip_icon_human_r.bmp	<$>178784</>
2	human_yellow	quickequip_icon_human_y.bmp	<$>178785</>
3	human_blue	quickequip_icon_human_b.bmp	<$>178786</>
4	creature_red	quickequip_icon_creature_r.bmp	<$>178787</>
5	creature_yellow	quickequip_icon_creature_y.bmp	<$>178788</>
6	creature_blue	quickequip_icon_creature_b.bmp	<$>178789</>
7	undead_red	quickequip_icon_undead_r.bmp	<$>178790</>
8	undead_yellow	quickequip_icon_undead_y.bmp	<$>178791</>
9	undead_blue	quickequip_icon_undead_b.bmp	<$>178792</>
10	demon_red	quickequip_icon_demon_r.bmp	<$>178793</>
11	demon_yellow	quickequip_icon_demon_y.bmp	<$>178794</>
12	demon_blue	quickequip_icon_demon_b.bmp	<$>178795</>
13	golem_red	quickequip_icon_golem_r.bmp	<$>178796</>
14	golem_yellow	quickequip_icon_golem_y.bmp	<$>178797</>
15	golem_blue	quickequip_icon_golem_b.bmp	<$>178798</>
16	ring_red	quickequip_icon_ring_r.bmp	<$>178799</>
17	ring_yellow	quickequip_icon_ring_y.bmp	<$>178800</>
18	ring_blue	quickequip_icon_ring_b.bmp	<$>178801</>
19	ring_green	quickequip_icon_ring_g.bmp	<$>178802</>
20	ring_white	quickequip_icon_ring_w.bmp	<$>178803</>
