ClassID	ClassName	CommPoint	EGiveVisValue	ETakeVisValue	EndExMail1	EndExMail2	EndExMailValue1	EndExMailValue2	EndImage1	EndImage2	EndImage3	EndProperty1	EndProperty2	EndProperty3	EndProperty4	EndProperty5	EndPropertyValue1	EndPropertyValue2	EndPropertyValue3	EndPropertyValue4	EndPropertyValue5	EndScript1	EndScript2	EndScript3	GiveRItem1	GiveRItem2	GiveRItem3	GiveRItemValue1	GiveRItemValue2	GiveRItemValue3	LastScript	LastScriptImage	TakeQItem1	TakeQItem2	TakeQItem3	TakeQItemValue1	TakeQItemValue2	TakeQItemValue3
1	Nquest_00001_quit	7	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_10_e	PioneerSymbolLv2	None	1	1	0	<$>52096</>	None	None	None	None	0	0	0
2	Nquest_00002_quit	7	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_10_e	PioneerSymbolLv2	None	1	1	0	<$>52096</>	None	None	None	None	0	0	0
3	Nquest_00003_quit	8	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_20_a	PioneerSymbolLv2	None	1	1	0	<$>52096</>	None	None	None	None	0	0	0
4	Nquest_00004_quit	8	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_20_a	PioneerSymbolLv2	None	1	1	0	<$>52096</>	None	None	None	None	0	0	0
6	Nquest_00006_quit	8	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_20_a	PioneerSymbolLv2	None	1	1	0	<$>52096</>	None	None	None	None	0	0	0
7	Nquest_00007_quit	8	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_20_b	PioneerSymbolLv2	None	1	1	0	<$>52096</>	None	None	None	None	0	0	0
8	Nquest_00008_quit	8	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_20_b	PioneerSymbolLv2	None	1	1	0	<$>52096</>	None	None	None	None	0	0	0
9	Nquest_00009_quit	9	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_30_b	None	None	1	0	0	<$>52096</>	None	None	None	None	0	0	0
10	Nquest_00010_quit	9	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_30_b	None	None	1	0	0	<$>52096</>	None	None	None	None	0	0	0
11	Nquest_00011_quit	9	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_30_b	None	None	1	0	0	<$>52096</>	None	None	None	None	0	0	0
14	Nquest_00014_quit	10	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_40_c	None	None	1	0	0	<$>52096</>	None	None	None	None	0	0	0
15	Nquest_00015_quit	10	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_40_c	None	None	1	0	0	<$>52096</>	None	None	None	None	0	0	0
16	Nquest_00016_quit	10	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_40_c	None	None	1	0	0	<$>52096</>	None	None	None	None	0	0	0
