ClassID	ClassName
1	%.
2	%c
3	%C
4	%d
5	%F
6	%h
7	%H
8	%m
9	%M
10	%s
11	%S
12	%t
13	%T
14	%x
15	%X
16	.com
17	.COM
18	.Com
19	@sspeluning
20	@sspelunker
21	@ssspelunker
22	\'
23	\*
24	\\
25	\a
26	\b
27	\f
28	\n
29	\N
30	\t
31	\v
32	abschaum
33	<$>88390</>
34	admin
35	adult
36	advertise
37	affenarsch
38	arschbacke
39	arschgesicht
40	arschkrampe
41	arschloch
42	arsehole
43	ass
44	asshole
45	asspelunker
46	ASSPELUNKING
47	assspelunker
48	assspelunking
49	AWOODONG
50	b@st@rd
51	b@stard
52	b1tch
53	bacastv
54	baise toi
55	baiser
56	baktong
57	bastard
58	bayot
59	bbagoori
60	Bbagury
61	bdsm
62	Bicha
63	bichoca
64	Bichola
65	binya
66	bitch
67	bitcheater
68	Biyatch
69	Bleeder
70	bogee
71	bogi
72	bogy
73	bojee
74	boji
75	bojy
76	Bollox
77	bozee
78	bozi
79	BOZY
80	brasa
81	Buceta
82	Bugger
83	Bulbol
84	Bulmory
85	bum
86	Burnik
87	butthole
88	Bwiset
89	c0ck
90	Casino
91	catrana
92	ceceta
93	chinin
94	chochota
95	chuj
96	Chulo
97	cipa
98	Cocksucker
99	com
100	Conard
101	Conyo
102	crevure
103	csr
104	csr-
105	cum
106	Cunt
107	cvm
108	d@mn
109	damn
110	Deal
111	debt
112	Dick
113	Dion
114	Dionysos
115	dupa
116	Dupek
117	dziwka
118	Endsieg
119	enfoir_
120	EROTIC
121	espada
122	fehlgeburt
123	Fetish
124	fick
125	fickdich
126	Ficker
127	fickfresse
128	Fils M De Pute
129	fiut
130	Flachwichser
131	fotze
132	Fuc
133	fuck
134	Fucker
135	fucking
136	Fuckor
137	fuckyou
138	Fvck
139	G0G0Er
140	G0GOER
141	g1
142	g1-
143	gago
144	game establisher
145	game master
146	game operator
147	game planner
148	game supporter
149	gameguider
150	gameim
151	Gamemanager
152	gamemaster
153	gamumugam
154	Gangbang
155	gangbangopfer
156	GANGBANGOPFER
157	Gangbangopfer
158	gangbangstute
159	ge supporters
160	gm
161	gm-
162	gmmaster
163	gog0er
164	GOG0ER
165	gogoer
166	granado
167	gratis
168	Grogrota
169	haduri
170	han-
171	Hanbit
172	hanbitsoft
173	hanbitsoft ceo
174	Havematerial
175	hb-
176	Hell
177	hentai
178	Hindot
179	Hkkim
180	hure
181	Hurensohn
182	idiot
183	itkak
184	Itpusi
185	Jaja
186	Jakol
187	jamji
188	Jasal
189	jawe
190	Jawi
191	jazi
192	Jazy
193	jerk
194	JIDDE
195	Jot
196	jude
197	Kantot
198	kepias
199	Kimhk
200	kissmyass
201	Kukurikapoo
202	kurewka
203	Kurwa
204	kutas
205	KUTAS
206	Kutas
207	l_che mon cul
208	Lesba
209	letche
210	Lintik
211	lorita
212	Lottery
213	Master
214	mineta
215	Minigold
216	moron
217	Motherfucker
218	muffdiver
219	Mutterficker
220	naked
221	neolith
222	Nigger
223	NIGIMI
224	Note
225	nsdap
226	Nutte
227	oral
228	Orgasms
229	paker
230	Pakshet
231	palant
232	Pedal
233	penis
234	Penner
235	petish
236	Pierdolec
237	pisot
238	Pizda
239	pojeb
240	pondo
241	Ponsec
242	porn
243	PORNER
244	Porno
245	prick
246	Puke
247	punyeta
248	pussy
249	puta
250	Putain
251	putangina
252	qa
253	qa-
254	ramrod
255	Retardado
256	rnts
257	rnts appstore
258	Rnts Games
259	rnts market
260	Rnts Media Deutschland Gmbh
261	rnts mobile
262	Rntsappstore
263	Rntsgames
264	rntsmarket
265	Rntsmedia 
266	rntsmobile
267	Salaud
268	salope
269	Salsal
270	schlampe
271	Sex
272	sh!t
273	sh|t
274	Shit
275	sieg heil
276	Siutty
277	slut
278	Souillon
279	spacken
280	Ss
281	Zajiral
282	strip
283	sucks
284	SUCKS
285	Tangina
286	tarantado
287	Tarugo
288	trou du cul
289	Ulol
290	vergasen
291	Virjin
292	vollpfosten 
293	vulva
294	w0wg0ld
295	Wanker
296	whore
297	Wichser
298	wixxer
299	wowgold
300	Www
301	www.
302	Yaksa
303	yawa
304	Zaji
305	Zazi
