ClassID	ClassType	Direction	PosX	PosY	PosZ	Script
1	Mission_Box_E	0	3632	-1993	1949	GIG_MINI_TREASURE_BOX_01
2	Mission_Box_E	31	-19994	-4283	96	GIG_MINI_TREASURE_BOX_02
3	Mission_Box_E	16	-20900	2055	127	GIG_MINI_TREASURE_BOX_03
4	Mission_Box_E	314	-16938	4885	7	GIG_MINI_TREASURE_BOX_04
5	Mission_Box_E	346	-16250	-4183	93	GIG_MINI_TREASURE_BOX_05
6	Mission_Box_E	185	-9666	-2961	168	GIG_MINI_TREASURE_BOX_06
7	Mission_Box_E	187	-7280	-1768	1679	GIG_MINI_TREASURE_BOX_07
8	Mission_Box_E	98	-7005	3514	1684	GIG_MINI_TREASURE_BOX_08
9	Mission_Box_E	0	-3021	-4981	1956	GIG_MINI_TREASURE_BOX_09
10	Mission_Box_E	73	5470	2510	1703	GIG_MINI_TREASURE_BOX_10
11	Mission_Box_E	77	6522	2589	1953	GIG_MINI_TREASURE_BOX_01
12	Mission_Box_E	0	-5811	-1085	1944	GIG_MINI_TREASURE_BOX_02
13	Mission_Box_E	0	-10959	-324	168	GIG_MINI_TREASURE_BOX_03
14	Mission_Box_E	248	-25767	6477	42	GIG_MINI_TREASURE_BOX_04
15	Mission_Box_E	0	4041	6636	820	GIG_MINI_TREASURE_BOX_05
16	Mission_Box_E	0	5598	-354	1949	GIG_MINI_TREASURE_BOX_06
17	Mission_Box_E	0	1467	-4351	1949	GIG_MINI_TREASURE_BOX_07
18	Mission_Box_E	0	881	-105	1516	GIG_MINI_TREASURE_BOX_08
19	Mission_Box_E	0	-789	9745	50	GIG_MINI_TREASURE_BOX_09
20	Mission_Box_E	0	3795	12439	50	GIG_MINI_TREASURE_BOX_10
21	Mission_Box_E	0	-4386	-4548	1949	GIG_MINI_TREASURE_BOX_01
22	Mission_Box_E	0	3788	11450	51	GIG_MINI_TREASURE_BOX_02
23	Mission_Box_E	0	2045	10378	49	GIG_MINI_TREASURE_BOX_03
24	Mission_Box_E	0	4540	6640	823	GIG_MINI_TREASURE_BOX_04
25	Mission_Box_E	0	4785	-5424	1949	GIG_MINI_TREASURE_BOX_05
26	Mission_Box_E	0	-17355	4926	57	GIG_MINI_TREASURE_BOX_06
27	Mission_Box_E	0	-8178	2683	917	GIG_MINI_TREASURE_BOX_07
28	Mission_Box_E	0	-5021	4381	1683	GIG_MINI_TREASURE_BOX_08
29	Mission_Box_E	0	-4952	1246	1682	GIG_MINI_TREASURE_BOX_09
30	Mission_Box_E	0	-5790	-1818	1949	GIG_MINI_TREASURE_BOX_10
31	Mission_Box_E	0	8492	4676	1703	GIG_MINI_TREASURE_BOX_01
32	Mission_Box_E	0	5423	1566	1951	GIG_MINI_TREASURE_BOX_02
33	Mission_Box_E	0	-4210	-3796	1949	GIG_MINI_TREASURE_BOX_03
34	Mission_Box_E	0	7389	8032	786	GIG_MINI_TREASURE_BOX_04
35	Mission_Box_E	0	2065	9492	50	GIG_MINI_TREASURE_BOX_05
36	Mission_Box_E	0	-20823	-4675	3	GIG_MINI_TREASURE_BOX_06
37	Mission_Box_E	0	-23729	4300	93	GIG_MINI_TREASURE_BOX_07
38	Mission_Box_E	0	-9481	-2438	168	GIG_MINI_TREASURE_BOX_08
39	Mission_Box_E	0	-9549	3147	917	GIG_MINI_TREASURE_BOX_09
40	Mission_Box_E	0	-16450	-5005	45	GIG_MINI_TREASURE_BOX_10
