ClassID	ClassName	ImgName
1	red	protect_item_icon_red.bmp
2	orange	protect_item_icon_orange.bmp
3	yellow	protect_item_icon_yellow.bmp
4	lime	protect_item_icon_lime.bmp
5	green	protect_item_icon_green.bmp
6	sky	protect_item_icon_sky.bmp
7	blue	protect_item_icon_blue.bmp
8	purple	protect_item_icon_purple.bmp
9	white	protect_item_icon_white.bmp
10	human	protect_item_icon_human.bmp
11	demon	protect_item_icon_demon.bmp
12	undead	protect_item_icon_undead.bmp
13	golem	protect_item_icon_golem.bmp
14	creature	protect_item_icon_creature.bmp
15	metal	protect_item_icon_metal.bmp
16	leather	protect_item_icon_leather.bmp
17	robe	protect_item_icon_robe.bmp
