ClassID	ClassName	Cumulative	Desc	DescFont	Grade	Legendue	MaxLegendue	MaxValue	MinLegendue	MinValue	Rarity	ReqGroupName	Script	Sound	SoundGrade	UseCashItem	Value
101	Option_IncATK	TRUE	<$>31072</>	water_blue_14_ol	0	0	0	40	0	10	0	None	Option_IncATK	None	1	FALSE	0
102	Option_IncASPD	TRUE	<$>31073</>	water_blue_14_ol	0	0	0	30	0	10	0	None	Option_IncASPD	None	1	FALSE	0
103	Option_IncKDR	TRUE	<$>31074</>	water_blue_14_ol	0	0	0	2	0	2	0	None	Option_IncKDRank	None	1	FALSE	0
104	Option_IncCRT	TRUE	<$>31075</>	water_blue_14_ol	0	0	0	10	0	1	0	None	Option_IncCRT	None	1	FALSE	0
105	Option_IncPosnATK	TRUE	<$>31076</>	water_blue_14_ol	0	0	0	10	0	5	0	MeleeWeapon	Option_RendPoison	None	1	FALSE	0
106	Option_IncFireATK	TRUE	<$>31077</>	water_blue_14_ol	0	0	0	40	0	10	0	None	Option_IncFireATK	None	1	FALSE	0
107	Option_IncIceATK	TRUE	<$>31078</>	water_blue_14_ol	0	0	0	40	0	10	0	None	Option_IncIceATK	None	1	FALSE	0
108	Option_IncLghtATK	TRUE	<$>31079</>	water_blue_14_ol	0	0	0	40	0	10	0	None	Option_IncLghtATK	None	1	FALSE	0
109	Option_RenderStun	TRUE	<$>31080</>	water_blue_14_ol	0	0	0	10	0	5	0	MeleeWeapon	Option_RendStun	None	1	FALSE	0
110	Option_RenderFear	TRUE	<$>31081</>	water_blue_14_ol	0	0	0	10	0	5	0	MeleeWeapon	Option_RendFear	None	1	FALSE	0
201	Option_IncDEF	TRUE	<$>31082</>	water_blue_14_ol	0	0	0	12	0	3	0	None	Option_IncDEF	None	1	FALSE	0
202	Option_IncPR	TRUE	<$>31083</>	water_blue_14_ol	0	0	0	15	0	5	0	None	Option_IncPR	None	1	FALSE	0
203	Option_IncRFIRE	TRUE	<$>31084</>	water_blue_14_ol	0	0	0	20	0	5	0	None	Option_IncRFIRE	None	1	FALSE	0
204	Option_IncRICE	TRUE	<$>31085</>	water_blue_14_ol	0	0	0	20	0	5	0	None	Option_IncRICE	None	1	FALSE	0
205	Option_IncRLGHT	TRUE	<$>31086</>	water_blue_14_ol	0	0	0	20	0	5	0	None	Option_IncRLGHT	None	1	FALSE	0
206	Option_IncRSTAT	TRUE	<$>94385</>	water_blue_14_ol	0	0	0	20	0	5	0	None	Option_IncRSTAT	None	1	FALSE	0
207	Option_IncMSPD	TRUE	<$>31088</>	water_blue_14_ol	0	0	0	15	0	5	0	None	Option_IncMSPD	None	1	FALSE	0
