AIType	Attack	AttackHome	AutoLock	ClassID	ClassName	ClearMon	DropItem	DropLumin	Filter	HateCount	HateRange	Hatred	HomeSick	LifeTime	LtdMinion	LuminFreq	Move	MoveMax	MoveMin	Note	Rally	RunAway	ScpErrorChk	SeekRange	SelfBomb
FIELDBOSS	TRUE	FALSE	FALSE	1	MON_FIELDBOSS	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	RANDOM	2000	500	<$>50571</>	FALSE	FALSE	FALSE	2900	FALSE
AMBERMONSTER	TRUE	FALSE	FALSE	2	MON_AMBERMONSTER	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	300	FALSE	0	FOLLOWOWNER	0	0	<$>50572</>	FALSE	FALSE	FALSE	700	FALSE
AGGRESSIVE	TRUE	FALSE	FALSE	3	MON_AGGRESSIVE	FALSE	0	None	None	0	0	FALSE	TRUE	300	FALSE	0	RANDOMLOCAL	500	0	<$>50573</>	FALSE	FALSE	FALSE	1500	FALSE
AGGRESSIVE	TRUE	FALSE	FALSE	4	MON_AGGRESSIVERUN	FALSE	0	None	None	0	0	FALSE	TRUE	300	FALSE	0	RANDOMLOCAL	500	0	<$>50574</>	FALSE	TRUE	FALSE	1500	FALSE
AGGRESSIVE	TRUE	FALSE	FALSE	5	MON_AGGRESSIVERUNHT	FALSE	0	None	None	0	0	TRUE	TRUE	300	FALSE	0	RANDOMLOCAL	500	0	<$>50575</>	FALSE	TRUE	FALSE	1500	FALSE
AGGRESSIVE	TRUE	FALSE	FALSE	6	MON_AGGRESSIVEBOMB	FALSE	0	None	None	0	0	FALSE	TRUE	300	FALSE	0	RANDOMLOCAL	500	0	<$>50576</>	FALSE	FALSE	FALSE	1500	TRUE
CREATURE	FALSE	FALSE	FALSE	7	MON_CREATURE	FALSE	0	None	None	0	0	FALSE	TRUE	150	FALSE	0	RANDOM	2000	500	<$>50577</>	FALSE	FALSE	FALSE	0	FALSE
STANDING	TRUE	FALSE	FALSE	8	MON_STANDING	FALSE	0	None	None	0	0	FALSE	FALSE	300	FALSE	0	None	0	0	<$>50578</>	FALSE	FALSE	FALSE	1500	FALSE
STANDING	TRUE	FALSE	FALSE	9	MON_STANDINGRUN	FALSE	0	None	None	0	0	FALSE	FALSE	300	FALSE	0	None	0	0	<$>50579</>	FALSE	TRUE	FALSE	1500	FALSE
STANDING	TRUE	FALSE	FALSE	10	MON_STANDINGRUNHT	FALSE	0	None	None	0	0	TRUE	FALSE	300	FALSE	0	None	0	0	<$>50580</>	FALSE	TRUE	FALSE	1500	FALSE
STANDING	TRUE	FALSE	FALSE	11	MON_STANDINGBOMB	FALSE	0	None	None	0	0	FALSE	FALSE	300	FALSE	0	None	0	0	<$>50581</>	FALSE	FALSE	FALSE	1500	TRUE
PASSIVE	TRUE	FALSE	FALSE	12	MON_PASSIVE	FALSE	0	None	None	0	0	FALSE	TRUE	300	FALSE	0	RANDOMLOCAL	500	0	<$>50582</>	FALSE	FALSE	FALSE	0	FALSE
