A_PosX	A_PosY	A_PosZ	ClassID	Emergency	MapClassID	MapClassName	MapName
2947	-19272	1014	1	YES	207	fld_alq	<$>47348</>
-20621	-23480	0	2	YES	3601	dun_alq01	<$>47439</>
20432	5161	0	3	YES	3603	dun_alq03	<$>47443</>
5973	33469	0	4	YES	3602	dun_alq02	<$>47441</>
34542	14298	789	5	YES	504	btl_ttr02	<$>28802</>
12971	-13492	-4391	6	YES	502	btl_ttr01	<$>28801</>
-5559	7906	122	7	YES	203	fld_ttr	<$>47344</>
-29623	5062	47	8	YES	3701	dun_ttr01	<$>47450</>
-56139	-30562	0	9	YES	3702	dun_ttr02	<$>47452</>
23912	-513	-180	11	YES	3703	dun_ttr03	<$>47454</>
-7795	2699	-3632	12	YES	505	btl_coim01	<$>28787</>
-5736	-3650	939	13	YES	204	fld_ptv	<$>52611</>
6777	987	0	14	YES	3801	dun_ptv01	<$>47460</>
-25322	-9069	-399	15	YES	3802	dun_ptv02	<$>47462</>
3485	-10300	0	16	YES	3803	dun_ptv03	<$>47464</>
-2232	1629	5177	18	YES	509	btl_ptv01	<$>52612</>
4450	-8916	3730	19	YES	3862	btl_ptv02	<$>52613</>
3455	6962	-6327	20	YES	1361	btl_auch01	<$>47380</>
1819	-6622	-4669	21	YES	1371	btl_auch02	<$>28784</>
4836	-37255	-8051	22	YES	3531	fld_tor	<$>47433</>
-14497	-22	0	23	YES	3510	dun_tor01	<$>52614</>
-9493	-12380	944	24	YES	1363	btl_auch03	<$>28785</>
-1225	24704	2754	26	NO	3511	dun_tor02	<$>52615</>
9788	-14187	-1706	27	YES	507	btl_reb03	<$>28796</>
-7481	-18468	881	28	YES	3371	btl_jaq02	<$>28789</>
-17566	-17156	439	29	YES	1166	btl_reb06	<$>47375</>
5302	14997	-6496	30	YES	506	btl_reb02	<$>28795</>
11262	-6849	1234	31	YES	3361	btl_jaq01	<$>47411</>
-811	7619	3438	32	YES	3331	fld_jaq	<$>47409</>
16075	-37020	0	33	YES	3320	dun_jaq01	<$>47398</>
15255	-21744	0	34	YES	3321	dun_jaq_c01	<$>47400</>
19905	-24061	0	35	YES	3323	dun_jaq05	<$>47402</>
-16045	50194	-894	37	YES	3363	btl_jaq03	<$>28790</>
11987	16997	1500	38	YES	3324	dun_jaq03	<$>47404</>
-19276	-6283	409	40	YES	1461	btl_ust01	<$>52616</>
1292	4443	214	41	YES	1462	btl_ust02	<$>52617</>
-192	7132	-85	42	YES	1463	btl_ust03	<$>52618</>
-18503	9798	-633	43	YES	3901	dun_ust01	<$>47471</>
-23343	-8094	-1211	44	NO	3904	dun_ust02	<$>47473</>
9810	9237	-3252	45	NO	3907	dun_ust03	<$>47477</>
-13711	30417	-3509	46	YES	1464	btl_ust04	<$>52619</>
5046	68	-3127	47	YES	4061	btl_ktv01	<$>28791</>
6823	633	-66	48	YES	5002	btl_tbk02	<$>28800</>
9299	5873	-88	49	YES	5001	btl_tbk01	<$>28799</>
-7247	18039	-1661	50	YES	5004	dun_tbk01	<$>47491</>
-13918	-1836	1478	51	YES	4062	btl_ktv02	<$>47485</>
-3146	-13582	-100	52	NO	5005	dun_tbk02	<$>47492</>
-2246	-13243	-1562	53	YES	5003	btl_tbk03	<$>47490</>
-220	-16324	-683	54	YES	3364	btl_jaq04	<$>47414</>
-4163	41838	-3936	55	YES	4063	btl_ktv03	<$>28792</>
-19954	5815	-84	56	YES	8005	btl_bah01	<$>47520</>
5877	-8437	1441	57	YES	4064	btl_ktv04	<$>47486</>
7466	1305	218	58	YES	8006	btl_bah02	<$>47521</>
2941	-264	288	59	YES	8008	btl_bah04	<$>28786</>
6996	762	622	60	YES	8007	btl_bah03	<$>47522</>
-5591	14995	-1819	61	YES	4065	btl_ktv05	<$>47487</>
14	43688	-2074	62	YES	3325	dun_jaq_c04	<$>47406</>
-4087	26303	2787	63	YES	1165	btl_reb05	<$>28798</>
19867	-9402	-3545	64	YES	3662	btl_alq02	<$>28783</>
-27901	6215	0	65	NO	3513	dun_tor04	<$>6029</>
-1257	-30268	-3120	66	NO	20201	btl_erc01	<$>47853</>
-1225	-30271	-3120	67	NO	20211	btl_erc02	<$>47855</>
-42720	-455	-6	68	NO	20302	btl_cas01	<$>47858</>
2	-23646	5171	69	NO	20303	btl_cas02	<$>47859</>
59405	37914	4943	70	NO	20402	btl_viron01	<$>47861</>
2660	-14699	-5907	71	NO	20403	btl_viron02	<$>47862</>
-5537	-14328	-5282	72	NO	20404	btl_viron03	<$>104598</>
-7618	22934	-687	73	NO	20607	btl_bst01	<$>90519</>
-127	-10355	-63	74	NO	20608	btl_bst02	<$>90520</>
