Bone	CamDist	CamOffset	ClassID	ClassName	Click	ClickVoice	Detect	EdgeColor	Eff1Emitter	Eff2Emitter	Eff3Emitter	Eff4Emitter	Eff5Emitter	Eff6Emitter	EffNode1	EffNode1Part	EffNode2	EffNode2Part	EffNode3	EffNode3Part	EffNode4	EffNode4Part	EffNode5	EffNode5Part	EffNode6	EffNode6Part	EffNode7	EffNode7Part	EffNode8	EffNode8Part	EngName	Enter	FileName	HP	Hidden	HitOffset	IDL	JobName	LODDist	Leave	Lock	Lv	MHP	Mass	MaterialSet	MouseOnCursor	NPCSign	NPCType	Name	Nation	NpcClassKey	NpcString01	NpcString02	NpcString03	NpcValue01	NpcValue02	NpcValue03	NpcValue04	NpcValue05	NpcValue06	NpcValue07	NpcValue08	NpcValue09	NpcValue10	NpcValue11	NpcValue12	NpcValue13	NpcValue14	NpcValue15	NpcValue16	NpcValue17	NpcValue18	NumSet	Occupation	Picking	Pose	QuestLimit	RSPD	RUN	Range	Reset	RootNode	SET	SET1	SET2	SET3	SET4	STD	Scale	Size	UseTypeName	WLK	WSPD
NPC_COM_GIRLa1_SET	150	120	1	COM_GIRLa1	TRUE	None	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Little_Girl	FALSE	COM_GIRLa1	146	FALSE	120	NPC_COM_GIRLa1_IDL	<$>66</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>66</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	None	FALSE	FALSE	0	369	NPC_COM_GIRLa1_RUN	0	FALSE	Bip01	NPC_COM_GIRLa1_SET	NPC_COM_GIRLa1_SET1	NPC_COM_GIRLa1_SET2	None	None	NPC_COM_GIRLa1_STD	1	S	TRUE	NPC_COM_GIRLa1_WLK	146
NPC_COM_GIRLa2_SET	150	120	2	COM_GIRLa2	TRUE	None	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Girl	FALSE	COM_GIRLa2	146	FALSE	120	NPC_COM_GIRLa2_IDL	<$>66</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>66</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	None	FALSE	FALSE	0	369	NPC_COM_GIRLa2_RUN	0	FALSE	Bip01	NPC_COM_GIRLa2_SET	NPC_COM_GIRLa2_SET1	NPC_COM_GIRLa2_SET2	None	None	NPC_COM_GIRLa2_STD	1	S	TRUE	NPC_COM_GIRLa2_WLK	146
NPC_COM_BOYa1_SET	150	120	3	COM_BOYa1	TRUE	None	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	BOYa	FALSE	COM_BOYa1	146	FALSE	120	NPC_COM_BOYa1_IDL	<$>151587</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>151587</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	None	FALSE	FALSE	0	369	NPC_COM_BOYa1_RUN	0	FALSE	Bip01	NPC_COM_BOYa1_SET	NPC_COM_BOYa1_SET1	NPC_COM_BOYa1_SET2	None	None	NPC_COM_BOYa1_STD	1	S	TRUE	NPC_COM_BOYa1_WLK	146
NPC_COM_BOYa2_SET	150	120	4	COM_BOYa2	TRUE	None	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	BOYb	FALSE	COM_BOYa2	146	FALSE	120	NPC_COM_BOYa2_IDL	<$>151587</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>151587</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	None	FALSE	FALSE	0	369	NPC_COM_BOYa2_RUN	0	FALSE	Bip01	NPC_COM_BOYa2_SET	NPC_COM_BOYa2_SET1	NPC_COM_BOYa2_SET2	None	None	NPC_COM_BOYa2_STD	1	S	TRUE	NPC_COM_BOYa2_WLK	146
NPC_COM_OLDMANa_SET	150	120	5	COM_OLDMANa	TRUE	None	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	OLD_BOY	FALSE	COM_OLDMANa	146	FALSE	120	NPC_COM_OLDMANa_IDL	<$>4278</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>51602</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	None	FALSE	FALSE	0	369	None	0	FALSE	Bip01	NPC_COM_OLDMANa_SET	NPC_COM_OLDMANa_SET1	NPC_COM_OLDMANa_SET2	None	None	NPC_COM_OLDMANa_STD	1	S	TRUE	NPC_COM_OLDMANa_WLK	146
NPC_COM_YEGANEH_SET	150	120	6	COM_YEGANEH	TRUE	voice_select_yega_m_1.ogg,voice_select_yega_m_2.ogg	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Yeganeh	FALSE	COM_YEGANEH	146	FALSE	120	NPC_COM_YEGANEH_IDL	<$>151588</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>84</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	None	FALSE	FALSE	0	369	NPC_RUN_MALE4	0	FALSE	Bip01	NPC_COM_YEGANEH_SET	NPC_COM_YEGANEH_SET1	NPC_COM_YEGANEH_SET2	None	None	NPC_COM_YEGANEH_STD	1	S	TRUE	NPC_WLK_MALE4	146
NPC_COM_JOHNNY2_SET	150	120	7	COM_JOHNNY	TRUE	None	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Johnny	FALSE	COM_JOHNNY	146	FALSE	120	None	<$>151589</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>151589</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	None	FALSE	FALSE	0	369	NPC_RUN_MALE4	0	FALSE	Bip01	NPC_COM_JOHNNY2_SET	NPC_COM_JOHNNY2_SET1	NPC_COM_JOHNNY2_SET2	None	None	NPC_COM_JOHNNY2_STD	1.3	S	TRUE	NPC_WLK_MALE4	146
NPC_COM_SELDEN_SET	150	120	8	COM_SELDEN	TRUE	None	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Selden	FALSE	COM_SELDEN	146	FALSE	120	NPC_COM_SELDEN_IDL	<$>151590</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>47008</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	None	FALSE	FALSE	0	369	NPC_RUN_MALE4	0	FALSE	Bip01	NPC_COM_SELDEN_SET	NPC_COM_SELDEN_SET1	NPC_COM_SELDEN_SET2	None	None	NPC_COM_SELDEN_STD	1	S	TRUE	NPC_WLK_MALE4	146
NPC_COM_JACK_SET	150	120	9	COM_JACK	TRUE	voice_select_jack_m_1.ogg,voice_select_jack_m_2.ogg	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Jack	FALSE	COM_JACK	146	FALSE	120	NPC_COM_JACK_IDL	<$>151591</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>85</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	None	FALSE	FALSE	0	369	NPC_RUN_MALE4	0	FALSE	Bip01	NPC_COM_JACK_SET	NPC_COM_JACK_SET1	NPC_COM_JACK_SET2	None	None	NPC_COM_JACK_STD	1	S	TRUE	NPC_WLK_MALE4	146
NPC_COM_QUEST01_SET	150	120	10	COM_QUEST1	FALSE	None	FALSE	FF4C4CFF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Amy	TRUE	COM_QUEST01	146	FALSE	120	None	<$>151592</>	1000	FALSE	FALSE	1	146	1	None	DIALOG	NPCSIGN_NORMAL	Normal	<$>151592</>	1	0	None	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	None	FALSE	FALSE	0	369	None	200	FALSE	Bip01	NPC_COM_QUEST01_SET	NPC_COM_QUEST01_SET1	NPC_COM_QUEST01_SET2	None	None	NPC_COM_QUEST01_STD	1	S	TRUE	None	146
