ClassID	ClassName	FlagName	MaxFlagNum
10	reb_basic	NPCGen_reb_basic	66
8	reb_linden	NPCGen_reb_linden	22
200	fld_reb	MonGenFlag_fld_reb	37
501	btl_reb01	MonGenFlag_btl_reb01	79
506	btl_reb02	MonGenFlag_btl_reb02	67
507	btl_reb03	MonGenFlag_btl_reb03	86
508	btl_reb04	MonGenFlag_btl_reb04	590
1165	btl_reb05	MonGenFlag_btl_reb05	203
1166	btl_reb06	MonGenFlag_btl_reb06	325
15	coim_basic	NPCGen_coim_basic	62
17	event_zone	MonGenFlag_event_zone	128
208	fld_coim	MonGenFlag_fld_coim	32
505	btl_coim01	MonGenFlag_btl_coim01	33
1301	auch_basic	NPCGen_auch_basic	56
1331	fld_auch	MonGenFlag_fld_auch	51
1361	btl_auch01	MonGenFlag_btl_auch01	117
1371	btl_auch02	MonGenFlag_btl_auch02	162
1363	btl_auch03	MonGenFlag_btl_auch03	428
207	fld_alq	MonGenFlag_fld_alq	26
503	btl_alq01	MonGenFlag_btl_alq01	50
3662	btl_alq02	MonGenFlag_btl_alq02	153
3601	dun_alq01	MonGenFlag_dun_alq01	122
3603	dun_alq03	MonGenFlag_dun_alq03	275
3602	dun_alq02	MonGenFlag_dun_alq02	50
3605	dun_alq04	MonGenFlag_dun_alq04	103
3606	dun_alq05	MonGenFlag_dun_alq05	88
3607	dun_alq_db	MonGenFlag_dun_alq_db	1
3699	dun_alq_boss	MonGenFlag_dun_alq_boss	13
3698	dun_alq_db_boss	MonGenFlag_dun_alq_db_boss	13
203	fld_ttr	MonGenFlag_fld_ttr	37
502	btl_ttr01	MonGenFlag_btl_ttr01	77
504	btl_ttr02	MonGenFlag_btl_ttr02	87
510	btl_ttr03	MonGenFlag_btl_ttr03	241
3701	dun_ttr01	MonGenFlag_dun_ttr01	49
3702	dun_ttr02	MonGenFlag_dun_ttr02	191
3703	dun_ttr03	MonGenFlag_dun_ttr03	47
3709	dun_ttr_db	MonGenFlag_dun_ttr_db	1
3798	dun_ttr_db_boss	MonGenFlag_dun_ttr_db_boss	16
3799	dun_ttr_boss	MonGenFlag_dun_ttr_boss	16
204	fld_ptv	MonGenFlag_fld_ptv	15
509	btl_ptv01	MonGenFlag_btl_ptv01	303
3862	btl_ptv02	MonGenFlag_btl_ptv02	268
3801	dun_ptv01	MonGenFlag_dun_ptv01	80
3802	dun_ptv02	MonGenFlag_dun_ptv02	101
3803	dun_ptv03	MonGenFlag_dun_ptv03	57
3807	dun_ptv_db	MonGenFlag_dun_ptv_db	1
3898	dun_ptv_db_boss	MonGenFlag_dun_ptv_db_boss	21
3899	dun_ptv_boss	MonGenFlag_dun_ptv_boss	21
3331	fld_jaq	MonGenFlag_fld_jaq	28
3361	btl_jaq01	MonGenFlag_btl_jaq01	54
3371	btl_jaq02	MonGenFlag_btl_jaq02	141
3363	btl_jaq03	MonGenFlag_btl_jaq03	398
3364	btl_jaq04	MonGenFlag_btl_jaq04	168
3320	dun_jaq01	MonGenFlag_dun_jaq01	282
3321	dun_jaq_c01	MonGenFlag_dun_jaq_c01	65
3323	dun_jaq05	MonGenFlag_dun_jaq05	154
3324	dun_jaq03	MonGenFlag_dun_jaq03	150
3325	dun_jaq_c04	MonGenFlag_dun_jaq_c04	83
3399	dun_jaq_boss	MonGenFlag_dun_jaq_boss	31
3531	fld_tor	MonGenFlag_fld_tor	126
3510	dun_tor01	MonGenFlag_dun_tor01	235
3511	dun_tor02	MonGenFlag_dun_tor02	211
3591	dun_tor_dr	MonGenFlag_dun_tor_dr	13
1490	pinta_zone	NPCGen_pinta_zone	5
1401	ust_basic	NPCGen_ust_basic	15
1432	ust_farm	MonGenFlag_ust_farm	12
1461	btl_ust01	MonGenFlag_btl_ust01	123
1462	btl_ust02	MonGenFlag_btl_ust02	499
1463	btl_ust03	MonGenFlag_btl_ust03	474
1464	btl_ust04	MonGenFlag_btl_ust04	489
3901	dun_ust01	MonGenFlag_dun_ust01	80
3904	dun_ust02	MonGenFlag_dun_ust02	74
3905	dun_ust04	MonGenFlag_dun_ust04	210
3906	dun_ust04_tw	MonGenFlag_dun_ust04_tw	210
3909	dun_ust05	MonGenFlag_dun_ust05	180
3907	dun_ust03	MonGenFlag_dun_ust03	148
3910	dun_ust04_2	MonGenFlag_dun_ust04_2	210
3911	dun_ust05_tw	MonGenFlag_dun_ust05_tw	180
3912	dun_ust04_2_tw	MonGenFlag_dun_ust04_2_tw	210
3913	dun_ust04_nonpk	MonGenFlag_dun_ust04_nonpk	210
3914	dun_ust05_nonpk	MonGenFlag_dun_ust05_nonpk	180
3999	dun_ust_boss	MonGenFlag_dun_ust_boss	21
4061	btl_ktv01	MonGenFlag_btl_ktv01	155
4062	btl_ktv02	MonGenFlag_btl_ktv02	346
4063	btl_ktv03	MonGenFlag_btl_ktv03	221
4064	btl_ktv04	MonGenFlag_btl_ktv04	142
4065	btl_ktv05	MonGenFlag_btl_ktv05	321
3865	btl_coim02	MonGenFlag_btl_coim02	116
5001	btl_tbk01	MonGenFlag_btl_tbk01	604
5002	btl_tbk02	MonGenFlag_btl_tbk02	132
5003	btl_tbk03	MonGenFlag_btl_tbk03	420
3461	btl_prison01	MonGenFlag_btl_prison01	203
3365	btl_chainrush	MonGenFlag_btl_chainrush2_2	1
5100	dun_sil01	MonGenFlag_dun_sil01_2	2
5101	dun_sil02	MonGenFlag_dun_sil02_2	2
5102	dun_sil_boss	MonGenFlag_dun_sil_boss_2	1
