ClassID	ClassName	Desc	ItemClassName	ItemCount	Name	PartyLv	RankType	ReadyMin	StartMin
40000	PM_40000	<$>104572</>	ShinyCrystal	50	<$>48389</>	0	Time	10000	5
40002	PM_40002	<$>104573</>	ShinyCrystal	50	<$>29404</>	0	Time	10000	5
40004	PM_40004	<$>104574</>	ShinyCrystal	50	<$>29405</>	0	Time	10000	5
40005	PM_40005	<$>104575</>	ShinyCrystal	50	<$>29406</>	0	Time	10000	5
40006	PM_40006	<$>104576</>	ShinyCrystal	50	<$>29401</>	0	Time	10000	5
31005	PM_31005	<$>104577</>	ShinyCrystal	50	<$>29407</>	0	Time	10000	5
40019	PM_40019	<$>104578</>	ShinyCrystal	50	<$>29418</>	0	Time	10000	5
40028	PM_40028	<$>104579</>	ShinyCrystal	50	<$>48045</>	0	Time	10000	5
40029	PM_40029	<$>104580</>	ShinyCrystal	50	<$>48047</>	0	Time	10000	5
40030	PM_40030	<$>104581</>	ShinyCrystal	50	<$>48049</>	0	Time	10000	5
40302	PM_40302	<$>104582</>	ShinyCrystal	50	<$>104443</>	0	Time	10000	5
40303	PM_40303	<$>104583</>	ShinyCrystal	50	<$>104445</>	0	Point	10000	5
40331	PM_40331	<$>126247</>	ShinyCrystal	50	<$>126198</>	0	Point	10000	5
40343	PM_40343	<$>155460</>	ShinyCrystal	50	<$>155459</>	0	Time	10000	5
40350	PM_40350	<$>166392</>	ShinyCrystal	50	<$>166158</>	0	Time	10000	5
