ClassGroup	ClassID	ImgName	Value
FARM_PLANT	1	farm_plant1.bmp	1
FARM_PLANT	2	farm_plant2.bmp	2
FARM_PLANT	3	farm_plant3.bmp	3
FARM_PLANT	4	farm_plant4.bmp	4
FARM_PLANT	5	farm_plant5.bmp	5
FARM_PLANT	6	farm_plant6.bmp	6
FARM_PLANT	7	farm_plant7.bmp	7
FARM_PLANT	8	farm_plant8.bmp	8
FARM_PLANT	9	farm_plant9.bmp	9
FARM_PLANT	10	farm_plant10.bmp	10
FARM_PLANT	11	farm_plant11.bmp	11
FARM_PLANT	12	farm_plant12.bmp	12
FARM_PLANT	13	farm_plant13.bmp	13
FARM_PLANT	14	farm_plant14.bmp	14
FARM_FISHTRAP	15	farm_fishtrap.bmp	1
FARM_FISHTRAP	16	farm_fishtrap.bmp	2
FARM_FISHTRAP	17	farm_fishtrap.bmp	3
FARM_FISHTRAP	18	farm_fishtrap.bmp	4
FARM_FISHTRAP	19	farm_fishtrap.bmp	5
FARM_FISHTRAP	20	farm_fishtrap.bmp	6
FARM_FISHTRAP	21	farm_fishtrap.bmp	7
FARM_FISHTRAP	22	farm_fishtrap.bmp	8
FARM_FEEDBOX	23	farm_feedbox.bmp	1
FARM_FEEDBOX	24	farm_feedbox.bmp	2
FARM_FEEDBOX	25	farm_feedbox.bmp	3
FARM_FEEDBOX	26	farm_feedbox.bmp	4
FARM_FEEDBOX	27	farm_feedbox.bmp	5
