CashItemGroup	ClassID	CoolDown	RicoExchange	SetPeriod	WorldMsg	ability	arg1	arg2	cost	hour	itemID	itemname	min	period	salecost
Package	22106	0	0	0	0	none	0	0	200	0	16906	<$>90189</>	0	30	0
Package	22107	0	0	0	0	none	0	0	300	0	16907	<$>90190</>	0	30	0
Package	11892	0	0	0	0	PACKAGE	0	0	799	0	40969	<$>168535</>	0	0	0
Package	18114	0	0	0	0	none	0	0	200	0	88255	<$>30530</>	0	0	0
Consume	18141	0	0	0	0	none	0	0	30	0	89064	<$>30547</>	0	0	0
Package	12068	0	0	0	0	WARP	10	0	120	0	88251	<$>30105</>	0	30	0
Period	12167	0	0	0	0	WARP	30	0	100	0	189259	<$>99873</>	0	30	0
Package	18144	0	0	0	0	none	0	0	249	0	189183	<$>30550</>	0	0	0
Package	17094	0	0	0	0	none	0	0	120	0	23298	<$>30467</>	0	0	0
Package	13092	0	0	0	0	QUESTWARP	0	0	90	0	189291	<$>103780</>	0	15	0
Package	12171	0	0	0	0	QUESTWARP	0	0	150	0	189293	<$>103771</>	0	30	0
Package	11053	0	0	0	0	PACKAGE	0	0	4900	0	20989	<$>97449</>	0	0	0
Package	11065	0	0	0	0	PACKAGE	0	0	3500	0	20991	<$>99869</>	0	0	0
Period	12107	0	0	0	0	HOMEPREMIUM	0	0	530	0	88259	<$>30144</>	0	30	0
Period	18148	0	0	0	0	none	0	0	49	0	189200	<$>78948</>	0	0	0
Period	135066	0	0	0	0	none	0	0	60	0	155044	<$>36766</>	0	0	0
Package	145933	0	0	0	0	none	0	0	770	0	189396	<$>134495</>	0	0	0
Period	18039	0	0	0	0	None	0	0	590	0	74429	<$>30521</>	0	0	0
Period	18006	0	0	0	0	REIN_PROTECT	0	0	210	0	88056	<$>30489</>	0	0	0
Period	18007	0	0	0	0	REIN_PROTECT	0	0	270	0	88057	<$>30490</>	0	0	0
Period	18011	0	0	0	0	REIN_PROTECT	0	0	240	0	88061	<$>30494</>	0	0	0
Period	18012	0	0	0	0	REIN_PROTECT	0	0	300	0	88062	<$>30495</>	0	0	0
Period	18016	0	0	0	0	REIN_PROTECT	0	0	270	0	88066	<$>30499</>	0	0	0
Period	18017	0	0	0	0	REIN_PROTECT	0	0	360	0	88067	<$>30500</>	0	0	0
Etc	18026	0	0	0	0	REIN_PROTECT	0	0	540	0	88076	<$>193540</>	0	0	0
Etc	18027	0	0	0	0	REIN_PROTECT	0	0	660	0	88077	<$>193542</>	0	0	0
Consume	17199	0	0	0	0	none	0	0	33	0	40871	<$>155126</>	0	0	0
Consume	17004	0	0	0	0	RESURRECTION	0	0	12	0	20084	<$>30393</>	0	0	0
Consume	18042	0	0	0	0	GAMBLE	0	0	12	0	88017	<$>30524</>	0	0	0
Consume	18043	0	0	0	0	REINFORCE	0	0	6	0	88018	<$>30525</>	0	0	0
Consume	18045	0	0	0	0	SOCKETPROTECT	0	0	118	0	88099	<$>30527</>	0	0	0
Consume	18001	0	0	0	0	REIN_PROTECT	0	0	45	0	88051	<$>30484</>	0	0	0
