AR	ASPD	ASPD_Opt	ATK	AddATK	AddATK_Opt	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BLK_Opt	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	CRT_Opt	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefIP_Opt	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireATK_Opt	FireIP	FireIP_Opt	GolemBane	GroupName	HPDrain	HPDrain_Opt	HR	HR_Opt	HumanBane	IMP	IMP_Opt	IceATK	IceATK_Opt	IceIP	IceIP_Opt	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncLegend	IncMHP	IncMSP	IncSTR	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LghtATK_Opt	LghtIP_Opt	LgtIP	LogoutSave	MHP	MHP_Opt	MKP	MSP	MSPD	MSPD_Opt	MSP_Opt	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PR	PR_Opt	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyATK_Opt	PsyIP	PsyIP_Opt	RFIRE	RFIRE_Opt	RHP	RHP_Opt	RICE	RICE_Opt	RLGHT	RLGHT_Opt	RPSY	RPSY_Opt	RSP	RSTAT	RSTAT_Opt	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	SetItemGroup	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	31	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	4106	SettlerLeather_Mystic	Leather	NO	190	FALSE	1	0	0	BODY	0	<$>31839</>	0	70	-10	0	None	OldEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	92	Settler's mystic leather armor	BODY	equip_leather.ogg	None	2147483647	0	FALSE	it_m_studdedleatherarmor	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>31454</>	SYS_item_column_red	0	<$>31838</>	MEDIUM	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	ARMOR_S	0	0	NO	1	None	9375000	0	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31840</>	1	4106	1.1	None	1	0	0	Armor	<$>31977</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	29	None	0	0	0
0	-10	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	35	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Metal	<$>29669</>	4204	SettlerMetal_Mystic	Metal	NO	204	FALSE	1	0	0	BODY	0	<$>31848</>	0	70	-10	0	None	OldEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	92	Settler's mystic metal armor	BODY	equip_platemail.ogg	None	2147483647	0	FALSE	it_m_fieldplate	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29669</>	SYS_item_column_red	0	<$>31847</>	HARD	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	ARMOR_S	0	0	NO	1	None	9375000	0	0	0	0	0	24	0	0	0	24	0	24	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31849</>	1	4204	1.1	None	1	0	0	Armor	<$>100733</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	29	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Coat	<$>29667</>	4306	SettlerCoat_Mystic	Coat	NO	163	FALSE	1	0	0	BODY	0	<$>31862</>	0	70	-10	0	None	OldEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	92	Settler's mystic coat	BODY	equip_coat.ogg	None	2147483647	0	FALSE	it_m_joustocoprs	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29667</>	SYS_item_column_red	0	<$>31861</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	CLOTHE_S	0	0	NO	1	None	9375000	0	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31863</>	1	4306	1.1	None	1	0	0	Armor	<$>31982</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	29	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Robe	<$>29668</>	4406	SettlerRobe_Mystic	Robe	NO	163	FALSE	1	0	0	BODY	0	<$>31875</>	0	70	-10	0	None	OldEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	92	Settler's mystic robe	BODY	equip_coat.ogg	None	2147483647	0	FALSE	it_m_elementalist	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29668</>	SYS_item_column_red	0	<$>31874</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	CLOTHE_S	0	0	NO	1	None	9375000	0	0	0	0	0	48	0	0	0	48	0	48	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31876</>	1	4406	1.1	None	1	0	0	Armor	<$>31987</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	29	None	0	0	0
0	-5	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	35	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Metal	<$>29669</>	64205	SchivarlierArmor_Elite	Metal	NO	225	FALSE	1	0	0	BODY	0	<$>31620</>	0	70	-10	0	None	EliteEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Elite Schivarlier armor	BODY	equip_platemail.ogg	None	2147483647	0	FALSE	it_m_fieldplate	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29669</>	SYS_item_column_red	0	<$>31899</>	HARD	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	NO	1	None	50000000	1	0	0	0	0	24	0	0	0	24	0	24	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31900</>	1	64205	1.1	None	200000	0	0	Armor	<$>31901</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	31	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	64512	LeBlancFGT2	Leather	NO	197	FALSE	1	0	0	BODY	0	<$>31934</>	0	70	-10	0	None	EliteEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Elite Le Blanc Leather Armor	BODY	equip_leather.ogg	None	2147483647	0	FALSE	it_m_leblanc2	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>31454</>	SYS_item_column_red	0	<$>163057</>	MEDIUM	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	NO	1	None	50000000	1	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31900</>	1	64512	1.1	None	200000	0	0	Armor	<$>31940</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Coat	<$>29667</>	64522	LeBlancWIZ2	Coat	NO	168	FALSE	1	0	0	BODY	0	<$>150659</>	0	70	-10	0	None	EliteEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Elite Le Blanc Coat (Not Use)	BODY	equip_coat.ogg	None	2147483647	0	FALSE	it_m_leblanc2	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29667</>	SYS_item_column_red	0	<$>163058</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	CLOTHE	0	0	NO	1	None	50000000	1	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31942</>	1	64522	1.1	None	200000	0	0	Armor	<$>31943</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	31	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	64532	LeBlancSCT2	Leather	NO	197	FALSE	1	0	0	BODY	0	<$>150659</>	0	70	-10	0	None	EliteEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Elite Le Blanc Leather Armor (Not Use)	BODY	equip_leather.ogg	None	2147483647	0	FALSE	it_m_leblanc2	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>31454</>	SYS_item_column_red	0	<$>163059</>	MEDIUM	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	NO	1	None	50000000	1	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31945</>	1	64532	1.1	None	200000	0	0	Armor	<$>31940</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Coat	<$>29667</>	64542	LeBlancMUS2	Coat	NO	168	FALSE	1	0	0	BODY	0	<$>31934</>	0	70	-10	0	None	EliteEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Elite Le Blanc Coat	BODY	equip_coat.ogg	None	2147483647	0	FALSE	it_m_leblanc2	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29667</>	SYS_item_column_red	0	<$>163060</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	CLOTHE	0	0	NO	1	None	50000000	1	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31947</>	1	64542	1.1	None	200000	0	0	Armor	<$>31943</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Robe	<$>29668</>	64552	LeBlancWAR2	Robe	NO	168	FALSE	1	0	0	BODY	0	<$>31934</>	0	70	-10	0	None	EliteEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Elite Le Blanc Robe	BODY	equip_coat.ogg	None	2147483647	0	FALSE	it_m_leblanc2	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29668</>	SYS_item_column_red	0	<$>167426</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	CLOTHE	0	0	NO	1	None	50000000	1	0	0	0	0	48	0	0	0	48	0	48	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31949</>	1	64552	1.1	None	200000	0	0	Armor	<$>31950</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	30	None	0	0	0
