ClassID	Group	ItemClassName	ItemCount	Notice
41	41	GrowthStone	5	0
44	41	LumpOfPlatinum	3	0
42	42	GrowthStone	10	0
45	42	LumpOfPlatinum	6	0
43	43	GrowthStone	15	0
46	43	LumpOfPlatinum	9	0
101	101	MoonStone	5	0
111	111	MoonStone	1	0
121	121	MoonStone	3	0
401	401	SymbolOfNaraka	2	0
402	401	Devil_Dream	2	0
971	891	Recipe_GreekCroma_LeatherFGT	1	0
973	891	Recipe_GreekCroma_CoatMUS	1	0
975	891	Recipe_GreekCroma_Robe	1	0
976	891	Recipe_CastillaFate_Metal	1	0
10261	1911	RingBox_S_Ev	5	0
10262	1911	RingBox_S_Ev	10	0
10263	1911	RingBox_S_Ev	20	0
10271	1921	Pet_Box_Nyato	1	0
10700	2301	Abrasive_Impair	1	0
10701	2311	Abrasive_Impair	2	0
500001	10001	swordofstr	1	1
500002	10001	gssoulzwei	1	1
500003	10001	cndetractor	1	1
500004	10001	hmsloth	1	1
500005	10001	byunlawful	1	1
500006	10001	nktempt	1	1
500007	10001	dggreed	1	1
500008	10001	CstAvenger	1	1
500009	10001	SgnCrime	1	1
500010	10001	BctLust	1	1
500011	10001	CbApostate	1	1
500012	10001	RpImitator	1	1
500013	10001	TfWrath	1	1
500014	10001	SB_Troopers	1	1
500015	10001	SWD_Insincere	1	1
500016	10001	ROD_Pride	1	1
500017	10001	RvrRevenge	1	1
500018	10001	PlmAxeoflie	1	1
500019	10001	LgdGluttony	1	1
500020	10002	AngelZweihander_JPN	1	1
500021	10002	AngelRifle_JPN	1	1
500022	10002	AngelDagger_JPN	1	1
500023	10002	AngelHalberd_JPN	1	1
500024	10002	angelbracelet_JPN	1	1
500025	10002	AngelBlade_JPN	1	1
500026	10002	AngelRevolver_JPN	1	1
500027	10002	AngelCrossBow_JPN	1	1
500028	10002	AngelSaber_JPN	1	1
500029	10002	AngelBayonet_JPN	1	1
500030	10002	THSdiamant_JPN	1	1
500031	10002	CBlopale_JPN	1	1
500032	10002	LGHTtourmaline_JPN	1	1
500033	10002	EBemeraude_JPN	1	1
500034	10002	JLjade_JPN	1	1
500035	10002	DGmonnie_JPN	1	1
500036	10002	PSsublimite_JPN	1	1
500037	10002	FBflamme_JPN	1	1
500038	10002	SDamelio_JPN	1	1
500039	10002	SBdefie_JPN	1	1
500040	10002	RFConcent_JPN	1	1
500041	10002	IBPurete_JPN	1	1
500042	10002	SwordofFool	1	1
500043	10002	RflofHierophant	1	1
500044	10002	FistofEmperor	1	1
500045	10002	rvjustice	1	1
500046	10002	rpprstss	1	1
500047	10002	ltfortune	1	1
500048	10002	brempress	1	1
500049	10002	cnchariot	1	1
500050	10002	hmjudje	1	1
500051	10002	daggoflove	1	1
500052	10002	legofhang	1	1
500053	10002	cbtemperance	1	1
500054	10002	jabtower	1	1
500055	10002	sabrdevil	1	1
500056	10002	rodofhermit	1	1
500057	10002	sgnofworld	1	1
500058	10002	scyoddeath	1	1
500059	10003	AngelRod_JPN	1	1
500060	10003	AngelLegguard_JPN	1	1
500061	10003	AngelLute_JPN	1	1
500062	10003	AngelMace_JPN	1	1
500063	10003	AngelStaff_JPN	1	1
500064	10003	AngelCannon_JPN	1	1
500065	10003	AngelShotgun_JPN	1	1
500066	10003	AngelRapier_JPN	1	1
500067	10003	AngelKnuckle_JPN	1	1
500068	10003	AngelJavelin_JPN	1	1
500069	10003	AngelWand_JPN	1	1
500070	10003	SGtopaze_JPN	1	1
500071	10003	PAmalachite_JPN	1	1
500072	10003	RDtalent_JPN	1	1
500073	10003	BLmystere_JPN	1	1
500074	10003	LTconsider_JPN	1	1
500075	10003	KKnature_JPN	1	1
500076	10003	LGLaugmentati_JPN	1	1
500077	10003	STLeveiller_JPN	1	1
500078	10003	CNLactivite_JPN	1	1
500079	10003	RPCaractere_JPN	1	1
500080	10004	Card_PanfiloBattle	1	1
500081	10004	Card_AdelinaCaptain	1	1
500082	10004	Card_SohoFighter	1	1
500083	10004	Card_EmiliaSage	1	1
500084	10004	Card_BSIdge	1	1
500085	10004	Card_Asoka	1	1
500086	10004	Card_CatherineTorsche	1	0
500087	10004	Card_Valleria	1	0
500088	10004	Card_Raven	1	0
500089	10004	Card_LEONELE	1	0
500090	10004	Card_Berroniff	1	0
500091	10004	Card_Natalie	1	0
500092	10004	Card_Daria	1	0
500093	10004	Card_Ralph	1	1
500094	10004	Card_Rudin	1	0
500095	10004	Card_Adriana	1	0
500096	10004	Card_Cruze	1	0
500097	10004	Card_Ion	1	0
500098	10004	Card_Vincent	1	0
500099	10004	Card_Veatrice	1	0
500100	10004	Card_Grandies	1	1
500101	10004	Ring2_OccultismAssitance	1	1
500102	10004	Ring2_EnhancedTactics	1	1
500103	10004	Ring2_OccultismAssitance2	1	1
500105	10004	Ring2_Concentrate_1	1	1
500106	10004	Ring2_ManaActivation_1	1	1
500107	10004	Ring2_SummonProst_1	1	1
500108	10004	Ring2_Sprint2_1	1	1
500109	10004	Ring2_Flare_1	1	1
500110	10005	DrangonRod_JPN	1	1
500111	10005	DrangonSpear_JPN	1	1
500112	10005	DragonBlade_JPN	1	1
500113	10005	DragonHammer_JPN	1	1
500114	10005	DragonicSword_JPN	1	1
500115	10005	DragonicRevolver_JPN	1	1
500116	10005	DragonicShield_JPN	1	1
500117	10005	DragonicBracelet_JPN	1	1
500118	10005	DragonicRapier_JPN	1	1
500119	10005	DragonicDagger_JPN	1	1
500120	10005	DragonicRifle_JPN	1	1
500121	10005	DragonicStaff_JPN	1	1
500122	10005	DragonicSaber_JPN	1	1
500123	10005	DragonicJavelin_JPN	1	1
500124	10005	DragonicShotgun_JPN	1	1
500125	10005	DragonicCrossbow_JPN	1	1
500126	10005	Masamune_JPN	1	1
500127	10005	SweetMace_JPN	1	1
500128	10005	FunnyPumpkin_JPN	1	1
500129	10005	GoldDragon_JPN	1	1
500130	10005	GoldBishop_JPN	1	1
500131	10005	ExecutionerSword_EliteJPN	1	1
500132	10005	EliteVenomGreed_JPN	1	1
500133	10005	Card_Grandma	1	0
500134	10005	Card_Selva	1	0
500135	10005	Card_Hingis	1	0
500136	10005	Card_Kurt	1	0
500137	10005	Card_Eduardo	1	0
500138	10005	Card_Nar	1	0
500139	10005	Card_Ania	1	0
500140	10005	Card_Hellena	1	0
500141	10005	Card_EmliaLunatic	1	0
500142	10005	Recipe_LeNoir_FGT_Elite	1	1
500144	10005	Recipe_LeNoir_MUS_Elite	1	1
500146	10005	Recipe_LeNoir_WAR_Elite	1	1
500147	10005	EXPCard_Expert_a	3	0
500148	10006	Ring2_RapidaEspada	1	1
500149	10006	Ring2_Equites	1	1
500150	10006	Ring2_Rapiere	1	1
500151	10006	Ring2_HangingGuard	1	1
500152	10006	Ring2_Arnis	1	1
500153	10006	Ring2_Flintlock	1	1
500154	10006	Ring2_Gorgeous	1	1
500155	10006	Ring2_Semilunar	1	1
500158	10006	Ring2_TestedGuard	1	1
500160	10006	Ring2_MasterMartialArts	1	1
500161	10006	Ring2_ThePowerofDarkness	1	1
500162	10006	Ring2_MagicofOccultism	1	1
500163	10006	Ring2_Madness	1	1
500164	10006	Ring2_DemolitionBurst	1	1
500165	10006	Ring2_DemolitionBurst2	1	1
500166	10006	Ring2_Prelude	1	1
500167	10006	Ring2_MoonGuard	1	1
500168	10006	Ring2_DeathChopping	1	1
500169	10006	Ring2_SuperiorBlaster	1	1
500170	10006	Ring2_DuelBlaster	1	1
500171	10006	Ring2_TheCrusader	1	1
500172	10006	Ring2_Innocentio	1	1
500173	10006	Ring2_BloodyFeast	1	1
500174	10006	Ring2_TronadaCruz	1	1
500175	10006	Ring2_Peltast	1	1
500176	10006	Ring2_ShadowSting	1	1
500177	10006	Ring2_Croisement	1	1
