AI	ARUN	ASPD	ASTD	ATK	ATKDN	ATKS	AniType	AtkLayer	AtkType	BLK	BaseOffset	BlkHand	ClassID	ClassName	ClassType	DebuffDef	DefLayer	DefType	Desc	EngName	EnterScp	Far	FileName	Heal25	Heal50	Heal75	HeightOffset1	HeightOffset2	HoldMove	IncASPD	IncBLK	IncCRT	IncHR	IncIMP	IncIP	IncPR	IncRSP	Initial	LHits	LeaveScp	MagicDef	Manual	MaxR	MeleeDef	MinR	Name	Near	RHits	RSPD	RSPType	ReqLv	ReqPromotionLv	ReqStn2ID	ReqStn2Lv	ReqStn3ID	ReqStn3Lv	ReqStnID	ReqStnLv	ShootDef	Skill1Req	Skill2Req	Skill3Req	Skill4Req	Skill5Req	SkillID1	SkillID2	SkillID3	SkillID4	SkillID5	SkillName1	SkillName2	SkillName3	SkillName4	SkillName5	SklPts	SpendItemCount	SpendItemID	SplDam	SplLimit	SplRange	SplType	StnATK	StnBLK	StnEXP	StnHR	StnIMP	StnIP	StnIgnoreDEFPer	StnLv	StnMSPD	StnPR	StnRFIRE	StnRICE	StnRLGHT	StnRSTAT	Strong	ToolTip	UseWeaponAnim	WSPD	Weak	XPType
ATTACKER	PC_ARUN_RE	1583	PC_ASTD_RE	PC_ATK_RE	PC_ATKDN_RE	2	Uni	1	Single	PC_BLK_RE	0	LH	10350	RapidaEspada	MELEE	100	1	Block	<$>67444</>	Rapida Espada	None	YES	stn_rapidaespada	NO	NO	NO	0	200	NO	1.4	1	1	0.2	0.6	1	0	0	_RE	0	None	100	YES	125	100	0	<$>63387</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	100	1	8	12	16	20	10351	10352	10353	10354	10355	<$>59268</>	<$>59273</>	<$>59277</>	<$>59280</>	<$>59285</>	0	0	0	0	0	0	None	1.8	15	0	50	0	5	0	1	1	0	0	0	75	0	YES	<$>63332</>	NO	115	YES	10012
ATTACKER	PC_ARUN_EQT	1467	PC_ASTD_EQT	PC_ATK_EQT	PC_ATKDN_EQT	1	Uni	1	Single	PC_BLK_EQT	0	RH	10360	Equites	MELEE	85	1	Block	<$>73726</>	Equites	None	YES	stn_equites	NO	NO	NO	0	200	NO	0.9	1.2	1.2	0.4	0.6	0.8	0	0	_EQT	0	None	80	YES	125	100	0	<$>63389</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	100	1	8	12	16	20	10361	10362	10363	10364	10365	<$>59289</>	<$>59292</>	<$>59297</>	<$>59315</>	<$>59319</>	0	0	0	0	0	0	None	1.8	20	0	40	0	0	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10012
ATTACKER	PC_ARUN_PLT	1067	PC_ASTD_PLT	PC_ATK_PLT	PC_ATKDN_PLT	2	Uni	1	Single	PC_BLK_PLT	0	LH	10560	Peltast	MELEE	90	1	Block	<$>73732</>	Peltast	None	YES	stn_peltast	NO	NO	NO	0	200	NO	0.8	0.6	1	1	0.4	1.12	0	0	_PLT	0	None	120	YES	125	100	1	<$>63420</>	YES	1	400	regenerate	100	2	0	0	0	0	0	0	90	1	8	12	16	20	10561	10562	10563	10564	10565	<$>59741</>	<$>59745</>	<$>59749</>	<$>59767</>	<$>59770</>	0	0	0	0	0	0	None	1.9	15	0	50	0	0	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10012
ATTACKER	PC_ARUN_SBG	1633	PC_ASTD_SBG	PC_ATK_SBG	PC_ATKDN_SBG	1	Uni	1	Double	PC_BLK_RAS	0	LH	10570	Soulbringer	MELEE	80	1	Block	<$>67461</>	Soul bringer	None	YES	stn_soulbringer	NO	NO	NO	0	200	NO	0.8	0.4	0.8	1	0.6	1	0	0	_SBG	1	None	100	YES	125	100	1	<$>63422</>	YES	1	444	regenerate	100	2	0	0	0	0	0	0	100	1	10	15	20	25	10571	10572	10573	10574	10575	<$>63424</>	<$>59792</>	<$>59796</>	<$>59801</>	<$>59806</>	0	0	0	0	0	0	None	2	10	0	40	0	0	0	1	1.2	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10012
ATTACKER	PC_ARUN_VEN	1700	PC_ASTD_VEN	PC_ATK_VEN	PC_ATKDN_VEN	1	Uni	1	Single	PC_BLK_VEN	0	None	10760	Vendetta	MELEE	90	1	Parry	<$>93313</>	Vendetta	None	YES	stn_vendetta	NO	NO	NO	0	200	NO	1	0	1	0.6	0.4	0.4	1	0	_VEN	0	None	90	YES	100	100	0	<$>93312</>	YES	3	469	regenerate	100	2	0	0	0	0	0	0	90	1	10	15	20	25	10761	10762	10763	10764	10765	<$>93218</>	<$>93222</>	<$>62470</>	<$>93229</>	<$>93233</>	0	0	0	0	0	0	None	1.6	0	0	40	5	10	0	1	1	20	0	0	0	0	YES	<$>63332</>	NO	115	YES	10012
ATTACKER	PC_ARUN_CBS	1866	PC_ASTD_CBS	PC_ATK_CBS	PC_ATKDN_CBS	1	Uni	1	Double	PC_BLK_CBS	0	None	10780	ShadowAssault	MELEE	80	1	Parry	<$>95255</>	Shadow Assault	None	YES	stn_shadowassault	NO	NO	NO	0	200	NO	1	0	1	0.6	0.4	0.8	1	1.2	_CBS	2	None	100	YES	100	100	1	<$>95254</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	100	1	8	12	16	20	10701	10702	10705	10704	10706	<$>3190</>	<$>95049</>	<$>95064</>	<$>95253</>	<$>95068</>	0	0	0	0	0	0	None	1.8	0	0	40	5	10	0	1	1.1	15	0	0	0	0	YES	<$>63332</>	NO	115	YES	10012
ATTACKER	PC_ARUN_MGMI	1150	PC_ASTD_MGMI	PC_ATK_MGMI	PC_ATKDN_MGMI	2	Uni	1	Single	None	0	None	10800	MiddleGuardMI	MELEE	100	1	None	<$>67478</>	Middle-guard of spirit	None	YES	stn_middleguardmi	NO	NO	NO	0	200	NO	1	0	0.32	0	0	0	0	0	_MGMI	0	None	100	YES	175	100	0	<$>63456</>	YES	1	469	regenerate	12	0	0	0	0	0	0	0	100	1	4	0	12	16	10801	10802	0	10804	10805	<$>101371</>	<$>60078</>	none	<$>59220</>	<$>60086</>	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10001
ATTACKER	PC_ARUN_TBMI	1500	PC_ASTD_TBMI	PC_ATK_TBMI	PC_ATKDN_TBMI	2	Uni	1	Double	PC_BLK_TBMI	0	None	10810	TwinBladesMI	MELEE	100	1	None	<$>67479</>	Twin blades of spirit	None	YES	stn_twinbladesmi	NO	NO	NO	0	200	NO	1	0	0.32	0	0	0	0	0	_TBMI	1	None	100	YES	150	100	0	<$>63457</>	YES	1	469	regenerate	36	0	0	0	0	0	0	0	100	1	0	8	0	16	10811	0	10813	0	10815	<$>60089</>	none	<$>60092</>	none	<$>60082</>	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10001
ATTACKER	PC_ARUN_MGMI	1817	PC_ASTD_LGMI	PC_ATK_LGMI	PC_ATKDN_LGMI	2	Uni	1	Single	None	0	None	10820	LowGuardMI	MELEE	100	1	None	<$>67443</>	Low-guard	None	YES	stn_lowguardmi	NO	NO	NO	0	200	NO	1.2	0	0.48	0	0	0	0	0	_LGMI	0	None	100	YES	175	100	0	<$>63385</>	YES	2	469	regenerate	100	1	0	0	0	0	10800	25	100	1	4	0	12	16	10821	10822	0	10824	10825	<$>59254</>	<$>59258</>	none	<$>59262</>	<$>59265</>	0	0	0	0	0	0	None	1.2	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10001
ATTACKER	PC_ARUN_RPE2	1567	PC_ASTD_RPE2	PC_ATK_RPE2	PC_ATKDN_RPE2	2	Uni	1	Double	PC_BLK_RPE2	0	LH	10400	Rapiere2	MELEE	110	1	Block	<$>73727</>	Rapiere Of Grim	None	YES	stn_rapiere	NO	NO	NO	0	200	NO	1	1.2	0.75	0.4	0.4	1	0	0	_RPE2	1	None	90	YES	125	100	0	<$>63395</>	YES	1	469	regenerate	100	2	0	0	0	0	0	0	90	1	8	12	16	20	10331	10402	10403	10404	10405	<$>59233</>	<$>59326</>	<$>59330</>	<$>59333</>	<$>59351</>	0	0	0	0	0	0	None	1.8	5	0	55	0	5	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10012
