CashItemGroup	ClassID	CoolDown	RicoExchange	SetPeriod	WorldMsg	ability	arg1	arg2	cost	hour	itemID	itemname	min	period
Package	11001	0	0	0	0	PACKAGE	0	0	30000	0	88001	<$>29988</>	0	0
Package	11009	0	0	0	0	PACKAGE	0	0	30000	0	88101	<$>29988</>	0	0
Package	11012	0	0	0	0	PACKAGE	0	0	3000	0	88119	<$>30021</>	0	0
Package	11020	0	0	0	0	PACKAGE	0	0	3500	0	88121	<$>29987</>	0	0
Etc	100001	0	0	0	0	PACKAGE	0	0	2000	0	88909	<$>37481</>	0	0
Etc	100002	0	0	0	0	PACKAGE	0	0	1500	0	88901	<$>37465</>	0	0
Etc	100003	0	0	0	0	PACKAGE	0	0	1700	0	88902	<$>37467</>	0	0
Etc	100004	0	0	0	0	PACKAGE	0	0	3000	0	88903	<$>37469</>	0	0
Etc	100005	0	0	0	0	PACKAGE	0	0	1000	0	88904	<$>37471</>	0	0
Etc	100006	0	0	0	0	PACKAGE	0	0	1000	0	88905	<$>37473</>	0	0
Etc	100007	0	0	0	0	PACKAGE	0	0	1000	0	88906	<$>37475</>	0	0
Etc	100008	0	0	0	0	PACKAGE	0	0	1000	0	88907	<$>37477</>	0	0
Etc	100009	0	0	0	0	PACKAGE	0	0	1000	0	88908	<$>37479</>	0	0
Etc	100010	0	0	0	0	PACKAGE	0	0	3400	0	88910	<$>37481</>	0	0
Etc	100011	0	0	0	0	PACKAGE	0	0	3000	0	88912	<$>37486</>	0	0
Etc	100012	0	0	0	0	PACKAGE	0	0	2200	0	88913	<$>100611</>	0	0
Etc	100013	0	0	0	0	PACKAGE	0	0	1800	0	88914	<$>29990</>	0	0
Etc	100014	0	0	0	0	PACKAGE	0	0	2980	0	88920	<$>37496</>	0	0
Etc	100015	0	0	0	0	PACKAGE	0	0	4980	0	88921	<$>37498</>	0	0
Etc	100016	0	0	0	0	PACKAGE	0	0	2200	0	88988	<$>37581</>	0	0
Etc	100017	0	0	0	0	none	0	0	5000	0	88989	<$>37583</>	0	0
Etc	100018	0	0	0	0	PACKAGE	0	0	5500	0	88990	<$>37585</>	0	0
Etc	100019	0	0	0	0	PACKAGE	0	0	2800	0	88991	<$>37586</>	0	0
Etc	100020	0	0	0	0	PACKAGE	0	0	3200	0	88992	<$>37588</>	0	0
Etc	100021	0	0	0	0	PACKAGE	0	0	2900	0	88993	<$>37590</>	0	0
Etc	100022	0	0	0	0	PACKAGE	0	0	3400	0	88994	<$>37592</>	0	0
Etc	100023	0	0	0	0	PACKAGE	0	0	4900	0	88995	<$>30029</>	0	0
Etc	100024	0	0	0	0	PACKAGE	0	0	4900	0	88996	<$>30031</>	0	0
Etc	100025	0	0	0	0	none	0	0	1800	0	88997	<$>117736</>	0	0
Etc	100026	0	0	0	0	PACKAGE	0	0	6300	0	88998	<$>37848</>	0	0
Etc	100027	0	0	0	0	PACKAGE	0	0	4200	0	88999	<$>37850</>	0	0
Etc	100028	0	0	0	0	PACKAGE	0	0	2100	0	89000	<$>37852</>	0	0
Etc	100029	0	0	0	0	PACKAGE	0	0	3000	0	89001	<$>37854</>	0	0
Etc	100030	0	0	0	0	PACKAGE	0	0	2700	0	89002	<$>37856</>	0	0
Etc	100031	0	0	0	0	PACKAGE	0	0	2000	0	89003	<$>74488</>	0	0
Etc	100032	0	0	0	0	PACKAGE	0	0	500	0	89004	<$>37860</>	0	0
Etc	100033	0	0	0	0	PACKAGE	0	0	10	0	89006	<$>37864</>	0	0
Etc	100034	0	0	0	0	PACKAGE	0	0	20	0	89007	<$>37866</>	0	0
Etc	100035	0	0	0	0	PACKAGE	0	0	30	0	89008	<$>37868</>	0	0
Etc	100036	0	0	0	0	PACKAGE	0	0	40	0	89009	<$>37870</>	0	0
Etc	100037	0	0	0	0	PACKAGE	0	0	3000	0	155006	<$>37894</>	0	0
Etc	100038	0	0	0	0	PACKAGE	0	0	500	0	155020	<$>37924</>	0	0
Etc	100039	0	0	0	0	PACKAGE	0	0	700	0	155021	<$>37926</>	0	0
Etc	100040	0	0	0	0	PACKAGE	0	0	1000	0	155022	<$>37928</>	0	0
Etc	100041	0	0	0	0	PACKAGE	0	0	500	0	155034	<$>37951</>	0	0
Etc	100042	0	0	0	0	PACKAGE	0	0	1000	0	155035	<$>37953</>	0	0
Package	100043	0	0	0	0	PACKAGE	0	0	120	0	157028	<$>76347</>	0	0
Period	12001	0	0	0	0	EXPUP	0	0	30000	0	88102	<$>30042</>	0	30
Period	12002	0	0	0	0	EXPUP	0	0	500	0	88103	<$>30043</>	0	30
Period	12003	0	0	0	0	EXPUP	0	0	30000	0	88104	<$>30044</>	0	30
Period	12004	0	0	0	0	EXPUP	0	0	1000	0	88105	<$>30045</>	0	30
Period	12005	0	0	0	0	STNUP	0	0	30000	0	88106	<$>30046</>	0	30
Period	12006	0	0	0	0	STNUP	0	0	500	0	88107	<$>30047</>	0	30
Period	12007	0	0	0	0	STNUP	0	0	30000	0	88108	<$>30048</>	0	30
Period	12008	0	0	0	0	STNUP	0	0	600	0	88109	<$>30049</>	0	30
Period	12009	0	0	0	0	WARP	5	0	300	0	88113	<$>30050</>	0	30
Period	12010	0	0	0	0	DROPUP	0	0	2200	0	88305	<$>30051</>	0	30
Period	12011	0	0	0	0	DROPUP	0	0	4400	0	88306	<$>30052</>	0	30
Period	12012	0	0	0	0	DROPUP	0	0	6600	0	88307	<$>30053</>	0	30
Period	12013	0	0	0	0	DROPUP	0	0	7700	0	88308	<$>30054</>	0	30
Period	12018	0	0	0	0	INVSLOT	0	0	200	0	88048	<$>30055</>	0	30
Period	12019	0	0	0	0	INVSLOT	0	0	300	0	88050	<$>30056</>	0	30
Period	12024	0	0	0	0	none	0	0	500	0	42601	<$>30061</>	0	30
Period	12025	0	0	0	0	none	0	0	500	0	42602	<$>30062</>	0	30
Period	12026	0	0	0	0	none	0	0	500	0	42603	<$>30063</>	0	30
Period	12027	0	0	0	0	none	0	0	300	0	42604	<$>30064</>	0	30
Period	12028	0	0	0	0	none	0	0	300	0	42605	<$>30065</>	0	30
Period	12029	0	0	0	0	none	0	0	300	0	42606	<$>30066</>	0	30
Period	12030	0	0	0	0	none	0	0	300	0	42607	<$>30067</>	0	30
Period	12031	0	0	0	0	none	0	0	300	0	42608	<$>30068</>	0	30
Period	12032	0	0	0	0	none	0	0	300	0	42609	<$>30069</>	0	30
Period	12033	0	0	0	0	none	0	0	300	0	42610	<$>30070</>	0	30
Period	12034	0	0	0	0	none	0	0	300	0	42611	<$>30071</>	0	30
Period	12035	0	0	0	0	none	0	0	300	0	42612	<$>30072</>	0	30
Period	12036	0	0	0	0	none	0	0	300	0	42613	<$>30073</>	0	30
Period	12037	0	0	0	0	none	0	0	300	0	42614	<$>30074</>	0	30
Period	12038	0	0	0	0	none	0	0	300	0	42615	<$>30075</>	0	30
Period	12039	0	0	0	0	none	0	0	300	0	42616	<$>30076</>	0	30
Period	12040	0	0	0	0	none	0	0	300	0	42617	<$>30077</>	0	30
Period	12041	0	0	0	0	none	0	0	300	0	42618	<$>30078</>	0	30
Period	12042	0	0	0	0	none	0	0	300	0	42619	<$>30079</>	0	30
Period	12043	0	0	0	0	none	0	0	300	0	42620	<$>30080</>	0	30
Period	12044	0	0	0	0	none	0	0	300	0	42621	<$>30081</>	0	30
