ClassID	Group	LimitGroup	Ratio	RetryItem	RetryItemCount	TableName
1	0	6	0	None	0	GLimit_Anc_CasM
2	1	0	4620	None	0	None
3	2	0	20000	None	0	None
4	3	0	40000	None	0	None
5	4	0	95920	None	0	None
6	5	0	95920	None	0	None
7	6	0	95920	None	0	None
8	51	0	10000	None	0	None
9	431	0	10000	None	0	None
10	451	0	10000	None	0	None
11	461	0	3000	None	0	None
12	521	0	95920	None	0	None
13	551	0	4500	None	0	None
14	571	0	95920	None	0	None
15	641	0	1000	None	0	None
16	701	0	1000	None	0	None
17	711	0	1000	None	0	None
18	721	0	2000	None	0	None
19	741	0	95920	None	0	None
20	751	0	95920	None	0	None
21	761	0	500	None	0	None
22	831	0	1000	None	0	None
23	841	0	500	None	0	None
24	851	0	1000	None	0	None
25	861	0	10000	None	0	None
26	911	0	10000	None	0	None
27	921	0	95920	None	0	None
28	931	0	95920	None	0	None
29	941	0	1000	None	0	None
30	951	0	500	None	0	None
31	981	0	500	None	0	None
32	991	0	500	None	0	None
33	1001	0	500	None	0	None
34	1031	0	250	None	0	None
35	1041	0	250	None	0	None
36	1051	0	200	None	0	None
37	1191	0	200	None	0	None
38	1201	0	200	None	0	None
39	2051	0	150	None	0	None
40	0	6	0	None	0	GLimit_Anc_TB
41	1	0	4620	None	0	None
42	2	0	20000	None	0	None
43	3	0	40000	None	0	None
44	4	0	95920	None	0	None
45	5	0	95920	None	0	None
46	6	0	95920	None	0	None
47	51	0	10000	None	0	None
48	431	0	10000	None	0	None
49	451	0	10000	None	0	None
50	461	0	3000	None	0	None
51	521	0	95920	None	0	None
52	551	0	4500	None	0	None
53	571	0	95920	None	0	None
54	641	0	1000	None	0	None
55	701	0	1000	None	0	None
56	711	0	1000	None	0	None
57	721	0	2000	None	0	None
58	741	0	95920	None	0	None
59	751	0	95920	None	0	None
60	761	0	500	None	0	None
61	831	0	1000	None	0	None
62	841	0	500	None	0	None
63	851	0	1000	None	0	None
64	861	0	10000	None	0	None
65	911	0	10000	None	0	None
66	921	0	95920	None	0	None
67	931	0	95920	None	0	None
68	941	0	1000	None	0	None
69	951	0	500	None	0	None
70	981	0	500	None	0	None
71	991	0	500	None	0	None
72	1001	0	500	None	0	None
73	1031	0	250	None	0	None
74	1041	0	250	None	0	None
75	1051	0	200	None	0	None
76	1191	0	200	None	0	None
77	1201	0	200	None	0	None
78	2051	0	150	None	0	None
79	0	6	0	None	0	GLimit_Anc_ChM
80	1	0	1	None	0	None
81	2	0	1	None	0	None
82	3	0	30000	None	0	None
83	4	0	30000	None	0	None
84	5	0	25000	None	0	None
85	6	0	14660	None	0	None
86	51	0	10	None	0	None
87	431	0	1500	None	0	None
88	451	0	1000	None	0	None
89	461	0	1000	None	0	None
90	521	0	50	None	0	None
91	551	0	10	None	0	None
92	571	0	10	None	0	None
93	641	0	10	None	0	None
94	701	0	10	None	0	None
95	711	0	10	None	0	None
96	721	0	10	None	0	None
97	741	0	10	None	0	None
98	751	0	10	None	0	None
99	761	0	10	None	0	None
100	831	0	10	None	0	None
101	841	0	10	None	0	None
102	851	0	10	None	0	None
103	861	0	10	None	0	None
104	911	0	1200	None	0	None
105	921	0	1200	None	0	None
106	931	0	1200	None	0	None
107	941	0	5	None	0	None
108	951	0	1200	None	0	None
109	981	0	1000	None	0	None
110	991	0	100	None	0	None
111	1001	0	100	None	0	None
112	1031	0	1200	None	0	None
113	1041	0	1200	None	0	None
114	1051	0	5	None	0	None
115	1191	0	5	None	0	None
116	1201	0	5	None	0	None
117	2051	0	10	None	0	None
118	0	111	0	Vis	25000	GLimit_Anc_PTV
119	111	0	30000	None	0	None
120	271	0	2500	None	0	None
121	421	0	10000	None	0	None
122	431	0	10000	None	0	None
123	451	0	500	None	0	None
124	461	0	10000	None	0	None
125	931	0	20000	None	0	None
126	951	0	17000	None	0	None
127	0	111	0	Vis	50000	GLimit_Anc_TOR
128	111	0	30000	None	0	None
129	271	0	2700	None	0	None
130	422	0	5000	None	0	None
131	442	0	5000	None	0	None
132	451	0	1000	None	0	None
133	461	0	10000	None	0	None
134	931	0	20000	None	0	None
135	951	0	17000	None	0	None
136	1700	0	3100	None	0	None
137	1701	0	3100	None	0	None
138	1711	0	3100	None	0	None
139	0	121	0	Vis	100000	GLimit_Anc_JAQ
140	1	0	10000	None	0	None
141	41	0	500	None	0	None
142	71	0	8500	None	0	None
143	121	0	30000	None	0	None
144	271	0	5000	None	0	None
145	451	0	1000	None	0	None
146	921	0	20000	None	0	None
147	931	0	20000	None	0	None
148	1721	0	5000	None	0	None
149	0	121	0	Vis	200000	GLimit_Anc_UST
150	1	0	5000	None	0	None
151	41	0	100	None	0	None
152	71	0	8500	None	0	None
153	121	0	20000	None	0	None
154	451	0	100	None	0	None
155	621	0	100	None	0	None
156	951	0	10000	None	0	None
157	1011	0	500	None	0	None
158	1021	0	500	None	0	None
159	1031	0	15000	None	0	None
160	1041	0	15000	None	0	None
161	1111	0	15000	None	0	None
162	1141	0	1000	None	0	None
163	1221	0	500	None	0	None
164	1731	0	8700	None	0	None
165	0	121	0	Vis	300000	GLimit_Anc_BAH
166	1	0	5000	None	0	None
167	41	0	100	None	0	None
168	71	0	10200	None	0	None
169	121	0	20000	None	0	None
170	451	0	100	None	0	None
171	631	0	100	None	0	None
172	951	0	10000	None	0	None
173	991	0	1000	None	0	None
174	1021	0	1000	None	0	None
175	1031	0	17000	None	0	None
176	1041	0	17000	None	0	None
177	1111	0	17000	None	0	None
178	1151	0	1000	None	0	None
179	1231	0	500	None	0	None
180	0	121	0	Vis	1000000	GLimit_Anc_SED
181	1	0	5000	None	0	None
182	41	0	200	None	0	None
183	71	0	10000	None	0	None
184	121	0	20000	None	0	None
185	381	0	500	None	0	None
186	451	0	500	None	0	None
187	581	0	10000	None	0	None
188	591	0	1000	None	0	None
189	701	0	1000	None	0	None
190	861	0	17000	None	0	None
191	951	0	17000	None	0	None
192	1031	0	17000	None	0	None
193	1051	0	100	None	0	None
194	1161	0	300	None	0	None
