ClassID	Count	ItemID	ItemName	PriceItemID	Type
1	0	42190	<$>28972</>	0	1
2	0	42178	<$>28960</>	0	1
5	0	42183	<$>28965</>	0	1
8	500000	42052	<$>29737</>	30001	1
9	500000	42053	<$>29738</>	30001	1
10	500000	42056	<$>29739</>	30001	1
11	500000	42055	<$>29740</>	30001	1
12	500000	42054	<$>29741</>	30001	1
23	0	42191	<$>28973</>	0	1
26	0	42179	<$>28961</>	0	1
27	0	42526	<$>29013</>	0	1
28	0	42532	<$>29019</>	0	1
29	0	42527	<$>29014</>	0	1
30	0	42533	<$>29020</>	0	1
31	0	42528	<$>29015</>	0	1
32	0	42534	<$>29021</>	0	1
33	0	42523	<$>29010</>	0	1
34	0	42529	<$>29016</>	0	1
35	0	42524	<$>29011</>	0	1
36	0	42530	<$>29017</>	0	1
37	0	42525	<$>29012</>	0	1
38	0	42531	<$>29018</>	0	1
43	0	42193	<$>28975</>	0	1
48	0	180029	<$>29054</>	0	1
51	0	42130	<$>28924</>	0	1
63	0	180006	<$>29043</>	0	1
75	0	42192	<$>28974</>	0	1
83	0	180013	<$>29048</>	0	1
85	0	180027	<$>29052</>	0	1
88	0	180018	<$>29049</>	0	1
90	0	180005	<$>29042</>	0	1
93	0	180003	<$>29041</>	0	1
94	0	42180	<$>28962</>	0	1
97	0	180008	<$>29045</>	0	1
99	0	42222	<$>29345</>	0	1
100	0	42238	<$>29007</>	0	1
101	0	42239	<$>29008</>	0	1
102	0	42240	<$>29009</>	0	1
103	0	180028	<$>29053</>	0	1
104	0	42194	<$>28976</>	0	1
107	0	180002	<$>29040</>	0	1
110	0	42181	<$>28963</>	0	1
111	0	42186	<$>28968</>	0	1
114	0	180019	<$>29050</>	0	1
115	0	180026	<$>29051</>	0	1
121	0	42121	<$>28917</>	0	1
124	0	42182	<$>28964</>	0	1
126	0	180001	<$>29039</>	0	1
127	0	42184	<$>28966</>	0	1
130	0	180007	<$>29044</>	0	1
133	0	42185	<$>28967</>	0	1
137	0	42187	<$>28969</>	0	1
175	0	42129	<$>28923</>	0	1
180	500000	42080	<$>28826</>	30001	1
181	500000	42085	<$>28831</>	30001	1
182	500000	42073	<$>28820</>	30001	1
184	500000	42071	<$>29744</>	30001	1
185	500000	42076	<$>28825</>	30001	1
186	500000	42029	<$>28836</>	30001	1
187	500000	42081	<$>28827</>	30001	1
188	500000	42078	<$>28829</>	30001	1
189	300000	42522	<$>29745</>	30001	1
191	500000	42079	<$>28821</>	30001	1
193	500000	42084	<$>28830</>	30001	1
194	500000	42030	<$>28837</>	30001	1
195	500000	42036	<$>28841</>	30001	1
196	500000	42023	<$>28833</>	30001	1
197	500000	42037	<$>28842</>	30001	1
198	500000	42034	<$>28840</>	30001	1
199	500000	42075	<$>28819</>	30001	1
200	500000	42025	<$>28834</>	30001	1
206	500000	42038	<$>28843</>	30001	1
