ClassID	ClassName	CommPoint	EGiveVisValue	ETakeVisValue	EndExMail1	EndExMail2	EndExMailValue1	EndExMailValue2	EndImage1	EndImage2	EndImage3	EndProperty1	EndProperty2	EndProperty3	EndProperty4	EndProperty5	EndPropertyValue1	EndPropertyValue2	EndPropertyValue3	EndPropertyValue4	EndPropertyValue5	EndScript1	EndScript2	EndScript3	GiveRItem1	GiveRItem2	GiveRItem3	GiveRItemValue1	GiveRItemValue2	GiveRItemValue3	LastScript	LastScriptImage	TakeQItem1	TakeQItem2	TakeQItem3	TakeQItemValue1	TakeQItemValue2	TakeQItemValue3
68	Nquest_00068_quit	7	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_10_b	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
69	Nquest_00069_quit	7	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_10_b	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
70	Nquest_00070_quit	7	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_10_b	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
71	Nquest_00071_quit	7	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_10_b	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
72	Nquest_00072_quit	7	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_10_c	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
172	Nquest_00172_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_Veteran_n	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
202	Nquest_00202_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_90_n	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
223	Nquest_00223_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_Veteran_n	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
230	Nquest_00230_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_Veteran_n	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
272	Nquest_00272_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_Veteran_n	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
277	Nquest_00277_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_Veteran_n	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
283	Nquest_00283_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_Veteran_n	None	None	1	0	0	<$>101171</>	None	None	None	None	0	0	0
1001001	Add_1001001_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_Veteran_n	None	None	1	0	0	<$>52106</>	None	None	None	None	0	0	0
1002001	Add_1002001_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_Veteran_n	None	None	1	0	0	<$>52106</>	None	None	None	None	0	0	0
1003001	Add_1003001_quit	32	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	EXPCard_Veteran_n	None	None	1	0	0	<$>52106</>	None	None	None	None	0	0	0
140001	JPNEv_1401_quit	0	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	0	0	0	<$>101172</>	None	None	None	None	0	0	0
140002	JPNEv_1402_quit	0	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	0	0	0	<$>101172</>	None	None	None	None	0	0	0
140003	JPNEv_1403_quit	0	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	0	0	0	<$>101172</>	None	None	None	None	0	0	0
140004	JPNEv_1404_quit	0	0	0	None	None	0	0	None	None	None	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	0	0	0	<$>101172</>	None	None	None	None	0	0	0
