AiRange	AutoCheck	AutoDuel	BgName	BgmPlayList	ChangeChannel	Channel	ChaseLimit	ClassID	ClassName	CliqueWar	ColBan	ColGenX	ColGenY	ColGenZ	ColonyEXP	ColonyX	ColonyY	ColonyZ	Continent	DefGenPosX	DefGenPosY	DefGenPosZ	Desc	DropItem1Freq	DropItem1ID	DropItem2Freq	DropItem2ID	DropItem3Freq	DropItem3ID	DropItem4Freq	DropItem4ID	DropItem5Freq	DropItem5ID	DropItem6Freq	DropItem6ID	DropItem7Freq	DropItem7ID	EnablePK	EngName	FlagCount	GetRestart	HeldWepn	HideEnemyPhrase	Info	ItemGroup	ItemPriorityTime	ItemViewDist	LeaveTime	LoadingImg	LockWarp	LockWarpCommLV	LockWarpSaveId	MapTitleFont1	MapTitleFont2	MinimapFile	MinimapLength	MinimapOffsetX	MinimapOffsetY	Mission	MonCache	MonViewDist	MonsterDropBlock	MovableZone	Name	NewPVPRule	NoMIC	Note	PartyBuff	PartyWar	PcCache	PcViewDist	QuestWarp	RecallRequestAble	RecallTakeAble	RewardEXPBM	RewardItemBM	SaveWarp	Thumbnail	TokName	TriggerViewDist	Tutorial	Type	UseAIAnyWhere	UseGlobalDrop	UseInitScp	UseItemCoolDown	UseReturnScroll	UseTeleportScroll	UserShop	ViewMiddleRange	ViewRange	WarGroup	WayPointX	WayPointY	WayPointZ	WorldMapName	ZoneItem	ZoneScript	vsMon	vsPC
2500	FALSE	FALSE	fld_reb	Reboldoeux_Field	TRUE	3	5	200	fld_reb	FALSE	0	0	0	0	1	-86	-4105	1457	GranadoEspada	-24	-2320	1452	<$>47338</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	Reboldoeux Queen's Gate	3	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	fld_reb.jpg	28800	-75.901	4051.61	FALSE	TRUE	3200	FALSE	None	<$>47338</>	0	0	<$>47337</>	TRUE	FALSE	TRUE	3000	None	TRUE	TRUE	1	1	TRUE	thumb_fld_reb.jpg	fld_reb	6000	FALSE	PARTYWAR	NO	1	0	1	TRUE	FALSE	TRUE	4000	6000	0	-86	-4105	1457	reb_basic_btn	None	None	TRUE	FALSE
2500	TRUE	FALSE	btl_ttr03	Battle_Field_2	TRUE	3	5	510	btl_ttr03	FALSE	214	-12254	35556	7521	0	-12254	35556	7521	GranadoEspada	-37839	23580	3807	<$>28803</>	1000	21204	1000	21207	1000	21206	0	0	0	0	0	0	0	0	TRUE	Topolo Durga	3	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	btl_ttr03.jpg	129932.047	-16064.148	28785.754	FALSE	TRUE	3200	FALSE	None	<$>28803</>	0	0	<$>47365</>	TRUE	TRUE	TRUE	3000	None	TRUE	TRUE	1	1	TRUE	thumb_btl_ttr03.jpg	btl_ttr03	6000	FALSE	COLONYWAR	NO	1	0	1	TRUE	TRUE	TRUE	4000	6000	0	-37839	23580	3807	btl_ttr03_btn	btl_ttr03	None	TRUE	FALSE
2500	TRUE	FALSE	btl_reb05	Battle_Field_8	TRUE	3	5	1165	btl_reb05	FALSE	202	23788	7549	4225	0	24019	8027	4225	GranadoEspada	2700	15826	3043	<$>28798</>	15000	21808	1000	21617	0	0	0	0	0	0	0	0	0	0	TRUE	Lago Celeste	3	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	btl_reb05.jpg	72800	16000	6100	FALSE	TRUE	3200	FALSE	None	<$>28798</>	0	0	<$>47373</>	TRUE	TRUE	TRUE	3000	None	TRUE	TRUE	1.8	1	TRUE	thumb_btl_reb05.jpg	btl_reb05	6000	FALSE	COLONYWAR	NO	1	0	1	TRUE	TRUE	TRUE	4000	6000	0	2700	15826	3043	btl_reb05_btn	btl_reb05	None	TRUE	FALSE
2500	TRUE	FALSE	btl_reb06	Javier_Field	TRUE	3	5	1166	btl_reb06	FALSE	0	0	0	0	1	0	0	0	GranadoEspada	-19771	-15829	487	<$>47375</>	2700	21807	150	75362	300	21608	0	0	0	0	0	0	0	0	TRUE	Veags Javier	3	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	btl_reb06.jpg	63500	-28000	-23300	FALSE	TRUE	3200	FALSE	None	<$>47375</>	0	0	<$>47374</>	TRUE	FALSE	TRUE	3000	None	TRUE	TRUE	1	1	TRUE	thumb_btl_reb06.jpg	btl_reb06	6000	FALSE	PARTYWAR	NO	1	0	1	TRUE	TRUE	TRUE	4000	6000	0	-19771	-15829	487	btl_reb06_btn	btl_reb06	None	TRUE	FALSE
2500	FALSE	FALSE	fld_auch	Auch_Field	TRUE	3	5	1331	fld_auch	FALSE	0	0	0	0	1	-977	710	12	GranadoEspada	-406	1034	19	<$>10118</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	Thueringen Lakeside	3	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	fld_auch.jpg	46200	3750	-5150	FALSE	TRUE	3200	FALSE	None	<$>10118</>	0	0	<$>47377</>	TRUE	FALSE	TRUE	3000	None	TRUE	TRUE	1	1	TRUE	thumb_fld_auch.jpg	fld_auch	6000	FALSE	PARTYWAR	NO	1	0	1	TRUE	FALSE	TRUE	4000	6000	0	-419	870	19	auch_basic_btn	None	None	TRUE	FALSE
2500	TRUE	FALSE	dun_jaq05	Jaquin	TRUE	3	5	3323	dun_jaq05	FALSE	0	0	0	0	1	19940	-23442	-50	GranadoEspada	19940	-23442	-50	<$>47402</>	20000	21818	0	0	500	21608	5000	21620	0	0	0	0	0	0	TRUE	Prision de Jaquin, Torture chamber	3	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_jaq05.jpg	70400	1750	-950	FALSE	TRUE	3200	FALSE	None	<$>47402</>	0	0	<$>47401</>	TRUE	FALSE	TRUE	3000	None	TRUE	TRUE	1.2	1.2	TRUE	thumb_dun_jaq02.jpg	dun_jaq05	6000	FALSE	PARTYWAR	NO	1	0	1	TRUE	TRUE	TRUE	4000	6000	0	19940	-23442	-50	fld_jaq_btn	dun_jaq05	None	TRUE	FALSE
2500	TRUE	FALSE	btl_jaq04	Battle_Field_9	TRUE	3	5	3364	btl_jaq04	FALSE	0	0	0	0	1	0	0	0	GranadoEspada	-1220	-4987	326	<$>47414</>	20000	21813	100	21888	0	0	0	0	0	0	0	0	0	0	TRUE	El Ruina de Memoria	2	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	btl_jaq04.jpg	60050	970	4300	FALSE	TRUE	3200	FALSE	None	<$>47414</>	0	0	<$>47413</>	TRUE	FALSE	TRUE	3000	None	TRUE	TRUE	0.9	1	TRUE	thumb_btl_jaq04.jpg	btl_jaq04	6000	FALSE	PARTYWAR	NO	1	0	1	TRUE	TRUE	TRUE	4000	6000	0	-1220	-4987	326	btl_jaq04_btn	btl_jaq04	None	TRUE	FALSE
2500	TRUE	FALSE	dun_jaq_boss	Jaquin_Boss	FALSE	3	5	3399	dun_jaq_boss	FALSE	0	0	0	0	1	6778	38	10	GranadoEspada	6778	38	10	<$>8318</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	Prision de Jaquin, Corridor of Assize	3	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_jaq_boss.jpg	31400	160	0	FALSE	TRUE	3200	FALSE	None	<$>8318</>	0	0	<$>47417</>	TRUE	FALSE	TRUE	3000	None	FALSE	TRUE	1	1	FALSE	thumb_dun_jaq_boss.jpg	dun_jaq_boss	6000	FALSE	PARTYWAR	NO	1	0	1	TRUE	TRUE	TRUE	4000	6000	0	6778	38	10	fld_jaq_btn	dun_jaq_boss	None	TRUE	FALSE
2500	TRUE	FALSE	dun_tor04	Torsche_2	TRUE	3	5	3513	dun_tor04	FALSE	0	0	0	0	1	0	0	0	GranadoEspada	336	-3314	1	<$>6029</>	15	21170	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	Annex to Torsche's Mansion	3	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_tor04.jpg	80900	3500	3200	FALSE	TRUE	3200	FALSE	None	<$>6029</>	0	0	<$>47430</>	TRUE	FALSE	TRUE	3000	None	FALSE	TRUE	1	1	TRUE	thumb_dun_tor04.jpg	dun_tor04	6000	FALSE	PARTYWAR	NO	1	0	1	TRUE	TRUE	TRUE	4000	6000	0	336	-3314	1	fld_tor_btn	dun_tor04	None	TRUE	FALSE
2500	TRUE	FALSE	dun_alq04	Silence	TRUE	3	5	3605	dun_alq04	FALSE	0	0	0	0	1	0	0	0	GranadoEspada	30087	-2033	0	<$>47445</>	0	0	2700	21812	0	0	0	0	0	0	0	0	0	0	TRUE	Rion Dungeon, Corridor	3	None	TRUE	0	None	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_alq04.jpg	80910.547	3450.278	348.531	FALSE	TRUE	3200	FALSE	None	<$>47445</>	0	0	<$>47442</>	TRUE	FALSE	TRUE	3000	None	TRUE	TRUE	1	1	TRUE	thumb_dun_alq04.jpg	dun_alq04	6000	FALSE	PARTYWAR	NO	1	0	1	TRUE	TRUE	TRUE	4000	6000	0	30087	-2033	0	btl_reb03_btn	None	None	TRUE	FALSE
