Arbitrary	ClassID	ClassName	GroupName	ItemID	ItemName
1	1	SHOP_ETC_LEONARDO_1	ETC_LEONARDO	21006	WarpScroll
1	2	SHOP_ETC_LEONARDO_2	ETC_LEONARDO	20022	TeleportScrollreb
1	3	SHOP_ETC_LEONARDO_3	ETC_LEONARDO	20023	TeleportScrollcoim
1	4	SHOP_ETC_LEONARDO_4	ETC_LEONARDO	20024	TeleportScrollauch
1	5	SHOP_ETC_LEONARDO_5	ETC_LEONARDO	23234	ScanCommand
1	6	SHOP_ETC_LEONARDO_6	ETC_LEONARDO	88215	StatReset
1	7	SHOP_ETC_LEONARDO_7	ETC_LEONARDO	21039	StanceSkillReset
1	8	SHOP_ETC_LEONARDO_8	ETC_LEONARDO	21165	TorscheGear
1	9	SHOP_ETC_LEONARDO_9	ETC_LEONARDO	21166	TorscheSpring
1	10	SHOP_ETC_LEONARDO_10	ETC_LEONARDO	21167	TorscheClock
1	11	SHOP_ETC_LEONARDO_11	ETC_LEONARDO	21602	CastIron
1	12	SHOP_ETC_LEONARDO_12	ETC_LEONARDO	21601	CompositeSteel
1	13	SHOP_ETC_LEONARDO_13	ETC_LEONARDO	21603	Juniper
1	57909	SHOP_FESO_ITEMSHOP_57909	FESO_ITEMSHOP	22112	Card_BerneliSniper
1	57910	SHOP_FESO_ITEMSHOP_57910	FESO_ITEMSHOP	20623	Constellation_Box
1	57911	SHOP_FESO_ITEMSHOP_57911	FESO_ITEMSHOP	23345	Manual_Rocking
1	57912	SHOP_FESO_ITEMSHOP_57912	FESO_ITEMSHOP	21511	Rafflesia_Leaf
1	57913	SHOP_FESO_ITEMSHOP_57913	FESO_ITEMSHOP	21510	PlatinumMaul
1	57914	SHOP_FESO_ITEMSHOP_57914	FESO_ITEMSHOP	21524	Scale_uraeus
1	57918	SHOP_FESO_ITEMSHOP_57918	FESO_ITEMSHOP	21704	BossKey_JAQ
1	57926	SHOP_FESO_ITEMSHOP_57926	FESO_ITEMSHOP	21192	SkelViscountRing
1	57927	SHOP_FESO_ITEMSHOP_57927	FESO_ITEMSHOP	21316	DevilsWhisper
1	57928	SHOP_FESO_ITEMSHOP_57928	FESO_ITEMSHOP	21181	BoneStick
1	57929	SHOP_FESO_ITEMSHOP_57929	FESO_ITEMSHOP	21246	EldoomWing
1	57930	SHOP_FESO_ITEMSHOP_57930	FESO_ITEMSHOP	21460	PromotionStance
1	57935	SHOP_FESO_ITEMSHOP_57935	FESO_ITEMSHOP	21214	WolfsFur
1	57936	SHOP_FESO_ITEMSHOP_57936	FESO_ITEMSHOP	21808	RedJewel3
1	57937	SHOP_FESO_ITEMSHOP_57937	FESO_ITEMSHOP	21243	Marble
1	57938	SHOP_FESO_ITEMSHOP_57938	FESO_ITEMSHOP	21213	IceCrystal
1	57939	SHOP_FESO_ITEMSHOP_57939	FESO_ITEMSHOP	21110	BulkCoal
1	57940	SHOP_FESO_ITEMSHOP_57940	FESO_ITEMSHOP	21199	Aidanium_Pure
1	57941	SHOP_FESO_ITEMSHOP_57941	FESO_ITEMSHOP	25512	BloodredRose
1	57942	SHOP_FESO_ITEMSHOP_57942	FESO_ITEMSHOP	25513	PerfectHornOfUnicorn
1	57943	SHOP_FESO_ITEMSHOP_57943	FESO_ITEMSHOP	25514	TyrannoClaw
1	57959	SHOP_FESO_ITEMSHOP_57959	FESO_ITEMSHOP	189207	CliqueChange_JPN
1	57960	SHOP_FESO_ITEMSHOP_57960	FESO_ITEMSHOP	20671	Spinel_Medusa
1	57961	SHOP_FESO_ITEMSHOP_57961	FESO_ITEMSHOP	20672	Spinel_Sphinx
1	57962	SHOP_FESO_ITEMSHOP_57962	FESO_ITEMSHOP	20673	Spinel_Minotauros
1	57963	SHOP_FESO_ITEMSHOP_57963	FESO_ITEMSHOP	20674	Spinel_Graychief_Cas
1	57964	SHOP_FESO_ITEMSHOP_57964	FESO_ITEMSHOP	23469	Spinel_Imoogi
1	57965	SHOP_FESO_ITEMSHOP_57965	FESO_ITEMSHOP	23470	Spinel_QueenBee
1	57966	SHOP_FESO_ITEMSHOP_57966	FESO_ITEMSHOP	23471	Spinel_DisplacedValkyrie
1	57967	SHOP_FESO_ITEMSHOP_57967	FESO_ITEMSHOP	23472	Spinel_CaptainTcapywarrior
1	57968	SHOP_FESO_ITEMSHOP_57968	FESO_ITEMSHOP	23473	Spinel_AngryAcorchado
1	57969	SHOP_FESO_ITEMSHOP_57969	FESO_ITEMSHOP	23474	Spinel_RageGehcos
1	57970	SHOP_FESO_ITEMSHOP_57970	FESO_ITEMSHOP	23475	Spinel_Reydeavaricia
1	57971	SHOP_FESO_ITEMSHOP_57971	FESO_ITEMSHOP	23476	Spinel_Elmorc
1	57972	SHOP_FESO_ITEMSHOP_57972	FESO_ITEMSHOP	23477	Spinel_Wahlanshe
1	57973	SHOP_FESO_ITEMSHOP_57973	FESO_ITEMSHOP	23478	Spinel_Avalanche Revenant
1	57974	SHOP_FESO_ITEMSHOP_57974	FESO_ITEMSHOP	23479	Spinel_Vampire Bat Lord Elite
1	57975	SHOP_FESO_ITEMSHOP_57975	FESO_ITEMSHOP	23480	Spinel_GrimRipperLeader
1	57976	SHOP_FESO_ITEMSHOP_57976	FESO_ITEMSHOP	23481	Spinel_MightyVictor
1	57977	SHOP_FESO_ITEMSHOP_57977	FESO_ITEMSHOP	25522	Piece_Nephthys
1	57978	SHOP_FESO_ITEMSHOP_57978	FESO_ITEMSHOP	25523	Piece_Cortes
1	57979	SHOP_FESO_ITEMSHOP_57979	FESO_ITEMSHOP	20085	KatovicSoup1
1	57980	SHOP_FESO_ITEMSHOP_57980	FESO_ITEMSHOP	21238	DragonflySilk
1	57981	SHOP_FESO_ITEMSHOP_57981	FESO_ITEMSHOP	21215	MaroonGrass
1	57982	SHOP_FESO_ITEMSHOP_57982	FESO_ITEMSHOP	21225	BlackSap
1	57983	SHOP_FESO_ITEMSHOP_57983	FESO_ITEMSHOP	21241	BlueSap
1	57984	SHOP_FESO_ITEMSHOP_57984	FESO_ITEMSHOP	185007	ClearRum
1	57985	SHOP_FESO_ITEMSHOP_57985	FESO_ITEMSHOP	74421	WarRareBook
1	57986	SHOP_FESO_ITEMSHOP_57986	FESO_ITEMSHOP	74422	MagicRareBook
1	57987	SHOP_FESO_ITEMSHOP_57987	FESO_ITEMSHOP	74423	GunshotRareBook
1	57991	SHOP_FESO_ITEMSHOP_57991	FESO_ITEMSHOP	157034	BarrackSlot_Event
1	57992	SHOP_FESO_ITEMSHOP_57992	FESO_ITEMSHOP	155081	Lumin_Onyx
1	57993	SHOP_FESO_ITEMSHOP_57993	FESO_ITEMSHOP	155082	Lumin_Coral
1	57994	SHOP_FESO_ITEMSHOP_57994	FESO_ITEMSHOP	155083	Lumin_Selenite
1	57995	SHOP_FESO_ITEMSHOP_57995	FESO_ITEMSHOP	155084	Lumin_Unakite
1	57999	SHOP_FESO_ITEMSHOP_57999	FESO_ITEMSHOP	22075	Card_Mifuyu
1	58000	SHOP_FESO_ITEMSHOP_58000	FESO_ITEMSHOP	22037	Card_SohoFighter
1	58001	SHOP_FESO_ITEMSHOP_58001	FESO_ITEMSHOP	22036	Card_AdelinaCaptain
1	58002	SHOP_FESO_ITEMSHOP_58002	FESO_ITEMSHOP	22038	Card_EmiliaSage
1	58003	SHOP_FESO_ITEMSHOP_58003	FESO_ITEMSHOP	22035	Card_PanfiloBattle
1	58004	SHOP_FESO_ITEMSHOP_58004	FESO_ITEMSHOP	22043	Card_BSIdge
1	58005	SHOP_FESO_ITEMSHOP_58005	FESO_ITEMSHOP	22077	Card_Asoka
1	58006	SHOP_FESO_ITEMSHOP_58006	FESO_ITEMSHOP	22086	Card_Ralph
1	58008	SHOP_FESO_ITEMSHOP_58008	FESO_ITEMSHOP	22093	Card_Racel
1	58010	SHOP_FESO_ITEMSHOP_58010	FESO_ITEMSHOP	23136	TrainingCard_G
1	58011	SHOP_FESO_ITEMSHOP_58011	FESO_ITEMSHOP	121376	Pet_Food_Event
1	58012	SHOP_FESO_ITEMSHOP_58012	FESO_ITEMSHOP	20046	WhiteHouse_1_Event
1	58013	SHOP_FESO_ITEMSHOP_58013	FESO_ITEMSHOP	20729	TeleportScroll_Ev
1	58014	SHOP_FESO_ITEMSHOP_58014	FESO_ITEMSHOP	20728	SoulCrystal_Event
1	58016	SHOP_FESO_ITEMSHOP_58016	FESO_ITEMSHOP	20749	SSteroid1_Ev
1	58023	SHOP_FESO_ITEMSHOP_58023	FESO_ITEMSHOP	23457	WhiteHouse_2_event
1	58024	SHOP_FESO_ITEMSHOP_58024	FESO_ITEMSHOP	23451	TransPotion_event
1	58025	SHOP_FESO_ITEMSHOP_58025	FESO_ITEMSHOP	23452	TranceLiquor_event
1	58026	SHOP_FESO_ITEMSHOP_58026	FESO_ITEMSHOP	23445	StatAmpul_STR_ev
1	58027	SHOP_FESO_ITEMSHOP_58027	FESO_ITEMSHOP	23446	StatAmpul_AGI_ev
